issuer_name,position_date,isin,position_holder,net_short_position,source
IMCD N.V.,2026-03-31,NL0010801007,"BlackRock Institutional Trust Company, National Association",0.49,current
IMCD N.V.,2026-03-31,NL0010801007,Capital Fund Management S.A.,0.62,current
Signify N.V.,2026-03-31,NL0011821392,Citadel Advisors LLC,2.4,current
Alfen N.V.,2026-03-31,NL0012817175,"Cubist Systematic Strategies, LLC",0.49,current
Alfen N.V.,2026-03-31,NL0012817175,"D. E. Shaw & Co., L.P.",1.09,current
Signify N.V.,2026-03-31,NL0011821392,Eleva Capital SAS,1.21,current
Akzo Nobel N.V.,2026-03-31,NL0013267909,Marshall Wace LLP,0.58,current
Signify N.V.,2026-03-31,NL0011821392,Millennium International Management LP,0.48,current
CVC Capital Partners plc,2026-03-31,JE00BRX98089,Qube Research & Technologies Ltd.,0.9,current
ING Groep N.V.,2026-03-31,NL0011821202,Viking Global Investors LP,0.58,current
Adyen N.V.,2026-03-30,NL0012969182,"AQR Capital Management, LLC",0.9,current
Akzo Nobel N.V.,2026-03-30,NL0013267909,"AQR Capital Management, LLC",0.59,current
Galapagos NV,2026-03-30,BE0003818359,"Arrowstreet Capital, Limited Partnership",0.58,current
IMCD N.V.,2026-03-30,NL0010801007,"D. E. Shaw & Co., L.P.",0.6,current
Signify N.V.,2026-03-30,NL0011821392,Eleva Capital SAS,1.05,current
The Magnum Ice Cream Company N.V.,2026-03-30,NL0015002MS2,GLG Partners LP,0.64,current
DSM-Firmenich AG,2026-03-30,CH1216478797,Ilex Capital Partners (UK) LLP,0.91,current
Akzo Nobel N.V.,2026-03-30,NL0013267909,Marshall Wace LLP,0.6,current
Signify N.V.,2026-03-30,NL0011821392,Marshall Wace LLP,1.87,current
The Magnum Ice Cream Company N.V.,2026-03-30,NL0015002MS2,Marshall Wace LLP,1.59,current
Pharming Group N.V.,2026-03-30,NL0010391025,Millennium International Management LP,0.58,current
NSI N.V.,2026-03-30,NL0012365084,Numeric Investors LLC,0.61,current
Fugro N.V.,2026-03-30,NL00150003E1,"PDT Partners, LLC",0.58,current
ARCADIS N.V.,2026-03-30,NL0006237562,Squarepoint Ops LLC,0.99,current
Theon International Plc,2026-03-30,CY0200751713,"Two Sigma Investments, LP",0.7,current
ING Groep N.V.,2026-03-30,NL0011821202,Viking Global Investors LP,0.61,current
Avantium N.V.,2026-03-30,NL0015002IE0,Voleon Capital Management LP,0.69,current
ARCADIS N.V.,2026-03-27,NL0006237562,"AQR Capital Management, LLC",0.9,current
IMCD N.V.,2026-03-27,NL0010801007,"Arrowstreet Capital, Limited Partnership",1.12,current
IMCD N.V.,2026-03-27,NL0010801007,"BlackRock Financial Management, Inc.",1.09,current
