position_date,isin,issuer_name,net_short_position,position_holder,source
2026-04-01,LU1598757687,ArcelorMittal S.A.,0.61,"AQR Capital Management, LLC",current
2026-04-01,NL0011821392,Signify N.V.,1.1,"AQR Capital Management, LLC",current
2026-04-01,NL0010801007,IMCD N.V.,1.21,"Arrowstreet Capital, Limited Partnership",current
2026-04-01,NL0011821392,Signify N.V.,0.74,Canada Pension Plan Investment Board,current
2026-04-01,NL0011821392,Signify N.V.,2.36,Citadel Advisors LLC,current
2026-04-01,NL0006237562,ARCADIS N.V.,0.69,"D. E. Shaw & Co., L.P.",current
2026-04-01,NL0011872650,Basic-Fit N.V.,0.5,Eleva Capital SAS,current
2026-04-01,NL0009269109,Koninklijke Heijmans N.V.,0.48,Marshall Wace LLP,current
2026-04-01,NL0011821392,Signify N.V.,1.79,Marshall Wace LLP,current
2026-04-01,NL0013267909,Akzo Nobel N.V.,0.69,Millennium International Management LP,current
2026-04-01,NL0000379121,Randstad N.V.,0.5,Millennium International Management LP,current
2026-04-01,NL0011821392,Signify N.V.,0.45,Premier Miton Group plc,current
2026-04-01,NL0015002IE0,Avantium N.V.,0.59,Voleon Capital Management LP,current
2026-04-01,NL0006237562,ARCADIS N.V.,0.49,White Creek Capital LLP,current
2026-04-01,NL0012817175,Alfen N.V.,2.86,"WorldQuant, LLC",current
2026-03-31,NL0010801007,IMCD N.V.,0.62,Capital Fund Management S.A.,current
2026-03-31,NL0011821392,Signify N.V.,2.4,Citadel Advisors LLC,current
2026-03-31,NL0012817175,Alfen N.V.,1.09,"D. E. Shaw & Co., L.P.",current
2026-03-31,NL0011821392,Signify N.V.,1.21,Eleva Capital SAS,current
2026-03-31,NL0013267909,Akzo Nobel N.V.,0.58,Marshall Wace LLP,current
2026-03-31,JE00BRX98089,CVC Capital Partners plc,0.9,Qube Research & Technologies Ltd.,current
2026-03-31,NL0011821202,ING Groep N.V.,0.58,Viking Global Investors LP,current
2026-03-30,NL0012969182,Adyen N.V.,0.9,"AQR Capital Management, LLC",current
2026-03-30,NL0013267909,Akzo Nobel N.V.,0.59,"AQR Capital Management, LLC",current
2026-03-30,BE0003818359,Galapagos NV,0.58,"Arrowstreet Capital, Limited Partnership",current
2026-03-30,NL0010801007,IMCD N.V.,0.6,"D. E. Shaw & Co., L.P.",current
2026-03-30,NL0011821392,Signify N.V.,1.05,Eleva Capital SAS,current
2026-03-30,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.64,GLG Partners LP,current
2026-03-30,CH1216478797,DSM-Firmenich AG,0.91,Ilex Capital Partners (UK) LLP,current
