net_short_position,position_holder,isin,position_date,issuer_name,source
1.0,"AQR Capital Management, LLC",NL0012969182,2026-04-02,Adyen N.V.,current
0.7,"AQR Capital Management, LLC",NL0012817175,2026-04-02,Alfen N.V.,current
0.61,"AQR Capital Management, LLC",JE00BRX98089,2026-04-02,CVC Capital Partners plc,current
0.99,"BlackRock Financial Management, Inc.",NL0010801007,2026-04-02,IMCD N.V.,current
0.6,Citadel Advisors LLC,NL0000379121,2026-04-02,Randstad N.V.,current
0.5,Citadel Advisors LLC,NL0000817179,2026-04-02,Sligro Food Group N.V.,current
0.7,"D. E. Shaw & Co., L.P.",NL0006237562,2026-04-02,ARCADIS N.V.,current
0.62,Eleva Capital SAS,NL0011872650,2026-04-02,Basic-Fit N.V.,current
0.61,"AQR Capital Management, LLC",LU1598757687,2026-04-01,ArcelorMittal S.A.,current
1.1,"AQR Capital Management, LLC",NL0011821392,2026-04-01,Signify N.V.,current
1.21,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-04-01,IMCD N.V.,current
0.74,Canada Pension Plan Investment Board,NL0011821392,2026-04-01,Signify N.V.,current
2.36,Citadel Advisors LLC,NL0011821392,2026-04-01,Signify N.V.,current
0.69,"D. E. Shaw & Co., L.P.",NL0006237562,2026-04-01,ARCADIS N.V.,current
0.5,Eleva Capital SAS,NL0011872650,2026-04-01,Basic-Fit N.V.,current
1.79,Marshall Wace LLP,NL0011821392,2026-04-01,Signify N.V.,current
0.69,Millennium International Management LP,NL0013267909,2026-04-01,Akzo Nobel N.V.,current
0.59,Voleon Capital Management LP,NL0015002IE0,2026-04-01,Avantium N.V.,current
2.86,"WorldQuant, LLC",NL0012817175,2026-04-01,Alfen N.V.,current
0.62,Capital Fund Management S.A.,NL0010801007,2026-03-31,IMCD N.V.,current
2.4,Citadel Advisors LLC,NL0011821392,2026-03-31,Signify N.V.,current
1.09,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-31,Alfen N.V.,current
1.21,Eleva Capital SAS,NL0011821392,2026-03-31,Signify N.V.,current
0.58,Marshall Wace LLP,NL0013267909,2026-03-31,Akzo Nobel N.V.,current
0.9,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-31,CVC Capital Partners plc,current
0.58,Viking Global Investors LP,NL0011821202,2026-03-31,ING Groep N.V.,current
0.9,"AQR Capital Management, LLC",NL0012969182,2026-03-30,Adyen N.V.,current
0.59,"AQR Capital Management, LLC",NL0013267909,2026-03-30,Akzo Nobel N.V.,current
0.6,"D. E. Shaw & Co., L.P.",NL0010801007,2026-03-30,IMCD N.V.,current
1.05,Eleva Capital SAS,NL0011821392,2026-03-30,Signify N.V.,current
0.64,GLG Partners LP,NL0015002MS2,2026-03-30,The Magnum Ice Cream Company N.V.,current
0.91,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-30,DSM-Firmenich AG,current
0.6,Marshall Wace LLP,NL0013267909,2026-03-30,Akzo Nobel N.V.,current
1.87,Marshall Wace LLP,NL0011821392,2026-03-30,Signify N.V.,current
1.59,Marshall Wace LLP,NL0015002MS2,2026-03-30,The Magnum Ice Cream Company N.V.,current
0.61,Numeric Investors LLC,NL0012365084,2026-03-30,NSI N.V.,current
0.58,"PDT Partners, LLC",NL00150003E1,2026-03-30,Fugro N.V.,current
0.99,Squarepoint Ops LLC,NL0006237562,2026-03-30,ARCADIS N.V.,current
0.7,"Two Sigma Investments, LP",CY0200751713,2026-03-30,Theon International Plc,current
0.61,Viking Global Investors LP,NL0011821202,2026-03-30,ING Groep N.V.,current
0.69,Voleon Capital Management LP,NL0015002IE0,2026-03-30,Avantium N.V.,current
0.9,"AQR Capital Management, LLC",NL0006237562,2026-03-27,ARCADIS N.V.,current
1.12,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-03-27,IMCD N.V.,current
1.09,"BlackRock Financial Management, Inc.",NL0010801007,2026-03-27,IMCD N.V.,current
0.51,Capital Fund Management S.A.,NL0010801007,2026-03-27,IMCD N.V.,current
0.59,Citadel Advisors LLC,NL0000379121,2026-03-27,Randstad N.V.,current
0.7,"D. E. Shaw & Co., L.P.",NL0006237562,2026-03-27,ARCADIS N.V.,current
0.59,"D. E. Shaw & Co., L.P.",NL0010391025,2026-03-27,Pharming Group N.V.,current
0.59,GLG Partners LP,NL0015002MS2,2026-03-27,The Magnum Ice Cream Company N.V.,current
0.86,Marshall Wace LLP,NL0000379121,2026-03-27,Randstad N.V.,current
0.51,Millennium Capital (DIFC) Limited,NL0000379121,2026-03-27,Randstad N.V.,current
0.75,Millennium International Management LP,NL0013267909,2026-03-27,Akzo Nobel N.V.,current
0.79,Qube Research & Technologies Ltd.,NL0011821392,2026-03-27,Signify N.V.,current
0.73,Voleon Capital Management LP,NL0015002IE0,2026-03-27,Avantium N.V.,current
0.52,Voleon Capital Management LP,CY0200751713,2026-03-27,Theon International Plc,current
0.6,Wellington Management International Ltd.,NL0011872650,2026-03-27,Basic-Fit N.V.,current
0.69,"D. E. Shaw & Co., L.P.",NL0006237562,2026-03-26,ARCADIS N.V.,current
0.64,Ilex Capital Partners (UK) LLP,NL0015002MS2,2026-03-26,The Magnum Ice Cream Company N.V.,current
1.96,Marshall Wace LLP,NL0011821392,2026-03-26,Signify N.V.,current
1.14,Qube Research & Technologies Ltd.,CY0200751713,2026-03-26,Theon International Plc,current
1.5,"Two Sigma Investments, LP",LU2290522684,2026-03-26,InPost S.A.,current
0.5,Voleon Capital Management LP,NL0010801007,2026-03-26,IMCD N.V.,current
2.92,"WorldQuant, LLC",NL0012817175,2026-03-26,Alfen N.V.,current
0.71,"WorldQuant, LLC",NL0010801007,2026-03-26,IMCD N.V.,current
0.8,"AQR Capital Management, LLC",NL0012969182,2026-03-25,Adyen N.V.,current
0.6,"AQR Capital Management, LLC",NL0013267909,2026-03-25,Akzo Nobel N.V.,current
0.5,"AQR Capital Management, LLC",JE00BRX98089,2026-03-25,CVC Capital Partners plc,current
0.6,GLG Partners LP,NL0015002MS2,2026-03-25,The Magnum Ice Cream Company N.V.,current
0.82,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-25,DSM-Firmenich AG,current
0.57,Ilex Capital Partners (UK) LLP,NL0015002MS2,2026-03-25,The Magnum Ice Cream Company N.V.,current
0.81,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-25,Signify N.V.,current
0.6,Squarepoint Ops LLC,NL0010801007,2026-03-25,IMCD N.V.,current
0.86,Voleon Capital Management LP,NL0015002IE0,2026-03-25,Avantium N.V.,current
0.56,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-03-24,IMCD N.V.,current
1.14,Lazard Asset Management LLC,NL0010391025,2026-03-24,Pharming Group N.V.,current
0.91,Marshall Wace LLP,NL0000379121,2026-03-24,Randstad N.V.,current
2.0,Marshall Wace LLP,NL0011821392,2026-03-24,Signify N.V.,current
1.6,Marshall Wace LLP,NL0015002MS2,2026-03-24,The Magnum Ice Cream Company N.V.,current
0.79,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-24,Signify N.V.,current
0.9,"PDT Partners, LLC",NL0010801007,2026-03-24,IMCD N.V.,current
0.81,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-24,CVC Capital Partners plc,current
0.89,Qube Research & Technologies Ltd.,NL0011821392,2026-03-24,Signify N.V.,current
0.59,Squarepoint Ops LLC,NL0010801007,2026-03-24,IMCD N.V.,current
1.44,"Two Sigma Investments, LP",LU2290522684,2026-03-24,InPost S.A.,current
0.6,"Two Sigma Investments, LP",CY0200751713,2026-03-24,Theon International Plc,current
2.0,Voleon Capital Management LP,NL0012817175,2026-03-24,Alfen N.V.,current
1.01,Voleon Capital Management LP,NL0015002IE0,2026-03-24,Avantium N.V.,current
0.62,Actus Ray Partners Limited,NL0015000GX8,2026-03-23,Envipco Holding N.V.,current
0.72,"AQR Capital Management, LLC",NL0012969182,2026-03-23,Adyen N.V.,current
0.64,"AQR Capital Management, LLC",NL0012817175,2026-03-23,Alfen N.V.,current
1.01,"Arrowstreet Capital, Limited Partnership",NL0010801007,2026-03-23,IMCD N.V.,current
0.6,"BlackRock Financial Management, Inc.",NL0011821392,2026-03-23,Signify N.V.,current
1.19,Citadel Advisors Europe Limited,NL0011821392,2026-03-23,Signify N.V.,current
2.3,Citadel Advisors LLC,NL0011821392,2026-03-23,Signify N.V.,current
1.18,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-23,Alfen N.V.,current
0.69,"D. E. Shaw & Co., L.P.",NL0009739416,2026-03-23,PostNL N.V.,current
0.51,GLG Partners LP,NL0015002MS2,2026-03-23,The Magnum Ice Cream Company N.V.,current
0.78,Kintbury Capital LLP,NL0013267909,2026-03-23,Akzo Nobel N.V.,current
0.7,Marshall Wace LLP,NL0009739416,2026-03-23,PostNL N.V.,current
0.69,Millennium International Management LP,NL0013267909,2026-03-23,Akzo Nobel N.V.,current
0.5,"Point72 Europe (London), LLP",NL0000379121,2026-03-23,Randstad N.V.,current
1.01,Qube Research & Technologies Ltd.,CY0200751713,2026-03-23,Theon International Plc,current
1.05,Squarepoint Ops LLC,NL0006237562,2026-03-23,ARCADIS N.V.,current
0.6,Squarepoint Ops LLC,NL0010801007,2026-03-23,IMCD N.V.,current
1.36,"Two Sigma Investments, LP",LU2290522684,2026-03-23,InPost S.A.,current
1.16,Voleon Capital Management LP,NL0015002IE0,2026-03-23,Avantium N.V.,current
0.58,"BlackRock Financial Management, Inc.",NL0011821392,2026-03-20,Signify N.V.,current
0.7,Capital Fund Management S.A.,NL0012969182,2026-03-20,Adyen N.V.,current
0.67,Citadel Advisors LLC,NL0000379121,2026-03-20,Randstad N.V.,current
0.59,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-20,BE Semiconductor Industries N.V.,current
0.75,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-20,DSM-Firmenich AG,current
0.87,Kintbury Capital LLP,NL0013267909,2026-03-20,Akzo Nobel N.V.,current
0.83,Marshall Wace LLP,NL0000379121,2026-03-20,Randstad N.V.,current
1.52,Marshall Wace LLP,NL0015002MS2,2026-03-20,The Magnum Ice Cream Company N.V.,current
0.8,Millennium Capital (DIFC) Limited,NL0011821392,2026-03-20,Signify N.V.,current
