isin,net_short_position,position_date,position_holder,issuer_name,source
NL0010801007,0.66,2026-04-07,"BlackRock Advisors, LLC",IMCD N.V.,current
NL0010801007,1.0,2026-04-07,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0010801007,0.76,2026-04-07,Capital Fund Management S.A.,IMCD N.V.,current
NL0011821392,1.21,2026-04-07,Citadel Advisors Europe Limited,Signify N.V.,current
NL0010801007,0.51,2026-04-07,Citadel Advisors LLC,IMCD N.V.,current
NL0010391025,0.56,2026-04-07,Citadel Advisors LLC,Pharming Group N.V.,current
NL0009739416,0.58,2026-04-07,Citadel Advisors LLC,PostNL N.V.,current
NL0000379121,0.59,2026-04-07,Citadel Advisors LLC,Randstad N.V.,current
NL0011821392,2.41,2026-04-07,Citadel Advisors LLC,Signify N.V.,current
NL0006237562,0.69,2026-04-07,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
NL0000009082,0.68,2026-04-07,Marshall Wace LLP,Koninklijke KPN N.V.,current
NL0015002MS2,1.46,2026-04-07,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0015002MS2,0.48,2026-04-07,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,current
NL0012817175,1.98,2026-04-07,Voleon Capital Management LP,Alfen N.V.,current
NL0015002IE0,0.46,2026-04-07,Voleon Capital Management LP,Avantium N.V.,current
NL00150003E1,0.49,2026-04-07,Voleon Capital Management LP,Fugro N.V.,current
NL0012817175,2.77,2026-04-07,"WorldQuant, LLC",Alfen N.V.,current
NL0012969182,1.0,2026-04-02,"AQR Capital Management, LLC",Adyen N.V.,current
NL0012817175,0.7,2026-04-02,"AQR Capital Management, LLC",Alfen N.V.,current
JE00BRX98089,0.61,2026-04-02,"AQR Capital Management, LLC",CVC Capital Partners plc,current
NL0010801007,0.99,2026-04-02,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0000379121,0.6,2026-04-02,Citadel Advisors LLC,Randstad N.V.,current
NL0000817179,0.5,2026-04-02,Citadel Advisors LLC,Sligro Food Group N.V.,current
NL0006237562,0.7,2026-04-02,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
NL0011872650,0.62,2026-04-02,Eleva Capital SAS,Basic-Fit N.V.,current
NL0000379121,0.78,2026-04-02,Marshall Wace LLP,Randstad N.V.,current
LU1598757687,0.61,2026-04-01,"AQR Capital Management, LLC",ArcelorMittal S.A.,current
NL0011821392,1.1,2026-04-01,"AQR Capital Management, LLC",Signify N.V.,current
NL0010801007,1.21,2026-04-01,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,current
NL0011821392,0.74,2026-04-01,Canada Pension Plan Investment Board,Signify N.V.,current
NL0011821392,2.36,2026-04-01,Citadel Advisors LLC,Signify N.V.,current
NL0006237562,0.69,2026-04-01,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
NL0011872650,0.5,2026-04-01,Eleva Capital SAS,Basic-Fit N.V.,current
NL0011821392,1.79,2026-04-01,Marshall Wace LLP,Signify N.V.,current
NL0013267909,0.69,2026-04-01,Millennium International Management LP,Akzo Nobel N.V.,current
NL0015002IE0,0.59,2026-04-01,Voleon Capital Management LP,Avantium N.V.,current
NL0012817175,2.86,2026-04-01,"WorldQuant, LLC",Alfen N.V.,current
NL0010801007,0.62,2026-03-31,Capital Fund Management S.A.,IMCD N.V.,current
NL0011821392,2.4,2026-03-31,Citadel Advisors LLC,Signify N.V.,current
NL0012817175,1.09,2026-03-31,"D. E. Shaw & Co., L.P.",Alfen N.V.,current
NL0011821392,1.21,2026-03-31,Eleva Capital SAS,Signify N.V.,current
NL0013267909,0.58,2026-03-31,Marshall Wace LLP,Akzo Nobel N.V.,current
JE00BRX98089,0.9,2026-03-31,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
NL0011821202,0.58,2026-03-31,Viking Global Investors LP,ING Groep N.V.,current
NL0012969182,0.9,2026-03-30,"AQR Capital Management, LLC",Adyen N.V.,current
NL0013267909,0.59,2026-03-30,"AQR Capital Management, LLC",Akzo Nobel N.V.,current
NL0010801007,0.6,2026-03-30,"D. E. Shaw & Co., L.P.",IMCD N.V.,current
NL0011821392,1.05,2026-03-30,Eleva Capital SAS,Signify N.V.,current
NL0015002MS2,0.64,2026-03-30,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
CH1216478797,0.91,2026-03-30,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0013267909,0.6,2026-03-30,Marshall Wace LLP,Akzo Nobel N.V.,current
NL0011821392,1.87,2026-03-30,Marshall Wace LLP,Signify N.V.,current
NL0015002MS2,1.59,2026-03-30,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0012365084,0.61,2026-03-30,Numeric Investors LLC,NSI N.V.,current
NL00150003E1,0.58,2026-03-30,"PDT Partners, LLC",Fugro N.V.,current
NL0006237562,0.99,2026-03-30,Squarepoint Ops LLC,ARCADIS N.V.,current
CY0200751713,0.7,2026-03-30,"Two Sigma Investments, LP",Theon International Plc,current
NL0011821202,0.61,2026-03-30,Viking Global Investors LP,ING Groep N.V.,current
NL0015002IE0,0.69,2026-03-30,Voleon Capital Management LP,Avantium N.V.,current
NL0006237562,0.9,2026-03-27,"AQR Capital Management, LLC",ARCADIS N.V.,current
NL0010801007,1.12,2026-03-27,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,current
NL0010801007,1.09,2026-03-27,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0010801007,0.51,2026-03-27,Capital Fund Management S.A.,IMCD N.V.,current
NL0000379121,0.59,2026-03-27,Citadel Advisors LLC,Randstad N.V.,current
NL0006237562,0.7,2026-03-27,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
NL0010391025,0.59,2026-03-27,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,current
NL0015002MS2,0.59,2026-03-27,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
NL0000379121,0.86,2026-03-27,Marshall Wace LLP,Randstad N.V.,current
