position_holder,net_short_position,isin,position_date,issuer_name,source
"AQR Capital Management, LLC",0.61,NL0000852564,2026-04-08,Aalberts N.V.,current
"AQR Capital Management, LLC",0.67,NL0012817175,2026-04-08,Alfen N.V.,current
"AQR Capital Management, LLC",1.22,NL0011821392,2026-04-08,Signify N.V.,current
Citadel Advisors LLC,0.46,NL0010801007,2026-04-08,IMCD N.V.,current
Citadel Advisors LLC,2.39,NL0011821392,2026-04-08,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.95,NL0012817175,2026-04-08,Alfen N.V.,current
"D. E. Shaw & Co., L.P.",0.59,NL0010801007,2026-04-08,IMCD N.V.,current
Marshall Wace LLP,0.48,NL0013267909,2026-04-08,Akzo Nobel N.V.,current
Millennium Capital (DIFC) Limited,0.48,NL0000379121,2026-04-08,Randstad N.V.,current
Millennium Capital (DIFC) Limited,0.79,NL0011821392,2026-04-08,Signify N.V.,current
"PDT Partners, LLC",0.49,NL00150003E1,2026-04-08,Fugro N.V.,current
"Point72 Europe (London), LLP",0.48,NL0000379121,2026-04-08,Randstad N.V.,current
Qube Research & Technologies Ltd.,0.5,NL0015002MS2,2026-04-08,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",0.79,NL0010801007,2026-04-08,IMCD N.V.,current
"BlackRock Advisors, LLC",0.66,NL0010801007,2026-04-07,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.0,NL0010801007,2026-04-07,IMCD N.V.,current
Capital Fund Management S.A.,0.76,NL0010801007,2026-04-07,IMCD N.V.,current
Citadel Advisors Europe Limited,1.21,NL0011821392,2026-04-07,Signify N.V.,current
Citadel Advisors LLC,0.51,NL0010801007,2026-04-07,IMCD N.V.,current
Citadel Advisors LLC,0.56,NL0010391025,2026-04-07,Pharming Group N.V.,current
Citadel Advisors LLC,0.58,NL0009739416,2026-04-07,PostNL N.V.,current
Citadel Advisors LLC,0.59,NL0000379121,2026-04-07,Randstad N.V.,current
Citadel Advisors LLC,2.41,NL0011821392,2026-04-07,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.69,NL0006237562,2026-04-07,ARCADIS N.V.,current
