position_holder,net_short_position,isin,issuer_name,position_date,source
"AQR Capital Management, LLC",1.13,NL0012969182,Adyen N.V.,2026-04-09,current
"AQR Capital Management, LLC",0.51,NL0010801007,IMCD N.V.,2026-04-09,current
Citadel Advisors Europe Limited,1.19,NL0011821392,Signify N.V.,2026-04-09,current
Citadel Advisors LLC,0.43,NL0010391025,Pharming Group N.V.,2026-04-09,current
Citadel Advisors LLC,0.49,NL0000379121,Randstad N.V.,2026-04-09,current
Citadel Advisors LLC,2.42,NL0011821392,Signify N.V.,2026-04-09,current
"Connor, Clark & Lunn Investment Management Ltd.",0.48,LU2290522684,InPost S.A.,2026-04-09,current
Ilex Capital Partners (UK) LLP,1.0,CH1216478797,DSM-Firmenich AG,2026-04-09,current
Marshall Wace LLP,0.5,NL0013267909,Akzo Nobel N.V.,2026-04-09,current
Numeric Investors LLC,0.71,NL0012365084,NSI N.V.,2026-04-09,current
"O'Connor Alternative Investments, LLC",1.28,NL0013267909,Akzo Nobel N.V.,2026-04-09,current
"PDT Partners, LLC",0.89,NL0010801007,IMCD N.V.,2026-04-09,current
Qube Research & Technologies Ltd.,0.67,NL0011821392,Signify N.V.,2026-04-09,current
Voleon Capital Management LP,0.52,NL0000888691,AMG Critical Materials N.V.,2026-04-09,current
"AQR Capital Management, LLC",0.61,NL0000852564,Aalberts N.V.,2026-04-08,current
"AQR Capital Management, LLC",0.67,NL0012817175,Alfen N.V.,2026-04-08,current
"AQR Capital Management, LLC",1.22,NL0011821392,Signify N.V.,2026-04-08,current
Citadel Advisors LLC,2.39,NL0011821392,Signify N.V.,2026-04-08,current
"D. E. Shaw & Co., L.P.",0.95,NL0012817175,Alfen N.V.,2026-04-08,current
"D. E. Shaw & Co., L.P.",0.59,NL0010801007,IMCD N.V.,2026-04-08,current
Millennium Capital (DIFC) Limited,0.79,NL0011821392,Signify N.V.,2026-04-08,current
Qube Research & Technologies Ltd.,0.5,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-08,current
"Two Sigma Investments, LP",0.79,NL0010801007,IMCD N.V.,2026-04-08,current
"BlackRock Advisors, LLC",0.66,NL0010801007,IMCD N.V.,2026-04-07,current
"BlackRock Financial Management, Inc.",1.0,NL0010801007,IMCD N.V.,2026-04-07,current
Capital Fund Management S.A.,0.76,NL0010801007,IMCD N.V.,2026-04-07,current
Citadel Advisors Europe Limited,1.21,NL0011821392,Signify N.V.,2026-04-07,current
Citadel Advisors LLC,0.56,NL0010391025,Pharming Group N.V.,2026-04-07,current
Citadel Advisors LLC,0.58,NL0009739416,PostNL N.V.,2026-04-07,current
Citadel Advisors LLC,0.59,NL0000379121,Randstad N.V.,2026-04-07,current
Citadel Advisors LLC,2.41,NL0011821392,Signify N.V.,2026-04-07,current
"D. E. Shaw & Co., L.P.",0.69,NL0006237562,ARCADIS N.V.,2026-04-07,current
Marshall Wace LLP,0.68,NL0000009082,Koninklijke KPN N.V.,2026-04-07,current
Marshall Wace LLP,1.46,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-07,current
Voleon Capital Management LP,1.98,NL0012817175,Alfen N.V.,2026-04-07,current
"WorldQuant, LLC",2.77,NL0012817175,Alfen N.V.,2026-04-07,current
"AQR Capital Management, LLC",1.0,NL0012969182,Adyen N.V.,2026-04-02,current
"AQR Capital Management, LLC",0.7,NL0012817175,Alfen N.V.,2026-04-02,current
"AQR Capital Management, LLC",0.61,JE00BRX98089,CVC Capital Partners plc,2026-04-02,current
"BlackRock Financial Management, Inc.",0.99,NL0010801007,IMCD N.V.,2026-04-02,current
Citadel Advisors LLC,0.6,NL0000379121,Randstad N.V.,2026-04-02,current
Citadel Advisors LLC,0.5,NL0000817179,Sligro Food Group N.V.,2026-04-02,current
"D. E. Shaw & Co., L.P.",0.7,NL0006237562,ARCADIS N.V.,2026-04-02,current
Eleva Capital SAS,0.62,NL0011872650,Basic-Fit N.V.,2026-04-02,current
Marshall Wace LLP,0.78,NL0000379121,Randstad N.V.,2026-04-02,current
"AQR Capital Management, LLC",0.61,LU1598757687,ArcelorMittal S.A.,2026-04-01,current
"AQR Capital Management, LLC",1.1,NL0011821392,Signify N.V.,2026-04-01,current
"Arrowstreet Capital, Limited Partnership",1.21,NL0010801007,IMCD N.V.,2026-04-01,current
Canada Pension Plan Investment Board,0.74,NL0011821392,Signify N.V.,2026-04-01,current
Citadel Advisors LLC,2.36,NL0011821392,Signify N.V.,2026-04-01,current
"D. E. Shaw & Co., L.P.",0.69,NL0006237562,ARCADIS N.V.,2026-04-01,current
Eleva Capital SAS,0.5,NL0011872650,Basic-Fit N.V.,2026-04-01,current
Marshall Wace LLP,1.79,NL0011821392,Signify N.V.,2026-04-01,current
Millennium International Management LP,0.69,NL0013267909,Akzo Nobel N.V.,2026-04-01,current
"O'Connor Alternative Investments, LLC",1.3,NL0013267909,Akzo Nobel N.V.,2026-04-01,current
"WorldQuant, LLC",2.86,NL0012817175,Alfen N.V.,2026-04-01,current
Capital Fund Management S.A.,0.62,NL0010801007,IMCD N.V.,2026-03-31,current
Citadel Advisors LLC,2.4,NL0011821392,Signify N.V.,2026-03-31,current
"D. E. Shaw & Co., L.P.",1.09,NL0012817175,Alfen N.V.,2026-03-31,current
Eleva Capital SAS,1.21,NL0011821392,Signify N.V.,2026-03-31,current
Qube Research & Technologies Ltd.,0.9,JE00BRX98089,CVC Capital Partners plc,2026-03-31,current
Viking Global Investors LP,0.58,NL0011821202,ING Groep N.V.,2026-03-31,current
"AQR Capital Management, LLC",0.9,NL0012969182,Adyen N.V.,2026-03-30,current
"AQR Capital Management, LLC",0.59,NL0013267909,Akzo Nobel N.V.,2026-03-30,current
"D. E. Shaw & Co., L.P.",0.6,NL0010801007,IMCD N.V.,2026-03-30,current
Eleva Capital SAS,1.05,NL0011821392,Signify N.V.,2026-03-30,current
GLG Partners LP,0.64,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-30,current
Ilex Capital Partners (UK) LLP,0.91,CH1216478797,DSM-Firmenich AG,2026-03-30,current
Marshall Wace LLP,1.87,NL0011821392,Signify N.V.,2026-03-30,current
Marshall Wace LLP,1.59,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-30,current
Numeric Investors LLC,0.61,NL0012365084,NSI N.V.,2026-03-30,current
Squarepoint Ops LLC,0.99,NL0006237562,ARCADIS N.V.,2026-03-30,current
"Two Sigma Investments, LP",0.7,CY0200751713,Theon International Plc,2026-03-30,current
Viking Global Investors LP,0.61,NL0011821202,ING Groep N.V.,2026-03-30,current
"AQR Capital Management, LLC",0.9,NL0006237562,ARCADIS N.V.,2026-03-27,current
"Arrowstreet Capital, Limited Partnership",1.12,NL0010801007,IMCD N.V.,2026-03-27,current
"BlackRock Financial Management, Inc.",1.09,NL0010801007,IMCD N.V.,2026-03-27,current
Capital Fund Management S.A.,0.51,NL0010801007,IMCD N.V.,2026-03-27,current
Citadel Advisors LLC,0.59,NL0000379121,Randstad N.V.,2026-03-27,current
"D. E. Shaw & Co., L.P.",0.7,NL0006237562,ARCADIS N.V.,2026-03-27,current
