isin,position_holder,issuer_name,position_date,net_short_position,source
NL0012817175,"AQR Capital Management, LLC",Alfen N.V.,2026-04-10,0.58,current
LU1598757687,"AQR Capital Management, LLC",ArcelorMittal S.A.,2026-04-10,0.58,current
NL0010801007,Citadel Advisors LLC,IMCD N.V.,2026-04-10,0.5,current
NL0012817175,Citadel Securities (Europe) Limited,Alfen N.V.,2026-04-10,0.51,current
NL0012817175,"D. E. Shaw & Co., L.P.",Alfen N.V.,2026-04-10,0.89,current
NL0000395903,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-04-10,0.8,current
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2026-04-10,0.58,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-10,1.38,current
NL0013267909,Millennium International Management LP,Akzo Nobel N.V.,2026-04-10,0.52,current
NL0013267909,"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,2026-04-10,1.17,current
NL0010801007,"PDT Partners, LLC",IMCD N.V.,2026-04-10,0.9,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-04-10,1.22,current
NL0010801007,Squarepoint Ops LLC,IMCD N.V.,2026-04-10,0.59,current
NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,2026-04-09,1.13,current
NL0010801007,"AQR Capital Management, LLC",IMCD N.V.,2026-04-09,0.51,current
NL0011821392,Citadel Advisors Europe Limited,Signify N.V.,2026-04-09,1.19,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-04-09,2.42,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-04-09,1.0,current
NL0013267909,Marshall Wace LLP,Akzo Nobel N.V.,2026-04-09,0.5,current
NL0012365084,Numeric Investors LLC,NSI N.V.,2026-04-09,0.71,current
NL0013267909,"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,2026-04-09,1.28,current
NL0010801007,"PDT Partners, LLC",IMCD N.V.,2026-04-09,0.89,current
NL0011821392,Qube Research & Technologies Ltd.,Signify N.V.,2026-04-09,0.67,current
NL0000888691,Voleon Capital Management LP,AMG Critical Materials N.V.,2026-04-09,0.52,current
NL0000852564,"AQR Capital Management, LLC",Aalberts N.V.,2026-04-08,0.61,current
NL0012817175,"AQR Capital Management, LLC",Alfen N.V.,2026-04-08,0.67,current
NL0011821392,"AQR Capital Management, LLC",Signify N.V.,2026-04-08,1.22,current
