issuer_name,net_short_position,isin,position_holder,position_date,source
Adyen N.V.,1.21,NL0012969182,"AQR Capital Management, LLC",2026-04-13,current
ARCADIS N.V.,1.01,NL0006237562,"AQR Capital Management, LLC",2026-04-13,current
CVC Capital Partners plc,0.71,JE00BRX98089,"AQR Capital Management, LLC",2026-04-13,current
Signify N.V.,1.2,NL0011821392,Citadel Advisors Europe Limited,2026-04-13,current
Havas N.V.,0.49,NL0015002K83,Citadel Advisors LLC,2026-04-13,current
Sligro Food Group N.V.,0.61,NL0000817179,Citadel Advisors LLC,2026-04-13,current
Alfen N.V.,0.48,NL0012817175,Citadel Securities (Europe) Limited,2026-04-13,current
Randstad N.V.,0.51,NL0000379121,Millennium International Management LP,2026-04-13,current
IMCD N.V.,0.89,NL0010801007,"PDT Partners, LLC",2026-04-13,current
The Magnum Ice Cream Company N.V.,0.5,NL0015002MS2,Walleye Capital LLC,2026-04-13,current
Alfen N.V.,0.58,NL0012817175,"AQR Capital Management, LLC",2026-04-10,current
ArcelorMittal S.A.,0.58,LU1598757687,"AQR Capital Management, LLC",2026-04-10,current
IMCD N.V.,0.5,NL0010801007,Citadel Advisors LLC,2026-04-10,current
Alfen N.V.,0.51,NL0012817175,Citadel Securities (Europe) Limited,2026-04-10,current
Alfen N.V.,0.89,NL0012817175,"D. E. Shaw & Co., L.P.",2026-04-10,current
Wolters Kluwer N.V.,0.8,NL0000395903,"D. E. Shaw & Co., L.P.",2026-04-10,current
Koninklijke KPN N.V.,0.58,NL0000009082,Marshall Wace LLP,2026-04-10,current
The Magnum Ice Cream Company N.V.,1.38,NL0015002MS2,Marshall Wace LLP,2026-04-10,current
Akzo Nobel N.V.,0.52,NL0013267909,Millennium International Management LP,2026-04-10,current
Akzo Nobel N.V.,1.17,NL0013267909,"O'Connor Alternative Investments, LLC",2026-04-10,current
IMCD N.V.,0.9,NL0010801007,"PDT Partners, LLC",2026-04-10,current
Theon International Plc,1.22,CY0200751713,Qube Research & Technologies Ltd.,2026-04-10,current
IMCD N.V.,0.59,NL0010801007,Squarepoint Ops LLC,2026-04-10,current
Adyen N.V.,1.13,NL0012969182,"AQR Capital Management, LLC",2026-04-09,current
IMCD N.V.,0.51,NL0010801007,"AQR Capital Management, LLC",2026-04-09,current
Signify N.V.,1.19,NL0011821392,Citadel Advisors Europe Limited,2026-04-09,current
Signify N.V.,2.42,NL0011821392,Citadel Advisors LLC,2026-04-09,current
DSM-Firmenich AG,1.0,CH1216478797,Ilex Capital Partners (UK) LLP,2026-04-09,current
Akzo Nobel N.V.,0.5,NL0013267909,Marshall Wace LLP,2026-04-09,current
NSI N.V.,0.71,NL0012365084,Numeric Investors LLC,2026-04-09,current
Akzo Nobel N.V.,1.28,NL0013267909,"O'Connor Alternative Investments, LLC",2026-04-09,current
IMCD N.V.,0.89,NL0010801007,"PDT Partners, LLC",2026-04-09,current
Signify N.V.,0.67,NL0011821392,Qube Research & Technologies Ltd.,2026-04-09,current
AMG Critical Materials N.V.,0.52,NL0000888691,Voleon Capital Management LP,2026-04-09,current
Aalberts N.V.,0.61,NL0000852564,"AQR Capital Management, LLC",2026-04-08,current
Alfen N.V.,0.67,NL0012817175,"AQR Capital Management, LLC",2026-04-08,current
Signify N.V.,1.22,NL0011821392,"AQR Capital Management, LLC",2026-04-08,current
Signify N.V.,2.39,NL0011821392,Citadel Advisors LLC,2026-04-08,current
Alfen N.V.,0.95,NL0012817175,"D. E. Shaw & Co., L.P.",2026-04-08,current
IMCD N.V.,0.59,NL0010801007,"D. E. Shaw & Co., L.P.",2026-04-08,current
Signify N.V.,0.79,NL0011821392,Millennium Capital (DIFC) Limited,2026-04-08,current
The Magnum Ice Cream Company N.V.,0.5,NL0015002MS2,Qube Research & Technologies Ltd.,2026-04-08,current
IMCD N.V.,0.79,NL0010801007,"Two Sigma Investments, LP",2026-04-08,current
IMCD N.V.,0.66,NL0010801007,"BlackRock Advisors, LLC",2026-04-07,current
IMCD N.V.,1.0,NL0010801007,"BlackRock Financial Management, Inc.",2026-04-07,current
IMCD N.V.,0.76,NL0010801007,Capital Fund Management S.A.,2026-04-07,current
Signify N.V.,1.21,NL0011821392,Citadel Advisors Europe Limited,2026-04-07,current
PostNL N.V.,0.58,NL0009739416,Citadel Advisors LLC,2026-04-07,current
Signify N.V.,2.41,NL0011821392,Citadel Advisors LLC,2026-04-07,current
ARCADIS N.V.,0.69,NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-07,current
Koninklijke KPN N.V.,0.68,NL0000009082,Marshall Wace LLP,2026-04-07,current
The Magnum Ice Cream Company N.V.,1.46,NL0015002MS2,Marshall Wace LLP,2026-04-07,current
Alfen N.V.,1.98,NL0012817175,Voleon Capital Management LP,2026-04-07,current
Alfen N.V.,2.77,NL0012817175,"WorldQuant, LLC",2026-04-07,current
Adyen N.V.,1.0,NL0012969182,"AQR Capital Management, LLC",2026-04-02,current
Alfen N.V.,0.7,NL0012817175,"AQR Capital Management, LLC",2026-04-02,current
CVC Capital Partners plc,0.61,JE00BRX98089,"AQR Capital Management, LLC",2026-04-02,current
IMCD N.V.,0.99,NL0010801007,"BlackRock Financial Management, Inc.",2026-04-02,current
Sligro Food Group N.V.,0.5,NL0000817179,Citadel Advisors LLC,2026-04-02,current
ARCADIS N.V.,0.7,NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-02,current
Basic-Fit N.V.,0.62,NL0011872650,Eleva Capital SAS,2026-04-02,current
Randstad N.V.,0.78,NL0000379121,Marshall Wace LLP,2026-04-02,current
ArcelorMittal S.A.,0.61,LU1598757687,"AQR Capital Management, LLC",2026-04-01,current
Signify N.V.,1.1,NL0011821392,"AQR Capital Management, LLC",2026-04-01,current
IMCD N.V.,1.21,NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-04-01,current
Signify N.V.,0.74,NL0011821392,Canada Pension Plan Investment Board,2026-04-01,current
Signify N.V.,2.36,NL0011821392,Citadel Advisors LLC,2026-04-01,current
