net_short_position,issuer_name,position_holder,isin,position_date,source
0.97,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-04-14,current
0.51,Havas N.V.,Citadel Advisors LLC,NL0015002K83,2026-04-14,current
1.23,Basic-Fit N.V.,Fosse Capital Partners LLP,NL0011872650,2026-04-14,current
0.71,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,NL0015002MS2,2026-04-14,current
0.66,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-04-14,current
0.61,Akzo Nobel N.V.,Kintbury Capital LLP,NL0013267909,2026-04-14,current
0.49,Akzo Nobel N.V.,Marshall Wace LLP,NL0013267909,2026-04-14,current
1.22,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-04-14,current
0.5,PostNL N.V.,"PDT Partners, LLC",NL0009739416,2026-04-14,current
0.44,AMG Critical Materials N.V.,Voleon Capital Management LP,NL0000888691,2026-04-14,current
2.84,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-04-14,current
1.21,Adyen N.V.,"AQR Capital Management, LLC",NL0012969182,2026-04-13,current
1.01,ARCADIS N.V.,"AQR Capital Management, LLC",NL0006237562,2026-04-13,current
0.71,CVC Capital Partners plc,"AQR Capital Management, LLC",JE00BRX98089,2026-04-13,current
1.2,Signify N.V.,Citadel Advisors Europe Limited,NL0011821392,2026-04-13,current
0.61,Sligro Food Group N.V.,Citadel Advisors LLC,NL0000817179,2026-04-13,current
0.51,Randstad N.V.,Millennium International Management LP,NL0000379121,2026-04-13,current
0.89,IMCD N.V.,"PDT Partners, LLC",NL0010801007,2026-04-13,current
0.5,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,NL0015002MS2,2026-04-13,current
0.58,Alfen N.V.,"AQR Capital Management, LLC",NL0012817175,2026-04-10,current
0.58,ArcelorMittal S.A.,"AQR Capital Management, LLC",LU1598757687,2026-04-10,current
0.5,IMCD N.V.,Citadel Advisors LLC,NL0010801007,2026-04-10,current
0.89,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2026-04-10,current
