issuer_name,isin,position_holder,net_short_position,position_date,source
Akzo Nobel N.V.,NL0013267909,Albar Capital Partners LLP,0.45,2026-04-17,current
Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",0.49,2026-04-17,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",0.89,2026-04-17,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.07,2026-04-17,current
IMCD N.V.,NL0010801007,Citadel Advisors LLC,0.53,2026-04-17,current
Randstad N.V.,NL0000379121,Citadel Advisors LLC,0.5,2026-04-17,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.22,2026-04-17,current
Sligro Food Group N.V.,NL0000817179,Citadel Advisors LLC,0.71,2026-04-17,current
Basic-Fit N.V.,NL0011872650,"D. E. Shaw & Co., L.P.",1.12,2026-04-17,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.49,2026-04-17,current
Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,1.41,2026-04-17,current
Basic-Fit N.V.,NL0011872650,Fosse Capital Partners LLP,1.02,2026-04-17,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,1.06,2026-04-17,current
IMCD N.V.,NL0010801007,JPMorgan Asset Management (UK) Ltd.,0.91,2026-04-17,current
TomTom N.V.,NL0013332471,JPMorgan Asset Management (UK) Ltd.,1.22,2026-04-17,current
IMCD N.V.,NL0010801007,Marshall Wace LLP,0.65,2026-04-17,current
PostNL N.V.,NL0009739416,Marshall Wace LLP,0.81,2026-04-17,current
Randstad N.V.,NL0000379121,Millennium International Management LP,0.49,2026-04-17,current
Akzo Nobel N.V.,NL0013267909,"O'Connor Alternative Investments, LLC",0.25,2026-04-17,current
Signify N.V.,NL0011821392,"PDT Partners, LLC",0.9,2026-04-17,current
Basic-Fit N.V.,NL0011872650,Sculptor Capital Management Europe Limited,0.6,2026-04-17,current
Basic-Fit N.V.,NL0011872650,Syquant Capital,0.51,2026-04-17,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.47,2026-04-17,current
ING Groep N.V.,NL0011821202,Viking Global Investors LP,0.42,2026-04-17,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Walleye Capital LLC,0.62,2026-04-17,current
IMCD N.V.,NL0010801007,"WorldQuant, LLC",0.66,2026-04-17,current
