isin,position_date,position_holder,net_short_position,issuer_name,source
NL0012969182,2026-04-20,"AQR Capital Management, LLC",1.29,Adyen N.V.,current
NL0011821392,2026-04-20,Canada Pension Plan Investment Board,0.87,Signify N.V.,current
NL0011821392,2026-04-20,Citadel Advisors Europe Limited,0.94,Signify N.V.,current
NL0011821392,2026-04-20,Citadel Advisors LLC,2.0,Signify N.V.,current
NL0011872650,2026-04-20,"D. E. Shaw & Co., L.P.",1.06,Basic-Fit N.V.,current
NL0010801007,2026-04-20,"D. E. Shaw & Co., L.P.",0.49,IMCD N.V.,current
NL0015002MS2,2026-04-20,Ilex Capital Partners (UK) LLP,0.54,The Magnum Ice Cream Company N.V.,current
NL00150003E1,2026-04-20,JPMorgan Asset Management (UK) Ltd.,1.45,Fugro N.V.,current
NL0011872650,2026-04-20,Linden Advisors LP,0.7,Basic-Fit N.V.,current
NL0000009082,2026-04-20,Marshall Wace LLP,0.49,Koninklijke KPN N.V.,current
NL0013267909,2026-04-20,"O'Connor Alternative Investments, LLC",1.16,Akzo Nobel N.V.,current
JE00BRX98089,2026-04-20,Qube Research & Technologies Ltd.,1.01,CVC Capital Partners plc,current
NL0011821392,2026-04-20,Qube Research & Technologies Ltd.,0.47,Signify N.V.,current
NL0011872650,2026-04-20,Syquant Capital,0.47,Basic-Fit N.V.,current
NL0012817175,2026-04-20,Voleon Capital Management LP,1.58,Alfen N.V.,current
NL0006237562,2026-04-20,White Creek Capital LLP,0.57,ARCADIS N.V.,current
NL0012817175,2026-04-20,"WorldQuant, LLC",2.67,Alfen N.V.,current
NL0010801007,2026-04-17,"BlackRock Financial Management, Inc.",0.89,IMCD N.V.,current
NL0011821392,2026-04-17,Citadel Advisors Europe Limited,1.07,Signify N.V.,current
NL0010801007,2026-04-17,Citadel Advisors LLC,0.53,IMCD N.V.,current
NL0000379121,2026-04-17,Citadel Advisors LLC,0.5,Randstad N.V.,current
NL0011821392,2026-04-17,Citadel Advisors LLC,2.22,Signify N.V.,current
NL0000817179,2026-04-17,Citadel Advisors LLC,0.71,Sligro Food Group N.V.,current
NL0011872650,2026-04-17,"D. E. Shaw & Co., L.P.",1.12,Basic-Fit N.V.,current
NL0013267909,2026-04-17,Davidson Kempner Capital Management LP,1.41,Akzo Nobel N.V.,current
NL0011872650,2026-04-17,Fosse Capital Partners LLP,1.02,Basic-Fit N.V.,current
NL00150003E1,2026-04-17,JPMorgan Asset Management (UK) Ltd.,1.06,Fugro N.V.,current
NL0010801007,2026-04-17,JPMorgan Asset Management (UK) Ltd.,0.91,IMCD N.V.,current
NL0013332471,2026-04-17,JPMorgan Asset Management (UK) Ltd.,1.22,TomTom N.V.,current
NL0011872650,2026-04-17,Linden Advisors LP,0.59,Basic-Fit N.V.,current
NL0010801007,2026-04-17,Marshall Wace LLP,0.65,IMCD N.V.,current
NL0009739416,2026-04-17,Marshall Wace LLP,0.81,PostNL N.V.,current
NL0011821392,2026-04-17,"PDT Partners, LLC",0.9,Signify N.V.,current
NL0011872650,2026-04-17,Sculptor Capital Management Europe Limited,0.6,Basic-Fit N.V.,current
NL0011872650,2026-04-17,Syquant Capital,0.51,Basic-Fit N.V.,current
LU2290522684,2026-04-17,"Two Sigma Investments, LP",1.47,InPost S.A.,current
NL0015002MS2,2026-04-17,Walleye Capital LLC,0.62,The Magnum Ice Cream Company N.V.,current
NL0010801007,2026-04-17,"WorldQuant, LLC",0.66,IMCD N.V.,current
NL0010801007,2026-04-16,Acadian Asset Management LLC.,0.69,IMCD N.V.,current
NL0013267909,2026-04-16,AKO Capital LLP,1.07,Akzo Nobel N.V.,current
NL0012969182,2026-04-16,"AQR Capital Management, LLC",1.3,Adyen N.V.,current
NL0015000IY2,2026-04-16,"AQR Capital Management, LLC",0.58,Universal Music Group N.V.,current
NL0011821392,2026-04-16,Citadel Advisors LLC,2.32,Signify N.V.,current
NL0012817175,2026-04-16,"D. E. Shaw & Co., L.P.",0.78,Alfen N.V.,current
