isin,net_short_position,position_date,issuer_name,position_holder,source
NL0012969182,1.3,2026-04-21,Adyen N.V.,"AQR Capital Management, LLC",current
NL0011821392,0.5,2026-04-21,Signify N.V.,"BlackRock Advisors, LLC",current
NL0011821392,0.91,2026-04-21,Signify N.V.,Canada Pension Plan Investment Board,current
NL0012969182,0.57,2026-04-21,Adyen N.V.,Capital Fund Management S.A.,current
NL0011821392,0.76,2026-04-21,Signify N.V.,Citadel Advisors Europe Limited,current
NL0011821392,1.82,2026-04-21,Signify N.V.,Citadel Advisors LLC,current
NL0000289213,0.7,2026-04-21,Wereldhave N.V.,Citadel Advisors LLC,current
NL0012817175,0.66,2026-04-21,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0013267909,0.65,2026-04-21,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",current
NL0015002MS2,0.42,2026-04-21,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,current
NL00150003E1,1.56,2026-04-21,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0000379121,0.67,2026-04-21,Randstad N.V.,Marshall Wace LLP,current
NL0013267909,0.57,2026-04-21,Akzo Nobel N.V.,Millennium International Management LP,current
NL0011821392,0.88,2026-04-21,Signify N.V.,"PDT Partners, LLC",current
CY0200751713,1.03,2026-04-21,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0010801007,0.49,2026-04-21,IMCD N.V.,Squarepoint Ops LLC,current
NL0012817175,1.48,2026-04-21,Alfen N.V.,Voleon Capital Management LP,current
NL0006237562,0.61,2026-04-21,ARCADIS N.V.,White Creek Capital LLP,current
NL0012817175,2.54,2026-04-21,Alfen N.V.,"WorldQuant, LLC",current
NL0012969182,1.29,2026-04-20,Adyen N.V.,"AQR Capital Management, LLC",current
NL0011821392,0.87,2026-04-20,Signify N.V.,Canada Pension Plan Investment Board,current
NL0011821392,0.94,2026-04-20,Signify N.V.,Citadel Advisors Europe Limited,current
NL0011821392,2.0,2026-04-20,Signify N.V.,Citadel Advisors LLC,current
NL0011872650,1.06,2026-04-20,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",current
NL0015002MS2,0.54,2026-04-20,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,current
NL00150003E1,1.45,2026-04-20,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0011872650,0.7,2026-04-20,Basic-Fit N.V.,Linden Advisors LP,current
NL0013267909,1.16,2026-04-20,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",current
JE00BRX98089,1.01,2026-04-20,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
NL0012817175,1.58,2026-04-20,Alfen N.V.,Voleon Capital Management LP,current
NL0006237562,0.57,2026-04-20,ARCADIS N.V.,White Creek Capital LLP,current
NL0012817175,2.67,2026-04-20,Alfen N.V.,"WorldQuant, LLC",current
NL0010801007,0.89,2026-04-17,IMCD N.V.,"BlackRock Financial Management, Inc.",current
NL0011821392,1.07,2026-04-17,Signify N.V.,Citadel Advisors Europe Limited,current
NL0010801007,0.53,2026-04-17,IMCD N.V.,Citadel Advisors LLC,current
NL0000379121,0.5,2026-04-17,Randstad N.V.,Citadel Advisors LLC,current
NL0011821392,2.22,2026-04-17,Signify N.V.,Citadel Advisors LLC,current
NL0000817179,0.71,2026-04-17,Sligro Food Group N.V.,Citadel Advisors LLC,current
NL0011872650,1.12,2026-04-17,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",current
NL0013267909,1.41,2026-04-17,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,current
NL0011872650,1.02,2026-04-17,Basic-Fit N.V.,Fosse Capital Partners LLP,current
NL00150003E1,1.06,2026-04-17,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0010801007,0.91,2026-04-17,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0013332471,1.22,2026-04-17,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0011872650,0.59,2026-04-17,Basic-Fit N.V.,Linden Advisors LP,current
NL0010801007,0.65,2026-04-17,IMCD N.V.,Marshall Wace LLP,current
NL0009739416,0.81,2026-04-17,PostNL N.V.,Marshall Wace LLP,current
NL0011821392,0.9,2026-04-17,Signify N.V.,"PDT Partners, LLC",current
NL0011872650,0.6,2026-04-17,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,current
LU2290522684,1.47,2026-04-17,InPost S.A.,"Two Sigma Investments, LP",current
NL0015002MS2,0.62,2026-04-17,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,current
NL0010801007,0.66,2026-04-17,IMCD N.V.,"WorldQuant, LLC",current
NL0010801007,0.69,2026-04-16,IMCD N.V.,Acadian Asset Management LLC.,current
NL0013267909,1.07,2026-04-16,Akzo Nobel N.V.,AKO Capital LLP,current
NL0012969182,1.3,2026-04-16,Adyen N.V.,"AQR Capital Management, LLC",current
NL0015000IY2,0.58,2026-04-16,Universal Music Group N.V.,"AQR Capital Management, LLC",current
NL0011821392,2.32,2026-04-16,Signify N.V.,Citadel Advisors LLC,current
NL0012817175,0.78,2026-04-16,Alfen N.V.,"D. E. Shaw & Co., L.P.",current
NL0010801007,0.85,2026-04-16,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0015002MS2,0.58,2026-04-16,The Magnum Ice Cream Company N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0010391025,1.18,2026-04-16,Pharming Group N.V.,Lazard Asset Management LLC,current
NL0010801007,0.52,2026-04-16,IMCD N.V.,Marshall Wace LLP,current
NL0011821392,0.79,2026-04-16,Signify N.V.,Millennium Capital (DIFC) Limited,current
NL0012817175,1.79,2026-04-16,Alfen N.V.,Voleon Capital Management LP,current
NL0012817175,2.75,2026-04-16,Alfen N.V.,"WorldQuant, LLC",current
NL0013267909,1.41,2026-04-15,Akzo Nobel N.V.,AKO Capital LLP,current
NL0012969182,0.68,2026-04-15,Adyen N.V.,Capital Fund Management S.A.,current
NL0011821392,1.17,2026-04-15,Signify N.V.,Citadel Advisors Europe Limited,current
CH1216478797,1.23,2026-04-15,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
NL0015002MS2,0.68,2026-04-15,The Magnum Ice Cream Company N.V.,Ilex Capital Partners (UK) LLP,current
NL0010801007,0.76,2026-04-15,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,current
NL0010391025,1.2,2026-04-15,Pharming Group N.V.,Lazard Asset Management LLC,current
NL0011821392,1.82,2026-04-15,Signify N.V.,Marshall Wace LLP,current
NL0015002MS2,1.15,2026-04-15,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
NL0011821392,0.8,2026-04-15,Signify N.V.,Millennium Capital (DIFC) Limited,current
CY0200751713,1.16,2026-04-15,Theon International Plc,Qube Research & Technologies Ltd.,current
NL0006237562,0.88,2026-04-15,ARCADIS N.V.,Squarepoint Ops LLC,current
