issuer_name,position_date,net_short_position,position_holder,isin,source
Pharming Group N.V.,2026-04-22,0.77,Capstone Volatility Master (Cayman) Limited,NL0010391025,current
Signify N.V.,2026-04-22,0.66,Citadel Advisors Europe Limited,NL0011821392,current
IMCD N.V.,2026-04-22,0.62,Citadel Advisors LLC,NL0010801007,current
Randstad N.V.,2026-04-22,0.66,Citadel Advisors LLC,NL0000379121,current
Signify N.V.,2026-04-22,1.71,Citadel Advisors LLC,NL0011821392,current
Wereldhave N.V.,2026-04-22,0.68,Citadel Advisors LLC,NL0000289213,current
Alfen N.V.,2026-04-22,0.58,"D. E. Shaw & Co., L.P.",NL0012817175,current
Akzo Nobel N.V.,2026-04-22,1.55,Davidson Kempner Capital Management LP,NL0013267909,current
Fugro N.V.,2026-04-22,1.73,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,current
IMCD N.V.,2026-04-22,0.56,Marshall Wace LLP,NL0010801007,current
Signify N.V.,2026-04-22,1.76,Marshall Wace LLP,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-04-22,1.09,Marshall Wace LLP,NL0015002MS2,current
Randstad N.V.,2026-04-22,0.53,Millennium International Management LP,NL0000379121,current
Alfen N.V.,2026-04-22,1.29,Voleon Capital Management LP,NL0012817175,current
Alfen N.V.,2026-04-22,2.37,"WorldQuant, LLC",NL0012817175,current
IMCD N.V.,2026-04-22,0.57,"WorldQuant, LLC",NL0010801007,current
Adyen N.V.,2026-04-21,1.3,"AQR Capital Management, LLC",NL0012969182,current
Signify N.V.,2026-04-21,0.5,"BlackRock Advisors, LLC",NL0011821392,current
Signify N.V.,2026-04-21,0.91,Canada Pension Plan Investment Board,NL0011821392,current
Adyen N.V.,2026-04-21,0.57,Capital Fund Management S.A.,NL0012969182,current
Signify N.V.,2026-04-21,0.76,Citadel Advisors Europe Limited,NL0011821392,current
Signify N.V.,2026-04-21,1.82,Citadel Advisors LLC,NL0011821392,current
Wereldhave N.V.,2026-04-21,0.7,Citadel Advisors LLC,NL0000289213,current
Alfen N.V.,2026-04-21,0.66,"D. E. Shaw & Co., L.P.",NL0012817175,current
Akzo Nobel N.V.,2026-04-21,0.65,"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,current
Fugro N.V.,2026-04-21,1.56,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,current
Randstad N.V.,2026-04-21,0.67,Marshall Wace LLP,NL0000379121,current
Akzo Nobel N.V.,2026-04-21,0.57,Millennium International Management LP,NL0013267909,current
Signify N.V.,2026-04-21,0.88,"PDT Partners, LLC",NL0011821392,current
Theon International Plc,2026-04-21,1.03,Qube Research & Technologies Ltd.,CY0200751713,current
Alfen N.V.,2026-04-21,1.48,Voleon Capital Management LP,NL0012817175,current
ARCADIS N.V.,2026-04-21,0.61,White Creek Capital LLP,NL0006237562,current
Alfen N.V.,2026-04-21,2.54,"WorldQuant, LLC",NL0012817175,current
Adyen N.V.,2026-04-20,1.29,"AQR Capital Management, LLC",NL0012969182,current
Signify N.V.,2026-04-20,0.87,Canada Pension Plan Investment Board,NL0011821392,current
Signify N.V.,2026-04-20,0.94,Citadel Advisors Europe Limited,NL0011821392,current
Signify N.V.,2026-04-20,2.0,Citadel Advisors LLC,NL0011821392,current
Basic-Fit N.V.,2026-04-20,1.06,"D. E. Shaw & Co., L.P.",NL0011872650,current
Fugro N.V.,2026-04-20,1.45,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,current
Basic-Fit N.V.,2026-04-20,0.7,Linden Advisors LP,NL0011872650,current
Akzo Nobel N.V.,2026-04-20,1.16,"O'Connor Alternative Investments, LLC",NL0013267909,current
CVC Capital Partners plc,2026-04-20,1.01,Qube Research & Technologies Ltd.,JE00BRX98089,current
Alfen N.V.,2026-04-20,1.58,Voleon Capital Management LP,NL0012817175,current
ARCADIS N.V.,2026-04-20,0.57,White Creek Capital LLP,NL0006237562,current
Alfen N.V.,2026-04-20,2.67,"WorldQuant, LLC",NL0012817175,current
IMCD N.V.,2026-04-17,0.89,"BlackRock Financial Management, Inc.",NL0010801007,current
Signify N.V.,2026-04-17,1.07,Citadel Advisors Europe Limited,NL0011821392,current
IMCD N.V.,2026-04-17,0.53,Citadel Advisors LLC,NL0010801007,current
Randstad N.V.,2026-04-17,0.5,Citadel Advisors LLC,NL0000379121,current
Signify N.V.,2026-04-17,2.22,Citadel Advisors LLC,NL0011821392,current
Sligro Food Group N.V.,2026-04-17,0.71,Citadel Advisors LLC,NL0000817179,current
Basic-Fit N.V.,2026-04-17,1.12,"D. E. Shaw & Co., L.P.",NL0011872650,current
Akzo Nobel N.V.,2026-04-17,1.41,Davidson Kempner Capital Management LP,NL0013267909,current
Basic-Fit N.V.,2026-04-17,1.02,Fosse Capital Partners LLP,NL0011872650,current
Fugro N.V.,2026-04-17,1.06,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,current
IMCD N.V.,2026-04-17,0.91,JPMorgan Asset Management (UK) Ltd.,NL0010801007,current
TomTom N.V.,2026-04-17,1.22,JPMorgan Asset Management (UK) Ltd.,NL0013332471,current
Basic-Fit N.V.,2026-04-17,0.59,Linden Advisors LP,NL0011872650,current
IMCD N.V.,2026-04-17,0.65,Marshall Wace LLP,NL0010801007,current
PostNL N.V.,2026-04-17,0.81,Marshall Wace LLP,NL0009739416,current
Signify N.V.,2026-04-17,0.9,"PDT Partners, LLC",NL0011821392,current
Basic-Fit N.V.,2026-04-17,0.6,Sculptor Capital Management Europe Limited,NL0011872650,current
InPost S.A.,2026-04-17,1.47,"Two Sigma Investments, LP",LU2290522684,current
The Magnum Ice Cream Company N.V.,2026-04-17,0.62,Walleye Capital LLC,NL0015002MS2,current
IMCD N.V.,2026-04-17,0.66,"WorldQuant, LLC",NL0010801007,current
IMCD N.V.,2026-04-16,0.69,Acadian Asset Management LLC.,NL0010801007,current
Akzo Nobel N.V.,2026-04-16,1.07,AKO Capital LLP,NL0013267909,current
Adyen N.V.,2026-04-16,1.3,"AQR Capital Management, LLC",NL0012969182,current
Universal Music Group N.V.,2026-04-16,0.58,"AQR Capital Management, LLC",NL0015000IY2,current
Signify N.V.,2026-04-16,2.32,Citadel Advisors LLC,NL0011821392,current
Alfen N.V.,2026-04-16,0.78,"D. E. Shaw & Co., L.P.",NL0012817175,current
IMCD N.V.,2026-04-16,0.85,JPMorgan Asset Management (UK) Ltd.,NL0010801007,current
The Magnum Ice Cream Company N.V.,2026-04-16,0.58,JPMorgan Asset Management (UK) Ltd.,NL0015002MS2,current
Pharming Group N.V.,2026-04-16,1.18,Lazard Asset Management LLC,NL0010391025,current
IMCD N.V.,2026-04-16,0.52,Marshall Wace LLP,NL0010801007,current
Signify N.V.,2026-04-16,0.79,Millennium Capital (DIFC) Limited,NL0011821392,current
Alfen N.V.,2026-04-16,1.79,Voleon Capital Management LP,NL0012817175,current
Alfen N.V.,2026-04-16,2.75,"WorldQuant, LLC",NL0012817175,current
Akzo Nobel N.V.,2026-04-15,1.41,AKO Capital LLP,NL0013267909,current
Adyen N.V.,2026-04-15,0.68,Capital Fund Management S.A.,NL0012969182,current
Signify N.V.,2026-04-15,1.17,Citadel Advisors Europe Limited,NL0011821392,current
DSM-Firmenich AG,2026-04-15,1.23,Ilex Capital Partners (UK) LLP,CH1216478797,current
IMCD N.V.,2026-04-15,0.76,JPMorgan Asset Management (UK) Ltd.,NL0010801007,current
Pharming Group N.V.,2026-04-15,1.2,Lazard Asset Management LLC,NL0010391025,current
Signify N.V.,2026-04-15,1.82,Marshall Wace LLP,NL0011821392,current
