issuer_name,position_date,isin,net_short_position,position_holder,source
Adyen N.V.,2026-04-23,NL0012969182,0.6,Capital Fund Management S.A.,current
Signify N.V.,2026-04-23,NL0011821392,1.68,Citadel Advisors LLC,current
Sligro Food Group N.V.,2026-04-23,NL0000817179,0.8,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-23,NL0011872650,0.84,Eleva Capital SAS,current
Randstad N.V.,2026-04-23,NL0000379121,0.58,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-23,NL0015002MS2,1.11,Marshall Wace LLP,current
Randstad N.V.,2026-04-23,NL0000379121,0.46,Millennium International Management LP,current
Alfen N.V.,2026-04-23,NL0012817175,0.5,Squarepoint Ops LLC,current
Alfen N.V.,2026-04-23,NL0012817175,2.21,"WorldQuant, LLC",current
Pharming Group N.V.,2026-04-22,NL0010391025,0.77,Capstone Volatility Master (Cayman) Limited,current
Signify N.V.,2026-04-22,NL0011821392,0.66,Citadel Advisors Europe Limited,current
IMCD N.V.,2026-04-22,NL0010801007,0.62,Citadel Advisors LLC,current
Randstad N.V.,2026-04-22,NL0000379121,0.66,Citadel Advisors LLC,current
Signify N.V.,2026-04-22,NL0011821392,1.71,Citadel Advisors LLC,current
Wereldhave N.V.,2026-04-22,NL0000289213,0.68,Citadel Advisors LLC,current
Alfen N.V.,2026-04-22,NL0012817175,0.58,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-04-22,NL0013267909,1.55,Davidson Kempner Capital Management LP,current
Fugro N.V.,2026-04-22,NL00150003E1,1.73,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,2026-04-22,NL0010801007,0.56,Marshall Wace LLP,current
Signify N.V.,2026-04-22,NL0011821392,1.76,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-04-22,NL0015002MS2,1.09,Marshall Wace LLP,current
Randstad N.V.,2026-04-22,NL0000379121,0.53,Millennium International Management LP,current
Alfen N.V.,2026-04-22,NL0012817175,1.29,Voleon Capital Management LP,current
Alfen N.V.,2026-04-22,NL0012817175,2.37,"WorldQuant, LLC",current
IMCD N.V.,2026-04-22,NL0010801007,0.57,"WorldQuant, LLC",current
Adyen N.V.,2026-04-21,NL0012969182,1.3,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-21,NL0011821392,0.5,"BlackRock Advisors, LLC",current
Signify N.V.,2026-04-21,NL0011821392,0.91,Canada Pension Plan Investment Board,current
Adyen N.V.,2026-04-21,NL0012969182,0.57,Capital Fund Management S.A.,current
Signify N.V.,2026-04-21,NL0011821392,0.76,Citadel Advisors Europe Limited,current
Signify N.V.,2026-04-21,NL0011821392,1.82,Citadel Advisors LLC,current
Wereldhave N.V.,2026-04-21,NL0000289213,0.7,Citadel Advisors LLC,current
Alfen N.V.,2026-04-21,NL0012817175,0.66,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-04-21,NL0013267909,0.65,"Empyrean Capital Overseas Master Fund, Ltd",current
Fugro N.V.,2026-04-21,NL00150003E1,1.56,JPMorgan Asset Management (UK) Ltd.,current
Randstad N.V.,2026-04-21,NL0000379121,0.67,Marshall Wace LLP,current
Akzo Nobel N.V.,2026-04-21,NL0013267909,0.57,Millennium International Management LP,current
Signify N.V.,2026-04-21,NL0011821392,0.88,"PDT Partners, LLC",current
Theon International Plc,2026-04-21,CY0200751713,1.03,Qube Research & Technologies Ltd.,current
Alfen N.V.,2026-04-21,NL0012817175,1.48,Voleon Capital Management LP,current
ARCADIS N.V.,2026-04-21,NL0006237562,0.61,White Creek Capital LLP,current
Alfen N.V.,2026-04-21,NL0012817175,2.54,"WorldQuant, LLC",current
Adyen N.V.,2026-04-20,NL0012969182,1.29,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-20,NL0011821392,0.87,Canada Pension Plan Investment Board,current
Signify N.V.,2026-04-20,NL0011821392,0.94,Citadel Advisors Europe Limited,current
Signify N.V.,2026-04-20,NL0011821392,2.0,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-20,NL0011872650,1.06,"D. E. Shaw & Co., L.P.",current
Fugro N.V.,2026-04-20,NL00150003E1,1.45,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,2026-04-20,NL0011872650,0.7,Linden Advisors LP,current
Akzo Nobel N.V.,2026-04-20,NL0013267909,1.16,"O'Connor Alternative Investments, LLC",current
CVC Capital Partners plc,2026-04-20,JE00BRX98089,1.01,Qube Research & Technologies Ltd.,current
Alfen N.V.,2026-04-20,NL0012817175,1.58,Voleon Capital Management LP,current
ARCADIS N.V.,2026-04-20,NL0006237562,0.57,White Creek Capital LLP,current
Alfen N.V.,2026-04-20,NL0012817175,2.67,"WorldQuant, LLC",current
IMCD N.V.,2026-04-17,NL0010801007,0.89,"BlackRock Financial Management, Inc.",current
Signify N.V.,2026-04-17,NL0011821392,1.07,Citadel Advisors Europe Limited,current
IMCD N.V.,2026-04-17,NL0010801007,0.53,Citadel Advisors LLC,current
Randstad N.V.,2026-04-17,NL0000379121,0.5,Citadel Advisors LLC,current
Signify N.V.,2026-04-17,NL0011821392,2.22,Citadel Advisors LLC,current
Sligro Food Group N.V.,2026-04-17,NL0000817179,0.71,Citadel Advisors LLC,current
Basic-Fit N.V.,2026-04-17,NL0011872650,1.12,"D. E. Shaw & Co., L.P.",current
Akzo Nobel N.V.,2026-04-17,NL0013267909,1.41,Davidson Kempner Capital Management LP,current
Basic-Fit N.V.,2026-04-17,NL0011872650,1.02,Fosse Capital Partners LLP,current
Fugro N.V.,2026-04-17,NL00150003E1,1.06,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,2026-04-17,NL0010801007,0.91,JPMorgan Asset Management (UK) Ltd.,current
TomTom N.V.,2026-04-17,NL0013332471,1.22,JPMorgan Asset Management (UK) Ltd.,current
Basic-Fit N.V.,2026-04-17,NL0011872650,0.59,Linden Advisors LP,current
IMCD N.V.,2026-04-17,NL0010801007,0.65,Marshall Wace LLP,current
PostNL N.V.,2026-04-17,NL0009739416,0.81,Marshall Wace LLP,current
Signify N.V.,2026-04-17,NL0011821392,0.9,"PDT Partners, LLC",current
Basic-Fit N.V.,2026-04-17,NL0011872650,0.6,Sculptor Capital Management Europe Limited,current
InPost S.A.,2026-04-17,LU2290522684,1.47,"Two Sigma Investments, LP",current
The Magnum Ice Cream Company N.V.,2026-04-17,NL0015002MS2,0.62,Walleye Capital LLC,current
IMCD N.V.,2026-04-17,NL0010801007,0.66,"WorldQuant, LLC",current
IMCD N.V.,2026-04-16,NL0010801007,0.69,Acadian Asset Management LLC.,current
Akzo Nobel N.V.,2026-04-16,NL0013267909,1.07,AKO Capital LLP,current
Adyen N.V.,2026-04-16,NL0012969182,1.3,"AQR Capital Management, LLC",current
Universal Music Group N.V.,2026-04-16,NL0015000IY2,0.58,"AQR Capital Management, LLC",current
Signify N.V.,2026-04-16,NL0011821392,2.32,Citadel Advisors LLC,current
