position_holder,position_date,isin,net_short_position,issuer_name,source
Albar Capital Partners LLP,2026-04-27,NL0013267909,0.5,Akzo Nobel N.V.,current
"AQR Capital Management, LLC",2026-04-27,NL0012969182,1.27,Adyen N.V.,current
Citadel Advisors Europe Limited,2026-04-27,NL0011821392,0.44,Signify N.V.,current
Citadel Advisors LLC,2026-04-27,NL0009739416,0.48,PostNL N.V.,current
Citadel Advisors LLC,2026-04-27,NL0000379121,0.69,Randstad N.V.,current
Citadel Advisors LLC,2026-04-27,NL0011821392,1.43,Signify N.V.,current
Ilex Capital Partners (UK) LLP,2026-04-27,CH1216478797,1.3,DSM-Firmenich AG,current
JPMorgan Asset Management (UK) Ltd.,2026-04-27,NL00150003E1,2.15,Fugro N.V.,current
Millennium Capital (DIFC) Limited,2026-04-27,NL0011821392,0.58,Signify N.V.,current
"WorldQuant, LLC",2026-04-27,NL0012817175,1.96,Alfen N.V.,current
Capital Fund Management S.A.,2026-04-24,NL0012969182,0.57,Adyen N.V.,current
Citadel Advisors LLC,2026-04-24,NL0000379121,0.7,Randstad N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-24,NL00150003E1,2.06,Fugro N.V.,current
Linden Advisors LP,2026-04-24,NL0011872650,0.82,Basic-Fit N.V.,current
Marshall Wace LLP,2026-04-24,NL0010801007,0.61,IMCD N.V.,current
Marshall Wace LLP,2026-04-24,NL0015002MS2,1.04,The Magnum Ice Cream Company N.V.,current
Qube Research & Technologies Ltd.,2026-04-24,JE00BRX98089,1.11,CVC Capital Partners plc,current
Qube Research & Technologies Ltd.,2026-04-24,CY0200751713,1.12,Theon International Plc,current
Squarepoint Ops LLC,2026-04-24,NL0006237562,0.79,ARCADIS N.V.,current
"WorldQuant, LLC",2026-04-24,NL0012817175,2.08,Alfen N.V.,current
Capital Fund Management S.A.,2026-04-23,NL0012969182,0.6,Adyen N.V.,current
Citadel Advisors LLC,2026-04-23,NL0011821392,1.68,Signify N.V.,current
Citadel Advisors LLC,2026-04-23,NL0000817179,0.8,Sligro Food Group N.V.,current
Eleva Capital SAS,2026-04-23,NL0011872650,0.84,Basic-Fit N.V.,current
Marshall Wace LLP,2026-04-23,NL0000379121,0.58,Randstad N.V.,current
Marshall Wace LLP,2026-04-23,NL0015002MS2,1.11,The Magnum Ice Cream Company N.V.,current
Squarepoint Ops LLC,2026-04-23,NL0012817175,0.5,Alfen N.V.,current
"WorldQuant, LLC",2026-04-23,NL0012817175,2.21,Alfen N.V.,current
Capstone Volatility Master (Cayman) Limited,2026-04-22,NL0010391025,0.77,Pharming Group N.V.,current
Citadel Advisors Europe Limited,2026-04-22,NL0011821392,0.66,Signify N.V.,current
Citadel Advisors LLC,2026-04-22,NL0010801007,0.62,IMCD N.V.,current
Citadel Advisors LLC,2026-04-22,NL0000379121,0.66,Randstad N.V.,current
Citadel Advisors LLC,2026-04-22,NL0011821392,1.71,Signify N.V.,current
Citadel Advisors LLC,2026-04-22,NL0000289213,0.68,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",2026-04-22,NL0012817175,0.58,Alfen N.V.,current
Davidson Kempner Capital Management LP,2026-04-22,NL0013267909,1.55,Akzo Nobel N.V.,current
JPMorgan Asset Management (UK) Ltd.,2026-04-22,NL00150003E1,1.73,Fugro N.V.,current
Marshall Wace LLP,2026-04-22,NL0010801007,0.56,IMCD N.V.,current
Marshall Wace LLP,2026-04-22,NL0011821392,1.76,Signify N.V.,current
Marshall Wace LLP,2026-04-22,NL0015002MS2,1.09,The Magnum Ice Cream Company N.V.,current
Voleon Capital Management LP,2026-04-22,NL0012817175,1.29,Alfen N.V.,current
"WorldQuant, LLC",2026-04-22,NL0012817175,2.37,Alfen N.V.,current
"WorldQuant, LLC",2026-04-22,NL0010801007,0.57,IMCD N.V.,current
"AQR Capital Management, LLC",2026-04-21,NL0012969182,1.3,Adyen N.V.,current
"BlackRock Advisors, LLC",2026-04-21,NL0011821392,0.5,Signify N.V.,current
Canada Pension Plan Investment Board,2026-04-21,NL0011821392,0.91,Signify N.V.,current
Capital Fund Management S.A.,2026-04-21,NL0012969182,0.57,Adyen N.V.,current
Citadel Advisors Europe Limited,2026-04-21,NL0011821392,0.76,Signify N.V.,current
Citadel Advisors LLC,2026-04-21,NL0011821392,1.82,Signify N.V.,current
Citadel Advisors LLC,2026-04-21,NL0000289213,0.7,Wereldhave N.V.,current
