issuer_name,position_holder,net_short_position,isin,position_date,source
The Magnum Ice Cream Company N.V.,"AQR Capital Management, LLC",0.51,NL0015002MS2,2026-04-28,current
Universal Music Group N.V.,"AQR Capital Management, LLC",0.49,NL0015000IY2,2026-04-28,current
IMCD N.V.,Citadel Advisors LLC,0.75,NL0010801007,2026-04-28,current
Signify N.V.,Citadel Advisors LLC,1.32,NL0011821392,2026-04-28,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",0.47,NL0012817175,2026-04-28,current
TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.17,NL0013332471,2026-04-28,current
Randstad N.V.,Marshall Wace LLP,0.6,NL0000379121,2026-04-28,current
Signify N.V.,Marshall Wace LLP,1.8,NL0011821392,2026-04-28,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,0.98,NL0015002MS2,2026-04-28,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.49,NL0011821392,2026-04-28,current
Alfen N.V.,Squarepoint Ops LLC,0.62,NL0012817175,2026-04-28,current
Alfen N.V.,Voleon Capital Management LP,1.19,NL0012817175,2026-04-28,current
Alfen N.V.,"WorldQuant, LLC",1.87,NL0012817175,2026-04-28,current
Akzo Nobel N.V.,Albar Capital Partners LLP,0.5,NL0013267909,2026-04-27,current
Adyen N.V.,"AQR Capital Management, LLC",1.27,NL0012969182,2026-04-27,current
Randstad N.V.,Citadel Advisors LLC,0.69,NL0000379121,2026-04-27,current
Signify N.V.,Citadel Advisors LLC,1.43,NL0011821392,2026-04-27,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.3,CH1216478797,2026-04-27,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.15,NL00150003E1,2026-04-27,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.58,NL0011821392,2026-04-27,current
Alfen N.V.,"WorldQuant, LLC",1.96,NL0012817175,2026-04-27,current
Adyen N.V.,Capital Fund Management S.A.,0.57,NL0012969182,2026-04-24,current
Randstad N.V.,Citadel Advisors LLC,0.7,NL0000379121,2026-04-24,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2.06,NL00150003E1,2026-04-24,current
Basic-Fit N.V.,Linden Advisors LP,0.82,NL0011872650,2026-04-24,current
IMCD N.V.,Marshall Wace LLP,0.61,NL0010801007,2026-04-24,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.04,NL0015002MS2,2026-04-24,current
CVC Capital Partners plc,Qube Research & Technologies Ltd.,1.11,JE00BRX98089,2026-04-24,current
Theon International Plc,Qube Research & Technologies Ltd.,1.12,CY0200751713,2026-04-24,current
ARCADIS N.V.,Squarepoint Ops LLC,0.79,NL0006237562,2026-04-24,current
Alfen N.V.,"WorldQuant, LLC",2.08,NL0012817175,2026-04-24,current
Adyen N.V.,Capital Fund Management S.A.,0.6,NL0012969182,2026-04-23,current
Signify N.V.,Citadel Advisors LLC,1.68,NL0011821392,2026-04-23,current
Sligro Food Group N.V.,Citadel Advisors LLC,0.8,NL0000817179,2026-04-23,current
Basic-Fit N.V.,Eleva Capital SAS,0.84,NL0011872650,2026-04-23,current
Randstad N.V.,Marshall Wace LLP,0.58,NL0000379121,2026-04-23,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.11,NL0015002MS2,2026-04-23,current
Alfen N.V.,Squarepoint Ops LLC,0.5,NL0012817175,2026-04-23,current
Alfen N.V.,"WorldQuant, LLC",2.21,NL0012817175,2026-04-23,current
Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,0.77,NL0010391025,2026-04-22,current
IMCD N.V.,Citadel Advisors LLC,0.62,NL0010801007,2026-04-22,current
Randstad N.V.,Citadel Advisors LLC,0.66,NL0000379121,2026-04-22,current
Signify N.V.,Citadel Advisors LLC,1.71,NL0011821392,2026-04-22,current
Wereldhave N.V.,Citadel Advisors LLC,0.68,NL0000289213,2026-04-22,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",0.58,NL0012817175,2026-04-22,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.55,NL0013267909,2026-04-22,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.73,NL00150003E1,2026-04-22,current
IMCD N.V.,Marshall Wace LLP,0.56,NL0010801007,2026-04-22,current
Signify N.V.,Marshall Wace LLP,1.76,NL0011821392,2026-04-22,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.09,NL0015002MS2,2026-04-22,current
Alfen N.V.,Voleon Capital Management LP,1.29,NL0012817175,2026-04-22,current
Alfen N.V.,"WorldQuant, LLC",2.37,NL0012817175,2026-04-22,current
IMCD N.V.,"WorldQuant, LLC",0.57,NL0010801007,2026-04-22,current
Adyen N.V.,"AQR Capital Management, LLC",1.3,NL0012969182,2026-04-21,current
Signify N.V.,"BlackRock Advisors, LLC",0.5,NL0011821392,2026-04-21,current
Signify N.V.,Canada Pension Plan Investment Board,0.91,NL0011821392,2026-04-21,current
Adyen N.V.,Capital Fund Management S.A.,0.57,NL0012969182,2026-04-21,current
Signify N.V.,Citadel Advisors LLC,1.82,NL0011821392,2026-04-21,current
Wereldhave N.V.,Citadel Advisors LLC,0.7,NL0000289213,2026-04-21,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",0.66,NL0012817175,2026-04-21,current
Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",0.65,NL0013267909,2026-04-21,current
Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.56,NL00150003E1,2026-04-21,current
