position_holder,isin,net_short_position,issuer_name,position_date,source
Citadel Advisors LLC,NL0010801007,0.83,IMCD N.V.,2026-04-29,current
Citadel Advisors LLC,NL0009739416,0.54,PostNL N.V.,2026-04-29,current
Citadel Advisors LLC,NL0011821392,1.29,Signify N.V.,2026-04-29,current
Citadel Advisors LLC,NL0000817179,0.9,Sligro Food Group N.V.,2026-04-29,current
"D. E. Shaw & Co., L.P.",NL0000395903,0.79,Wolters Kluwer N.V.,2026-04-29,current
GLG Partners LP,NL0015002MS2,0.59,The Magnum Ice Cream Company N.V.,2026-04-29,current
Marshall Wace LLP,JE00BRX98089,0.71,CVC Capital Partners plc,2026-04-29,current
Marshall Wace LLP,NL0010801007,0.74,IMCD N.V.,2026-04-29,current
Marshall Wace LLP,NL0011794037,0.51,Koninklijke Ahold Delhaize N.V.,2026-04-29,current
Marshall Wace LLP,NL0009739416,0.9,PostNL N.V.,2026-04-29,current
Millennium International Management LP,NL0013267909,0.6,Akzo Nobel N.V.,2026-04-29,current
"PDT Partners, LLC",NL0011821392,0.9,Signify N.V.,2026-04-29,current
Qube Research & Technologies Ltd.,CY0200751713,1.2,Theon International Plc,2026-04-29,current
Walleye Capital LLC,NL0015002MS2,0.7,The Magnum Ice Cream Company N.V.,2026-04-29,current
"WorldQuant, LLC",NL0010801007,0.49,IMCD N.V.,2026-04-29,current
"AQR Capital Management, LLC",NL0015002MS2,0.51,The Magnum Ice Cream Company N.V.,2026-04-28,current
Citadel Advisors LLC,NL0010801007,0.75,IMCD N.V.,2026-04-28,current
Citadel Advisors LLC,NL0011821392,1.32,Signify N.V.,2026-04-28,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,1.17,TomTom N.V.,2026-04-28,current
Marshall Wace LLP,NL0000379121,0.6,Randstad N.V.,2026-04-28,current
Marshall Wace LLP,NL0011821392,1.8,Signify N.V.,2026-04-28,current
Marshall Wace LLP,NL0015002MS2,0.98,The Magnum Ice Cream Company N.V.,2026-04-28,current
Squarepoint Ops LLC,NL0012817175,0.62,Alfen N.V.,2026-04-28,current
Voleon Capital Management LP,NL0012817175,1.19,Alfen N.V.,2026-04-28,current
"WorldQuant, LLC",NL0012817175,1.87,Alfen N.V.,2026-04-28,current
Albar Capital Partners LLP,NL0013267909,0.5,Akzo Nobel N.V.,2026-04-27,current
"AQR Capital Management, LLC",NL0012969182,1.27,Adyen N.V.,2026-04-27,current
Citadel Advisors LLC,NL0000379121,0.69,Randstad N.V.,2026-04-27,current
Citadel Advisors LLC,NL0011821392,1.43,Signify N.V.,2026-04-27,current
Ilex Capital Partners (UK) LLP,CH1216478797,1.3,DSM-Firmenich AG,2026-04-27,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2.15,Fugro N.V.,2026-04-27,current
"WorldQuant, LLC",NL0012817175,1.96,Alfen N.V.,2026-04-27,current
Capital Fund Management S.A.,NL0012969182,0.57,Adyen N.V.,2026-04-24,current
Citadel Advisors LLC,NL0000379121,0.7,Randstad N.V.,2026-04-24,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2.06,Fugro N.V.,2026-04-24,current
Linden Advisors LP,NL0011872650,0.82,Basic-Fit N.V.,2026-04-24,current
Marshall Wace LLP,NL0010801007,0.61,IMCD N.V.,2026-04-24,current
Marshall Wace LLP,NL0015002MS2,1.04,The Magnum Ice Cream Company N.V.,2026-04-24,current
Qube Research & Technologies Ltd.,JE00BRX98089,1.11,CVC Capital Partners plc,2026-04-24,current
Qube Research & Technologies Ltd.,CY0200751713,1.12,Theon International Plc,2026-04-24,current
Squarepoint Ops LLC,NL0006237562,0.79,ARCADIS N.V.,2026-04-24,current
"WorldQuant, LLC",NL0012817175,2.08,Alfen N.V.,2026-04-24,current
Capital Fund Management S.A.,NL0012969182,0.6,Adyen N.V.,2026-04-23,current
Citadel Advisors LLC,NL0011821392,1.68,Signify N.V.,2026-04-23,current
Citadel Advisors LLC,NL0000817179,0.8,Sligro Food Group N.V.,2026-04-23,current
Eleva Capital SAS,NL0011872650,0.84,Basic-Fit N.V.,2026-04-23,current
Marshall Wace LLP,NL0000379121,0.58,Randstad N.V.,2026-04-23,current
Marshall Wace LLP,NL0015002MS2,1.11,The Magnum Ice Cream Company N.V.,2026-04-23,current
Squarepoint Ops LLC,NL0012817175,0.5,Alfen N.V.,2026-04-23,current
"WorldQuant, LLC",NL0012817175,2.21,Alfen N.V.,2026-04-23,current
Capstone Volatility Master (Cayman) Limited,NL0010391025,0.77,Pharming Group N.V.,2026-04-22,current
Citadel Advisors LLC,NL0010801007,0.62,IMCD N.V.,2026-04-22,current
Citadel Advisors LLC,NL0000379121,0.66,Randstad N.V.,2026-04-22,current
Citadel Advisors LLC,NL0011821392,1.71,Signify N.V.,2026-04-22,current
Citadel Advisors LLC,NL0000289213,0.68,Wereldhave N.V.,2026-04-22,current
Davidson Kempner Capital Management LP,NL0013267909,1.55,Akzo Nobel N.V.,2026-04-22,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,1.73,Fugro N.V.,2026-04-22,current
Marshall Wace LLP,NL0010801007,0.56,IMCD N.V.,2026-04-22,current
Marshall Wace LLP,NL0011821392,1.76,Signify N.V.,2026-04-22,current
Marshall Wace LLP,NL0015002MS2,1.09,The Magnum Ice Cream Company N.V.,2026-04-22,current
Voleon Capital Management LP,NL0012817175,1.29,Alfen N.V.,2026-04-22,current
"WorldQuant, LLC",NL0012817175,2.37,Alfen N.V.,2026-04-22,current
"WorldQuant, LLC",NL0010801007,0.57,IMCD N.V.,2026-04-22,current
"AQR Capital Management, LLC",NL0012969182,1.3,Adyen N.V.,2026-04-21,current
"BlackRock Advisors, LLC",NL0011821392,0.5,Signify N.V.,2026-04-21,current
Canada Pension Plan Investment Board,NL0011821392,0.91,Signify N.V.,2026-04-21,current
Capital Fund Management S.A.,NL0012969182,0.57,Adyen N.V.,2026-04-21,current
Citadel Advisors LLC,NL0011821392,1.82,Signify N.V.,2026-04-21,current
Citadel Advisors LLC,NL0000289213,0.7,Wereldhave N.V.,2026-04-21,current
"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,0.65,Akzo Nobel N.V.,2026-04-21,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,1.56,Fugro N.V.,2026-04-21,current
Marshall Wace LLP,NL0000379121,0.67,Randstad N.V.,2026-04-21,current
Millennium International Management LP,NL0013267909,0.57,Akzo Nobel N.V.,2026-04-21,current
"PDT Partners, LLC",NL0011821392,0.88,Signify N.V.,2026-04-21,current
Qube Research & Technologies Ltd.,CY0200751713,1.03,Theon International Plc,2026-04-21,current
Voleon Capital Management LP,NL0012817175,1.48,Alfen N.V.,2026-04-21,current
White Creek Capital LLP,NL0006237562,0.61,ARCADIS N.V.,2026-04-21,current
"WorldQuant, LLC",NL0012817175,2.54,Alfen N.V.,2026-04-21,current
"AQR Capital Management, LLC",NL0012969182,1.29,Adyen N.V.,2026-04-20,current
Canada Pension Plan Investment Board,NL0011821392,0.87,Signify N.V.,2026-04-20,current
Citadel Advisors LLC,NL0011821392,2.0,Signify N.V.,2026-04-20,current
"D. E. Shaw & Co., L.P.",NL0011872650,1.06,Basic-Fit N.V.,2026-04-20,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,1.45,Fugro N.V.,2026-04-20,current
Linden Advisors LP,NL0011872650,0.7,Basic-Fit N.V.,2026-04-20,current
"O'Connor Alternative Investments, LLC",NL0013267909,1.16,Akzo Nobel N.V.,2026-04-20,current
Qube Research & Technologies Ltd.,JE00BRX98089,1.01,CVC Capital Partners plc,2026-04-20,current
Voleon Capital Management LP,NL0012817175,1.58,Alfen N.V.,2026-04-20,current
White Creek Capital LLP,NL0006237562,0.57,ARCADIS N.V.,2026-04-20,current
"WorldQuant, LLC",NL0012817175,2.67,Alfen N.V.,2026-04-20,current
"BlackRock Financial Management, Inc.",NL0010801007,0.89,IMCD N.V.,2026-04-17,current
Citadel Advisors LLC,NL0010801007,0.53,IMCD N.V.,2026-04-17,current
Citadel Advisors LLC,NL0000379121,0.5,Randstad N.V.,2026-04-17,current
Citadel Advisors LLC,NL0011821392,2.22,Signify N.V.,2026-04-17,current
Citadel Advisors LLC,NL0000817179,0.71,Sligro Food Group N.V.,2026-04-17,current
"D. E. Shaw & Co., L.P.",NL0011872650,1.12,Basic-Fit N.V.,2026-04-17,current
Davidson Kempner Capital Management LP,NL0013267909,1.41,Akzo Nobel N.V.,2026-04-17,current
Fosse Capital Partners LLP,NL0011872650,1.02,Basic-Fit N.V.,2026-04-17,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,1.06,Fugro N.V.,2026-04-17,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,0.91,IMCD N.V.,2026-04-17,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,1.22,TomTom N.V.,2026-04-17,current
Linden Advisors LP,NL0011872650,0.59,Basic-Fit N.V.,2026-04-17,current
Marshall Wace LLP,NL0010801007,0.65,IMCD N.V.,2026-04-17,current
Marshall Wace LLP,NL0009739416,0.81,PostNL N.V.,2026-04-17,current
"PDT Partners, LLC",NL0011821392,0.9,Signify N.V.,2026-04-17,current
Sculptor Capital Management Europe Limited,NL0011872650,0.6,Basic-Fit N.V.,2026-04-17,current
"Two Sigma Investments, LP",LU2290522684,1.47,InPost S.A.,2026-04-17,current
Walleye Capital LLC,NL0015002MS2,0.62,The Magnum Ice Cream Company N.V.,2026-04-17,current
"WorldQuant, LLC",NL0010801007,0.66,IMCD N.V.,2026-04-17,current
Acadian Asset Management LLC.,NL0010801007,0.69,IMCD N.V.,2026-04-16,current
AKO Capital LLP,NL0013267909,1.07,Akzo Nobel N.V.,2026-04-16,current
"AQR Capital Management, LLC",NL0012969182,1.3,Adyen N.V.,2026-04-16,current
Citadel Advisors LLC,NL0011821392,2.32,Signify N.V.,2026-04-16,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,0.85,IMCD N.V.,2026-04-16,current
JPMorgan Asset Management (UK) Ltd.,NL0015002MS2,0.58,The Magnum Ice Cream Company N.V.,2026-04-16,current
Lazard Asset Management LLC,NL0010391025,1.18,Pharming Group N.V.,2026-04-16,current
Marshall Wace LLP,NL0010801007,0.52,IMCD N.V.,2026-04-16,current
Voleon Capital Management LP,NL0012817175,1.79,Alfen N.V.,2026-04-16,current
