net_short_position,issuer_name,position_holder,position_date,isin,source
0.55,Signify N.V.,Citadel Advisors Europe Limited,2026-04-30,NL0011821392,current
0.57,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",2026-04-30,NL0006237562,current
0.7,PostNL N.V.,"D. E. Shaw & Co., L.P.",2026-04-30,NL0009739416,current
0.5,Pharming Group N.V.,Jupiter Asset Management Ltd.,2026-04-30,NL0010391025,current
0.89,PostNL N.V.,Marshall Wace LLP,2026-04-30,NL0009739416,current
0.86,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-30,NL0015002MS2,current
0.89,Signify N.V.,"PDT Partners, LLC",2026-04-30,NL0011821392,current
0.6,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,2026-04-30,NL0015002MS2,current
0.59,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,2026-04-30,NL0011872650,current
0.73,Alfen N.V.,Squarepoint Ops LLC,2026-04-30,NL0012817175,current
0.56,ARCADIS N.V.,White Creek Capital LLP,2026-04-30,NL0006237562,current
1.71,Alfen N.V.,"WorldQuant, LLC",2026-04-30,NL0012817175,current
0.83,IMCD N.V.,Citadel Advisors LLC,2026-04-29,NL0010801007,current
0.54,PostNL N.V.,Citadel Advisors LLC,2026-04-29,NL0009739416,current
1.29,Signify N.V.,Citadel Advisors LLC,2026-04-29,NL0011821392,current
0.9,Sligro Food Group N.V.,Citadel Advisors LLC,2026-04-29,NL0000817179,current
0.79,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",2026-04-29,NL0000395903,current
0.59,The Magnum Ice Cream Company N.V.,GLG Partners LP,2026-04-29,NL0015002MS2,current
0.71,CVC Capital Partners plc,Marshall Wace LLP,2026-04-29,JE00BRX98089,current
0.74,IMCD N.V.,Marshall Wace LLP,2026-04-29,NL0010801007,current
0.51,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,2026-04-29,NL0011794037,current
0.9,PostNL N.V.,Marshall Wace LLP,2026-04-29,NL0009739416,current
0.6,Akzo Nobel N.V.,Millennium International Management LP,2026-04-29,NL0013267909,current
0.9,Signify N.V.,"PDT Partners, LLC",2026-04-29,NL0011821392,current
1.2,Theon International Plc,Qube Research & Technologies Ltd.,2026-04-29,CY0200751713,current
0.7,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,2026-04-29,NL0015002MS2,current
0.51,The Magnum Ice Cream Company N.V.,"AQR Capital Management, LLC",2026-04-28,NL0015002MS2,current
0.75,IMCD N.V.,Citadel Advisors LLC,2026-04-28,NL0010801007,current
1.32,Signify N.V.,Citadel Advisors LLC,2026-04-28,NL0011821392,current
1.17,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-28,NL0013332471,current
0.6,Randstad N.V.,Marshall Wace LLP,2026-04-28,NL0000379121,current
1.8,Signify N.V.,Marshall Wace LLP,2026-04-28,NL0011821392,current
0.98,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-28,NL0015002MS2,current
0.62,Alfen N.V.,Squarepoint Ops LLC,2026-04-28,NL0012817175,current
1.19,Alfen N.V.,Voleon Capital Management LP,2026-04-28,NL0012817175,current
1.87,Alfen N.V.,"WorldQuant, LLC",2026-04-28,NL0012817175,current
0.5,Akzo Nobel N.V.,Albar Capital Partners LLP,2026-04-27,NL0013267909,current
1.27,Adyen N.V.,"AQR Capital Management, LLC",2026-04-27,NL0012969182,current
0.69,Randstad N.V.,Citadel Advisors LLC,2026-04-27,NL0000379121,current
1.43,Signify N.V.,Citadel Advisors LLC,2026-04-27,NL0011821392,current
1.3,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-04-27,CH1216478797,current
2.15,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-27,NL00150003E1,current
1.96,Alfen N.V.,"WorldQuant, LLC",2026-04-27,NL0012817175,current
0.57,Adyen N.V.,Capital Fund Management S.A.,2026-04-24,NL0012969182,current
0.7,Randstad N.V.,Citadel Advisors LLC,2026-04-24,NL0000379121,current
2.06,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-24,NL00150003E1,current
0.82,Basic-Fit N.V.,Linden Advisors LP,2026-04-24,NL0011872650,current
0.61,IMCD N.V.,Marshall Wace LLP,2026-04-24,NL0010801007,current
1.04,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-24,NL0015002MS2,current
1.11,CVC Capital Partners plc,Qube Research & Technologies Ltd.,2026-04-24,JE00BRX98089,current
1.12,Theon International Plc,Qube Research & Technologies Ltd.,2026-04-24,CY0200751713,current
0.79,ARCADIS N.V.,Squarepoint Ops LLC,2026-04-24,NL0006237562,current
2.08,Alfen N.V.,"WorldQuant, LLC",2026-04-24,NL0012817175,current
0.6,Adyen N.V.,Capital Fund Management S.A.,2026-04-23,NL0012969182,current
1.68,Signify N.V.,Citadel Advisors LLC,2026-04-23,NL0011821392,current
0.8,Sligro Food Group N.V.,Citadel Advisors LLC,2026-04-23,NL0000817179,current
0.84,Basic-Fit N.V.,Eleva Capital SAS,2026-04-23,NL0011872650,current
0.58,Randstad N.V.,Marshall Wace LLP,2026-04-23,NL0000379121,current
1.11,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-23,NL0015002MS2,current
0.5,Alfen N.V.,Squarepoint Ops LLC,2026-04-23,NL0012817175,current
2.21,Alfen N.V.,"WorldQuant, LLC",2026-04-23,NL0012817175,current
0.77,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,2026-04-22,NL0010391025,current
0.62,IMCD N.V.,Citadel Advisors LLC,2026-04-22,NL0010801007,current
0.66,Randstad N.V.,Citadel Advisors LLC,2026-04-22,NL0000379121,current
1.71,Signify N.V.,Citadel Advisors LLC,2026-04-22,NL0011821392,current
0.68,Wereldhave N.V.,Citadel Advisors LLC,2026-04-22,NL0000289213,current
1.55,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-04-22,NL0013267909,current
1.73,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-22,NL00150003E1,current
0.56,IMCD N.V.,Marshall Wace LLP,2026-04-22,NL0010801007,current
1.76,Signify N.V.,Marshall Wace LLP,2026-04-22,NL0011821392,current
