position_holder,isin,issuer_name,position_date,net_short_position,source
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,2026-05-04,0.81,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,2026-05-04,0.7,current
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,2026-05-04,0.69,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,2026-05-04,1.61,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-05-04,0.92,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-05-04,0.67,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,2026-04-30,0.55,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,2026-04-30,0.57,current
"D. E. Shaw & Co., L.P.",NL0009739416,PostNL N.V.,2026-04-30,0.7,current
Jupiter Asset Management Ltd.,NL0010391025,Pharming Group N.V.,2026-04-30,0.5,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,2026-04-30,0.89,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-30,0.86,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,2026-04-30,0.89,current
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-30,0.6,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,2026-04-30,0.59,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,2026-04-30,0.73,current
White Creek Capital LLP,NL0006237562,ARCADIS N.V.,2026-04-30,0.56,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-30,1.71,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,2026-04-29,0.83,current
Citadel Advisors LLC,NL0009739416,PostNL N.V.,2026-04-29,0.54,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-29,1.29,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,2026-04-29,0.9,current
"D. E. Shaw & Co., L.P.",NL0000395903,Wolters Kluwer N.V.,2026-04-29,0.79,current
GLG Partners LP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-29,0.59,current
Marshall Wace LLP,JE00BRX98089,CVC Capital Partners plc,2026-04-29,0.71,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,2026-04-29,0.74,current
Marshall Wace LLP,NL0011794037,Koninklijke Ahold Delhaize N.V.,2026-04-29,0.51,current
Marshall Wace LLP,NL0009739416,PostNL N.V.,2026-04-29,0.9,current
Millennium International Management LP,NL0013267909,Akzo Nobel N.V.,2026-04-29,0.6,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,2026-04-29,0.9,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-04-29,1.2,current
Walleye Capital LLC,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-29,0.7,current
"AQR Capital Management, LLC",NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-28,0.51,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,2026-04-28,0.75,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-28,1.32,current
JPMorgan Asset Management (UK) Ltd.,NL0013332471,TomTom N.V.,2026-04-28,1.17,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-04-28,0.6,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-04-28,1.8,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-28,0.98,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,2026-04-28,0.62,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-28,1.19,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-28,1.87,current
Albar Capital Partners LLP,NL0013267909,Akzo Nobel N.V.,2026-04-27,0.5,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,2026-04-27,1.27,current
Citadel Advisors LLC,NL0000379121,Randstad N.V.,2026-04-27,0.69,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-27,1.43,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,2026-04-27,1.3,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-27,2.15,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-27,1.96,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-04-24,0.57,current
Citadel Advisors LLC,NL0000379121,Randstad N.V.,2026-04-24,0.7,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-24,2.06,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,2026-04-24,0.82,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,2026-04-24,0.61,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-24,1.04,current
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,2026-04-24,1.11,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-04-24,1.12,current
Squarepoint Ops LLC,NL0006237562,ARCADIS N.V.,2026-04-24,0.79,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-24,2.08,current
Capital Fund Management S.A.,NL0012969182,Adyen N.V.,2026-04-23,0.6,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-23,1.68,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,2026-04-23,0.8,current
Eleva Capital SAS,NL0011872650,Basic-Fit N.V.,2026-04-23,0.84,current
Marshall Wace LLP,NL0000379121,Randstad N.V.,2026-04-23,0.58,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-23,1.11,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,2026-04-23,0.5,current
"WorldQuant, LLC",NL0012817175,Alfen N.V.,2026-04-23,2.21,current
Capstone Volatility Master (Cayman) Limited,NL0010391025,Pharming Group N.V.,2026-04-22,0.77,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,2026-04-22,0.62,current
Citadel Advisors LLC,NL0000379121,Randstad N.V.,2026-04-22,0.66,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2026-04-22,1.71,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,2026-04-22,0.68,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,2026-04-22,1.55,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2026-04-22,1.73,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,2026-04-22,0.56,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-04-22,1.76,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-04-22,1.09,current
Voleon Capital Management LP,NL0012817175,Alfen N.V.,2026-04-22,1.29,current
