net_short_position,isin,position_date,position_holder,issuer_name,source
0.39,NL0013267909,2026-05-06,Albar Capital Partners LLP,Akzo Nobel N.V.,current
0.79,NL0010801007,2026-05-06,Capital Fund Management S.A.,IMCD N.V.,current
0.82,NL0010801007,2026-05-06,Citadel Advisors LLC,IMCD N.V.,current
1.41,NL0011821392,2026-05-06,Citadel Advisors LLC,Signify N.V.,current
1.4,CH1216478797,2026-05-06,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.69,JE00BRX98089,2026-05-06,Marshall Wace LLP,CVC Capital Partners plc,current
0.83,NL0010801007,2026-05-06,Marshall Wace LLP,IMCD N.V.,current
0.77,NL0010801007,2026-05-06,"PDT Partners, LLC",IMCD N.V.,current
0.9,NL0011821392,2026-05-06,"PDT Partners, LLC",Signify N.V.,current
0.85,NL0012817175,2026-05-06,Voleon Capital Management LP,Alfen N.V.,current
0.6,NL0012969182,2026-05-05,Capital Fund Management S.A.,Adyen N.V.,current
0.5,NL0015002MS2,2026-05-05,Capital Fund Management S.A.,The Magnum Ice Cream Company N.V.,current
0.8,NL0011821392,2026-05-05,Citadel Advisors Europe Limited,Signify N.V.,current
0.9,NL0010801007,2026-05-05,Citadel Advisors LLC,IMCD N.V.,current
1.36,NL0011821392,2026-05-05,Citadel Advisors LLC,Signify N.V.,current
0.98,NL0011872650,2026-05-05,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,current
0.7,NL0009739416,2026-05-05,"D. E. Shaw & Co., L.P.",PostNL N.V.,current
1.09,NL0013332471,2026-05-05,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,current
1.76,NL0011821392,2026-05-05,Marshall Wace LLP,Signify N.V.,current
1.3,CY0200751713,2026-05-05,Qube Research & Technologies Ltd.,Theon International Plc,current
0.65,NL0011872650,2026-05-05,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,current
0.68,NL0006237562,2026-05-05,Squarepoint Ops LLC,ARCADIS N.V.,current
1.65,NL0012817175,2026-05-05,"WorldQuant, LLC",Alfen N.V.,current
0.81,NL0010801007,2026-05-04,Capital Fund Management S.A.,IMCD N.V.,current
0.7,NL0011821392,2026-05-04,Citadel Advisors Europe Limited,Signify N.V.,current
0.69,NL0009739416,2026-05-04,"D. E. Shaw & Co., L.P.",PostNL N.V.,current
1.61,NL0013267909,2026-05-04,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,current
0.92,NL0012817175,2026-05-04,Voleon Capital Management LP,Alfen N.V.,current
0.67,NL0015002MS2,2026-05-04,Walleye Capital LLC,The Magnum Ice Cream Company N.V.,current
0.55,NL0011821392,2026-04-30,Citadel Advisors Europe Limited,Signify N.V.,current
0.57,NL0006237562,2026-04-30,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
0.7,NL0009739416,2026-04-30,"D. E. Shaw & Co., L.P.",PostNL N.V.,current
0.5,NL0010391025,2026-04-30,Jupiter Asset Management Ltd.,Pharming Group N.V.,current
0.89,NL0009739416,2026-04-30,Marshall Wace LLP,PostNL N.V.,current
0.86,NL0015002MS2,2026-04-30,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.89,NL0011821392,2026-04-30,"PDT Partners, LLC",Signify N.V.,current
0.6,NL0015002MS2,2026-04-30,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,current
0.59,NL0011872650,2026-04-30,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,current
0.73,NL0012817175,2026-04-30,Squarepoint Ops LLC,Alfen N.V.,current
0.56,NL0006237562,2026-04-30,White Creek Capital LLP,ARCADIS N.V.,current
1.71,NL0012817175,2026-04-30,"WorldQuant, LLC",Alfen N.V.,current
0.83,NL0010801007,2026-04-29,Citadel Advisors LLC,IMCD N.V.,current
0.54,NL0009739416,2026-04-29,Citadel Advisors LLC,PostNL N.V.,current
1.29,NL0011821392,2026-04-29,Citadel Advisors LLC,Signify N.V.,current
0.9,NL0000817179,2026-04-29,Citadel Advisors LLC,Sligro Food Group N.V.,current
0.79,NL0000395903,2026-04-29,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
0.59,NL0015002MS2,2026-04-29,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
0.71,JE00BRX98089,2026-04-29,Marshall Wace LLP,CVC Capital Partners plc,current
0.74,NL0010801007,2026-04-29,Marshall Wace LLP,IMCD N.V.,current
0.51,NL0011794037,2026-04-29,Marshall Wace LLP,Koninklijke Ahold Delhaize N.V.,current
0.9,NL0009739416,2026-04-29,Marshall Wace LLP,PostNL N.V.,current
0.6,NL0013267909,2026-04-29,Millennium International Management LP,Akzo Nobel N.V.,current
0.9,NL0011821392,2026-04-29,"PDT Partners, LLC",Signify N.V.,current
1.2,CY0200751713,2026-04-29,Qube Research & Technologies Ltd.,Theon International Plc,current
0.7,NL0015002MS2,2026-04-29,Walleye Capital LLC,The Magnum Ice Cream Company N.V.,current
0.51,NL0015002MS2,2026-04-28,"AQR Capital Management, LLC",The Magnum Ice Cream Company N.V.,current
0.75,NL0010801007,2026-04-28,Citadel Advisors LLC,IMCD N.V.,current
1.32,NL0011821392,2026-04-28,Citadel Advisors LLC,Signify N.V.,current
1.17,NL0013332471,2026-04-28,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,current
0.6,NL0000379121,2026-04-28,Marshall Wace LLP,Randstad N.V.,current
1.8,NL0011821392,2026-04-28,Marshall Wace LLP,Signify N.V.,current
0.98,NL0015002MS2,2026-04-28,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.62,NL0012817175,2026-04-28,Squarepoint Ops LLC,Alfen N.V.,current
1.19,NL0012817175,2026-04-28,Voleon Capital Management LP,Alfen N.V.,current
1.87,NL0012817175,2026-04-28,"WorldQuant, LLC",Alfen N.V.,current
0.5,NL0013267909,2026-04-27,Albar Capital Partners LLP,Akzo Nobel N.V.,current
1.27,NL0012969182,2026-04-27,"AQR Capital Management, LLC",Adyen N.V.,current
0.69,NL0000379121,2026-04-27,Citadel Advisors LLC,Randstad N.V.,current
1.43,NL0011821392,2026-04-27,Citadel Advisors LLC,Signify N.V.,current
1.3,CH1216478797,2026-04-27,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
2.15,NL00150003E1,2026-04-27,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
1.96,NL0012817175,2026-04-27,"WorldQuant, LLC",Alfen N.V.,current
0.57,NL0012969182,2026-04-24,Capital Fund Management S.A.,Adyen N.V.,current
0.7,NL0000379121,2026-04-24,Citadel Advisors LLC,Randstad N.V.,current
