position_date,net_short_position,isin,issuer_name,position_holder,source
2026-05-14,0.51,BMG3602E1084,Flow Traders Ltd.,Capital Fund Management S.A.,current
2026-05-14,0.78,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-05-14,0.47,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,current
2026-05-14,0.49,NL0015002K83,Havas N.V.,Citadel Advisors LLC,current
2026-05-14,0.89,NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",current
2026-05-14,0.66,NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-05-14,0.65,NL0012817175,Alfen N.V.,Millennium International Management LP,current
2026-05-14,0.8,NL0010801007,IMCD N.V.,"PDT Partners, LLC",current
2026-05-14,0.77,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,current
2026-05-14,1.27,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-05-13,0.8,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-05-13,0.6,NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,current
2026-05-13,0.7,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-05-13,1.61,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-05-13,0.53,NL0010391025,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",current
2026-05-13,0.49,NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,current
2026-05-13,0.91,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",current
2026-05-13,0.35,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-05-13,0.74,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,current
2026-05-12,0.59,NL0010801007,IMCD N.V.,"BlackRock Advisors, LLC",current
2026-05-12,0.71,NL0011821392,Signify N.V.,"BlackRock Financial Management, Inc.",current
2026-05-12,0.79,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-05-12,0.5,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,current
2026-05-12,0.69,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-05-12,0.82,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,current
2026-05-12,0.8,NL0012365084,NSI N.V.,Numeric Investors LLC,current
2026-05-12,1.36,LU2290522684,InPost S.A.,"Two Sigma Investments, LP",current
2026-05-12,0.54,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-05-12,1.45,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-05-11,0.8,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-05-11,0.52,NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,current
2026-05-11,1.02,NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,current
2026-05-11,0.5,CH1216478797,DSM-Firmenich AG,Citadel Advisors LLC,current
2026-05-11,0.79,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-05-11,0.7,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,current
2026-05-11,0.6,NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
2026-05-11,0.55,NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,current
2026-05-11,0.58,NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,current
2026-05-11,0.86,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",current
2026-05-11,0.8,CY0200751713,Theon International Plc,"Two Sigma Investments, LP",current
2026-05-11,0.65,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-05-11,0.63,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,current
2026-05-08,0.59,NL0012969182,Adyen N.V.,Capital Fund Management S.A.,current
2026-05-08,0.57,NL0000379121,Randstad N.V.,Citadel Advisors LLC,current
2026-05-08,1.5,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-05-08,1.72,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,current
2026-05-08,0.61,NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,current
2026-05-08,0.75,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",current
2026-05-08,0.76,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-05-08,0.53,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,current
2026-05-07,0.58,NL0010801007,IMCD N.V.,Acadian Asset Management LLC.,current
2026-05-07,0.5,NL0000379121,Randstad N.V.,Citadel Advisors Europe Limited,current
2026-05-07,0.97,NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,current
2026-05-07,0.69,NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",current
2026-05-07,0.88,NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-05-07,0.76,NL0010391025,Pharming Group N.V.,Lazard Asset Management LLC,current
2026-05-07,0.79,NL0010801007,IMCD N.V.,Marshall Wace LLP,current
2026-05-07,1.69,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-05-07,0.76,NL0010391025,Pharming Group N.V.,Qube Research & Technologies Ltd.,current
2026-05-07,1.43,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-05-07,1.56,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-05-06,0.79,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-05-06,0.82,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-05-06,1.41,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-05-06,1.4,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
2026-05-06,0.91,NL0011872650,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-05-06,0.69,JE00BRX98089,CVC Capital Partners plc,Marshall Wace LLP,current
2026-05-06,0.83,NL0010801007,IMCD N.V.,Marshall Wace LLP,current
2026-05-06,0.77,NL0010801007,IMCD N.V.,"PDT Partners, LLC",current
2026-05-06,0.9,NL0011821392,Signify N.V.,"PDT Partners, LLC",current
2026-05-06,0.85,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-05-05,0.6,NL0012969182,Adyen N.V.,Capital Fund Management S.A.,current
2026-05-05,0.8,NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,current
2026-05-05,0.9,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-05-05,1.36,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-05-05,0.98,NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",current
2026-05-05,0.7,NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",current
2026-05-05,1.09,NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-05-05,1.76,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-05-05,1.3,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-05-05,0.65,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,current
2026-05-05,0.68,NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,current
2026-05-05,1.65,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-05-04,0.81,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,current
2026-05-04,0.7,NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,current
2026-05-04,0.69,NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",current
2026-05-04,1.61,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,current
2026-05-04,0.92,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-05-04,0.67,NL0015002MS2,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,current
2026-04-30,0.55,NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,current
2026-04-30,0.57,NL0006237562,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-30,0.7,NL0009739416,PostNL N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-30,0.5,NL0010391025,Pharming Group N.V.,Jupiter Asset Management Ltd.,current
2026-04-30,0.89,NL0009739416,PostNL N.V.,Marshall Wace LLP,current
2026-04-30,0.86,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-30,0.89,NL0011821392,Signify N.V.,"PDT Partners, LLC",current
2026-04-30,0.6,NL0015002MS2,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,current
2026-04-30,0.59,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,current
2026-04-30,0.73,NL0012817175,Alfen N.V.,Squarepoint Ops LLC,current
2026-04-30,0.56,NL0006237562,ARCADIS N.V.,White Creek Capital LLP,current
2026-04-30,1.71,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-29,0.83,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-04-29,1.29,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-29,0.9,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,current
2026-04-29,0.79,NL0000395903,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-29,0.59,NL0015002MS2,The Magnum Ice Cream Company N.V.,GLG Partners LP,current
2026-04-29,0.71,JE00BRX98089,CVC Capital Partners plc,Marshall Wace LLP,current
2026-04-29,0.74,NL0010801007,IMCD N.V.,Marshall Wace LLP,current
2026-04-29,0.51,NL0011794037,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,current
2026-04-29,0.9,NL0009739416,PostNL N.V.,Marshall Wace LLP,current
2026-04-29,0.9,NL0011821392,Signify N.V.,"PDT Partners, LLC",current
2026-04-29,1.2,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-04-29,0.7,NL0015002MS2,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,current
2026-04-28,0.51,NL0015002MS2,The Magnum Ice Cream Company N.V.,"AQR Capital Management, LLC",current
2026-04-28,0.75,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-04-28,1.32,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-28,1.17,NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-04-28,0.6,NL0000379121,Randstad N.V.,Marshall Wace LLP,current
2026-04-28,1.8,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-04-28,0.98,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-28,0.62,NL0012817175,Alfen N.V.,Squarepoint Ops LLC,current
2026-04-28,1.19,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-04-28,1.87,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-27,1.27,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-04-27,0.69,NL0000379121,Randstad N.V.,Citadel Advisors LLC,current
2026-04-27,1.43,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-27,1.3,CH1216478797,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,current
2026-04-27,2.15,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-04-27,1.96,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-24,0.57,NL0012969182,Adyen N.V.,Capital Fund Management S.A.,current
2026-04-24,0.7,NL0000379121,Randstad N.V.,Citadel Advisors LLC,current
2026-04-24,2.06,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-04-24,0.82,NL0011872650,Basic-Fit N.V.,Linden Advisors LP,current
2026-04-24,0.61,NL0010801007,IMCD N.V.,Marshall Wace LLP,current
2026-04-24,1.04,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-24,1.11,JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
2026-04-24,1.12,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-04-24,0.79,NL0006237562,ARCADIS N.V.,Squarepoint Ops LLC,current
2026-04-24,2.08,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-23,0.6,NL0012969182,Adyen N.V.,Capital Fund Management S.A.,current
2026-04-23,1.68,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-23,0.8,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,current
2026-04-23,0.84,NL0011872650,Basic-Fit N.V.,Eleva Capital SAS,current
2026-04-23,0.58,NL0000379121,Randstad N.V.,Marshall Wace LLP,current
2026-04-23,1.11,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-23,0.5,NL0012817175,Alfen N.V.,Squarepoint Ops LLC,current
2026-04-23,2.21,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-22,0.77,NL0010391025,Pharming Group N.V.,Capstone Volatility Master (Cayman) Limited,current
2026-04-22,0.62,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-04-22,0.66,NL0000379121,Randstad N.V.,Citadel Advisors LLC,current
2026-04-22,1.71,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-22,0.68,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,current
2026-04-22,1.55,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,current
2026-04-22,1.73,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-04-22,0.56,NL0010801007,IMCD N.V.,Marshall Wace LLP,current
2026-04-22,1.76,NL0011821392,Signify N.V.,Marshall Wace LLP,current
2026-04-22,1.09,NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,current
2026-04-22,1.29,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-04-22,2.37,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-21,1.3,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-04-21,0.5,NL0011821392,Signify N.V.,"BlackRock Advisors, LLC",current
2026-04-21,0.91,NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,current
2026-04-21,0.57,NL0012969182,Adyen N.V.,Capital Fund Management S.A.,current
2026-04-21,1.82,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-21,0.7,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,current
2026-04-21,0.65,NL0013267909,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",current
2026-04-21,1.56,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-04-21,0.67,NL0000379121,Randstad N.V.,Marshall Wace LLP,current
2026-04-21,0.88,NL0011821392,Signify N.V.,"PDT Partners, LLC",current
2026-04-21,1.03,CY0200751713,Theon International Plc,Qube Research & Technologies Ltd.,current
2026-04-21,1.48,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-04-21,0.61,NL0006237562,ARCADIS N.V.,White Creek Capital LLP,current
2026-04-21,2.54,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-20,1.29,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",current
2026-04-20,0.87,NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,current
2026-04-20,2.0,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
2026-04-20,1.06,NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",current
2026-04-20,1.45,NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,current
2026-04-20,0.7,NL0011872650,Basic-Fit N.V.,Linden Advisors LP,current
2026-04-20,1.16,NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",current
2026-04-20,1.01,JE00BRX98089,CVC Capital Partners plc,Qube Research & Technologies Ltd.,current
2026-04-20,1.58,NL0012817175,Alfen N.V.,Voleon Capital Management LP,current
2026-04-20,0.57,NL0006237562,ARCADIS N.V.,White Creek Capital LLP,current
2026-04-20,2.67,NL0012817175,Alfen N.V.,"WorldQuant, LLC",current
2026-04-17,0.89,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",current
2026-04-17,0.53,NL0010801007,IMCD N.V.,Citadel Advisors LLC,current
2026-04-17,0.5,NL0000379121,Randstad N.V.,Citadel Advisors LLC,current
2026-04-17,2.22,NL0011821392,Signify N.V.,Citadel Advisors LLC,current
