issuer_name,net_short_position,position_date,isin,position_holder,source
ArcelorMittal S.A.,0.49,2026-05-15,LU1598757687,"AQR Capital Management, LLC",current
IMCD N.V.,0.79,2026-05-15,NL0010801007,"BlackRock Financial Management, Inc.",current
Wereldhave N.V.,0.82,2026-05-15,NL0000289213,Citadel Advisors LLC,current
Wolters Kluwer N.V.,0.68,2026-05-15,NL0000395903,"D. E. Shaw & Co., L.P.",current
The Magnum Ice Cream Company N.V.,0.4,2026-05-15,NL0015002MS2,GLG Partners LP,current
Basic-Fit N.V.,0.57,2026-05-15,NL0011872650,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,0.45,2026-05-15,NL0015002MS2,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,0.68,2026-05-15,NL0015002MS2,Marshall Wace LLP,current
Alfen N.V.,0.17,2026-05-15,NL0012817175,Millennium International Management LP,current
Randstad N.V.,0.51,2026-05-15,NL0000379121,"Point72 Europe (London), LLP",current
The Magnum Ice Cream Company N.V.,0.71,2026-05-15,NL0015002MS2,Qube Research & Technologies Ltd.,current
Theon International Plc,1.5,2026-05-15,CY0200751713,Qube Research & Technologies Ltd.,current
Alfen N.V.,0.55,2026-05-15,NL0012817175,Squarepoint Ops LLC,current
Flow Traders Ltd.,0.51,2026-05-14,BMG3602E1084,Capital Fund Management S.A.,current
IMCD N.V.,0.78,2026-05-14,NL0010801007,Capital Fund Management S.A.,current
Basic-Fit N.V.,0.89,2026-05-14,NL0011872650,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.66,2026-05-14,NL0011872650,JPMorgan Asset Management (UK) Ltd.,current
Alfen N.V.,0.65,2026-05-14,NL0012817175,Millennium International Management LP,current
IMCD N.V.,0.8,2026-05-14,NL0010801007,"PDT Partners, LLC",current
Basic-Fit N.V.,0.77,2026-05-14,NL0011872650,Sculptor Capital Management Europe Limited,current
Alfen N.V.,1.27,2026-05-14,NL0012817175,"WorldQuant, LLC",current
IMCD N.V.,0.8,2026-05-13,NL0010801007,Capital Fund Management S.A.,current
Randstad N.V.,0.6,2026-05-13,NL0000379121,Citadel Advisors Europe Limited,current
IMCD N.V.,0.7,2026-05-13,NL0010801007,Citadel Advisors LLC,current
Signify N.V.,1.61,2026-05-13,NL0011821392,Citadel Advisors LLC,current
Pharming Group N.V.,0.53,2026-05-13,NL0010391025,"D. E. Shaw & Co., L.P.",current
Pharming Group N.V.,0.91,2026-05-13,NL0010391025,"Two Sigma Investments, LP",current
Pharming Group N.V.,0.74,2026-05-13,NL0010391025,Walleye Capital LLC,current
IMCD N.V.,0.59,2026-05-12,NL0010801007,"BlackRock Advisors, LLC",current
Signify N.V.,0.71,2026-05-12,NL0011821392,"BlackRock Financial Management, Inc.",current
IMCD N.V.,0.79,2026-05-12,NL0010801007,Capital Fund Management S.A.,current
IMCD N.V.,0.69,2026-05-12,NL0010801007,Citadel Advisors LLC,current
Pharming Group N.V.,0.82,2026-05-12,NL0010391025,Lazard Asset Management LLC,current
NSI N.V.,0.8,2026-05-12,NL0012365084,Numeric Investors LLC,current
InPost S.A.,1.36,2026-05-12,LU2290522684,"Two Sigma Investments, LP",current
Alfen N.V.,1.45,2026-05-12,NL0012817175,"WorldQuant, LLC",current
IMCD N.V.,0.8,2026-05-11,NL0010801007,Capital Fund Management S.A.,current
TKH Group N.V.,0.52,2026-05-11,NL0000852523,Capital Fund Management S.A.,current
Signify N.V.,1.02,2026-05-11,NL0011821392,Citadel Advisors Europe Limited,current
DSM-Firmenich AG,0.5,2026-05-11,CH1216478797,Citadel Advisors LLC,current
IMCD N.V.,0.79,2026-05-11,NL0010801007,Citadel Advisors LLC,current
Wereldhave N.V.,0.7,2026-05-11,NL0000289213,Citadel Advisors LLC,current
The Magnum Ice Cream Company N.V.,0.6,2026-05-11,NL0015002MS2,GLG Partners LP,current
ARCADIS N.V.,0.58,2026-05-11,NL0006237562,Squarepoint Ops LLC,current
Pharming Group N.V.,0.86,2026-05-11,NL0010391025,"Two Sigma Investments, LP",current
Theon International Plc,0.8,2026-05-11,CY0200751713,"Two Sigma Investments, LP",current
Pharming Group N.V.,0.63,2026-05-11,NL0010391025,Walleye Capital LLC,current
Adyen N.V.,0.59,2026-05-08,NL0012969182,Capital Fund Management S.A.,current
Randstad N.V.,0.57,2026-05-08,NL0000379121,Citadel Advisors LLC,current
Signify N.V.,1.5,2026-05-08,NL0011821392,Citadel Advisors LLC,current
Akzo Nobel N.V.,1.72,2026-05-08,NL0013267909,Davidson Kempner Capital Management LP,current
Pharming Group N.V.,0.75,2026-05-08,NL0010391025,"Two Sigma Investments, LP",current
Pharming Group N.V.,0.53,2026-05-08,NL0010391025,Walleye Capital LLC,current
IMCD N.V.,0.58,2026-05-07,NL0010801007,Acadian Asset Management LLC.,current
Randstad N.V.,0.5,2026-05-07,NL0000379121,Citadel Advisors Europe Limited,current
Signify N.V.,0.97,2026-05-07,NL0011821392,Citadel Advisors Europe Limited,current
PostNL N.V.,0.69,2026-05-07,NL0009739416,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.88,2026-05-07,NL0011872650,JPMorgan Asset Management (UK) Ltd.,current
Pharming Group N.V.,0.76,2026-05-07,NL0010391025,Lazard Asset Management LLC,current
IMCD N.V.,0.79,2026-05-07,NL0010801007,Marshall Wace LLP,current
Signify N.V.,1.69,2026-05-07,NL0011821392,Marshall Wace LLP,current
Theon International Plc,1.43,2026-05-07,CY0200751713,Qube Research & Technologies Ltd.,current
Alfen N.V.,1.56,2026-05-07,NL0012817175,"WorldQuant, LLC",current
IMCD N.V.,0.79,2026-05-06,NL0010801007,Capital Fund Management S.A.,current
IMCD N.V.,0.82,2026-05-06,NL0010801007,Citadel Advisors LLC,current
Signify N.V.,1.41,2026-05-06,NL0011821392,Citadel Advisors LLC,current
DSM-Firmenich AG,1.4,2026-05-06,CH1216478797,Ilex Capital Partners (UK) LLP,current
Basic-Fit N.V.,0.91,2026-05-06,NL0011872650,JPMorgan Asset Management (UK) Ltd.,current
CVC Capital Partners plc,0.69,2026-05-06,JE00BRX98089,Marshall Wace LLP,current
IMCD N.V.,0.83,2026-05-06,NL0010801007,Marshall Wace LLP,current
IMCD N.V.,0.77,2026-05-06,NL0010801007,"PDT Partners, LLC",current
Signify N.V.,0.9,2026-05-06,NL0011821392,"PDT Partners, LLC",current
Adyen N.V.,0.6,2026-05-05,NL0012969182,Capital Fund Management S.A.,current
Signify N.V.,0.8,2026-05-05,NL0011821392,Citadel Advisors Europe Limited,current
IMCD N.V.,0.9,2026-05-05,NL0010801007,Citadel Advisors LLC,current
Signify N.V.,1.36,2026-05-05,NL0011821392,Citadel Advisors LLC,current
Basic-Fit N.V.,0.98,2026-05-05,NL0011872650,"D. E. Shaw & Co., L.P.",current
PostNL N.V.,0.7,2026-05-05,NL0009739416,"D. E. Shaw & Co., L.P.",current
