issuer_name,net_short_position,isin,position_date,position_holder,source
The Magnum Ice Cream Company N.V.,0.49,NL0015002MS2,2026-05-20,"AQR Capital Management, LLC",current
Basic-Fit N.V.,0.48,NL0011872650,2026-05-20,JPMorgan Asset Management (UK) Ltd.,current
InPost S.A.,1.29,LU2290522684,2026-05-20,"Two Sigma Investments, LP",current
Pharming Group N.V.,1.0,NL0010391025,2026-05-20,"Two Sigma Investments, LP",current
Pharming Group N.V.,0.6,NL0010391025,2026-05-19,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.9,NL0011872650,2026-05-19,Linden Advisors LP,current
Randstad N.V.,0.57,NL0000379121,2026-05-19,Marshall Wace LLP,current
Signify N.V.,1.0,NL0011821392,2026-05-19,"PDT Partners, LLC",current
IMCD N.V.,0.68,NL0010801007,2026-05-19,"Two Sigma Investments, LP",current
Alfen N.V.,1.2,NL0012817175,2026-05-19,"WorldQuant, LLC",current
ARCADIS N.V.,0.99,NL0006237562,2026-05-18,"AQR Capital Management, LLC",current
DSM-Firmenich AG,0.62,CH1216478797,2026-05-18,Citadel Advisors LLC,current
Signify N.V.,1.59,NL0011821392,2026-05-18,Citadel Advisors LLC,current
The Magnum Ice Cream Company N.V.,0.73,NL0015002MS2,2026-05-18,Marshall Wace LLP,current
Alfen N.V.,1.18,NL0012817175,2026-05-18,"WorldQuant, LLC",current
IMCD N.V.,0.79,NL0010801007,2026-05-15,"BlackRock Financial Management, Inc.",current
Wereldhave N.V.,0.82,NL0000289213,2026-05-15,Citadel Advisors LLC,current
Wolters Kluwer N.V.,0.68,NL0000395903,2026-05-15,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.57,NL0011872650,2026-05-15,JPMorgan Asset Management (UK) Ltd.,current
The Magnum Ice Cream Company N.V.,0.68,NL0015002MS2,2026-05-15,Marshall Wace LLP,current
Randstad N.V.,0.51,NL0000379121,2026-05-15,"Point72 Europe (London), LLP",current
The Magnum Ice Cream Company N.V.,0.71,NL0015002MS2,2026-05-15,Qube Research & Technologies Ltd.,current
Alfen N.V.,0.55,NL0012817175,2026-05-15,Squarepoint Ops LLC,current
Flow Traders Ltd.,0.51,BMG3602E1084,2026-05-14,Capital Fund Management S.A.,current
IMCD N.V.,0.78,NL0010801007,2026-05-14,Capital Fund Management S.A.,current
Basic-Fit N.V.,0.89,NL0011872650,2026-05-14,"D. E. Shaw & Co., L.P.",current
Basic-Fit N.V.,0.66,NL0011872650,2026-05-14,JPMorgan Asset Management (UK) Ltd.,current
IMCD N.V.,0.8,NL0010801007,2026-05-14,"PDT Partners, LLC",current
Basic-Fit N.V.,0.77,NL0011872650,2026-05-14,Sculptor Capital Management Europe Limited,current
Alfen N.V.,1.27,NL0012817175,2026-05-14,"WorldQuant, LLC",current
IMCD N.V.,0.8,NL0010801007,2026-05-13,Capital Fund Management S.A.,current
Randstad N.V.,0.6,NL0000379121,2026-05-13,Citadel Advisors Europe Limited,current
IMCD N.V.,0.7,NL0010801007,2026-05-13,Citadel Advisors LLC,current
Signify N.V.,1.61,NL0011821392,2026-05-13,Citadel Advisors LLC,current
