isin,position_holder,position_date,issuer_name,net_short_position,source
NL0012969182,"AQR Capital Management, LLC",2026-05-28,Adyen N.V.,1.18,current
NL0011821392,"BlackRock Advisors, LLC",2026-05-28,Signify N.V.,0.48,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-28,Akzo Nobel N.V.,0.66,current
LU1598757687,Jane Street Group LLC,2026-05-28,ArcelorMittal S.A.,0.53,current
NL0011872650,Linden Advisors LP,2026-05-28,Basic-Fit N.V.,0.87,current
NL0013267909,Millennium International Management LP,2026-05-28,Akzo Nobel N.V.,0.6,current
LU2290522684,"Two Sigma Investments, LP",2026-05-28,InPost S.A.,1.18,current
NL0010391025,Walleye Capital LLC,2026-05-28,Pharming Group N.V.,0.92,current
NL0013267909,"AQR Capital Management, LLC",2026-05-27,Akzo Nobel N.V.,0.6,current
NL0000289213,Citadel Advisors LLC,2026-05-27,Wereldhave N.V.,0.91,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-27,Pharming Group N.V.,0.58,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-27,Akzo Nobel N.V.,1.01,current
NL0010801007,Marshall Wace LLP,2026-05-27,IMCD N.V.,0.65,current
NL0013267909,Millennium International Management LP,2026-05-27,Akzo Nobel N.V.,0.55,current
NL0000379121,Millennium International Management LP,2026-05-27,Randstad N.V.,0.71,current
NL0012365084,Numeric Investors LLC,2026-05-27,NSI N.V.,0.79,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-27,The Magnum Ice Cream Company N.V.,0.78,current
NL0011821392,"AQR Capital Management, LLC",2026-05-26,Signify N.V.,1.18,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-05-26,IMCD N.V.,1.3,current
NL0010801007,Capital Fund Management S.A.,2026-05-26,IMCD N.V.,0.8,current
CH1216478797,Citadel Advisors LLC,2026-05-26,DSM-Firmenich AG,0.91,current
NL0010801007,Citadel Advisors LLC,2026-05-26,IMCD N.V.,0.79,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-26,Pharming Group N.V.,0.61,current
NL0009739416,Marshall Wace LLP,2026-05-26,PostNL N.V.,0.75,current
NL0011821392,Marshall Wace LLP,2026-05-26,Signify N.V.,1.6,current
NL0000379121,Millennium International Management LP,2026-05-26,Randstad N.V.,0.64,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-26,The Magnum Ice Cream Company N.V.,0.8,current
NL0012817175,Squarepoint Ops LLC,2026-05-26,Alfen N.V.,0.71,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-25,Pharming Group N.V.,0.58,current
NL0010801007,"PDT Partners, LLC",2026-05-25,IMCD N.V.,0.8,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-25,Basic-Fit N.V.,0.8,current
NL00150003E1,"Algert Global, LLC",2026-05-22,Fugro N.V.,0.53,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-22,Signify N.V.,0.98,current
CH1216478797,Citadel Advisors LLC,2026-05-22,DSM-Firmenich AG,0.86,current
NL0010801007,Citadel Advisors LLC,2026-05-22,IMCD N.V.,0.81,current
NL0011821392,Citadel Advisors LLC,2026-05-22,Signify N.V.,1.6,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-22,Pharming Group N.V.,0.61,current
CH1216478797,Marshall Wace LLP,2026-05-22,DSM-Firmenich AG,0.78,current
NL0000379121,Millennium International Management LP,2026-05-22,Randstad N.V.,0.54,current
NL0010801007,"PDT Partners, LLC",2026-05-22,IMCD N.V.,0.79,current
NL0000379121,"Point72 Europe (London), LLP",2026-05-22,Randstad N.V.,0.63,current
NL0012817175,Squarepoint Ops LLC,2026-05-22,Alfen N.V.,0.62,current
NL0010391025,Walleye Capital LLC,2026-05-22,Pharming Group N.V.,0.8,current
NL0013332471,Winton Capital Management Limited,2026-05-22,TomTom N.V.,0.59,current
NL0011821392,Canada Pension Plan Investment Board,2026-05-21,Signify N.V.,1.0,current
CH1216478797,Citadel Advisors LLC,2026-05-21,DSM-Firmenich AG,0.74,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-21,Pharming Group N.V.,0.59,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-05-21,PostNL N.V.,0.59,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-21,DSM-Firmenich AG,1.71,current
CH1216478797,Marshall Wace LLP,2026-05-21,DSM-Firmenich AG,0.6,current
NL0011821392,Marshall Wace LLP,2026-05-21,Signify N.V.,1.58,current
NL00150003E1,"Point72 Asset Management, L.P.",2026-05-21,Fugro N.V.,0.51,current
NL0010391025,"Two Sigma Investments, LP",2026-05-21,Pharming Group N.V.,0.99,current
LU2290522684,"Two Sigma Investments, LP",2026-05-20,InPost S.A.,1.29,current
NL0010391025,"Two Sigma Investments, LP",2026-05-20,Pharming Group N.V.,1.0,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-19,Pharming Group N.V.,0.6,current
NL0011872650,Linden Advisors LP,2026-05-19,Basic-Fit N.V.,0.9,current
NL0011821392,"PDT Partners, LLC",2026-05-19,Signify N.V.,1.0,current
NL0010801007,"Two Sigma Investments, LP",2026-05-19,IMCD N.V.,0.68,current
NL0006237562,"AQR Capital Management, LLC",2026-05-18,ARCADIS N.V.,0.99,current
CH1216478797,Citadel Advisors LLC,2026-05-18,DSM-Firmenich AG,0.62,current
NL0011821392,Citadel Advisors LLC,2026-05-18,Signify N.V.,1.59,current
NL0015002MS2,Marshall Wace LLP,2026-05-18,The Magnum Ice Cream Company N.V.,0.73,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-05-15,IMCD N.V.,0.79,current
NL0000289213,Citadel Advisors LLC,2026-05-15,Wereldhave N.V.,0.82,current
NL0000395903,"D. E. Shaw & Co., L.P.",2026-05-15,Wolters Kluwer N.V.,0.68,current
NL0015002MS2,Marshall Wace LLP,2026-05-15,The Magnum Ice Cream Company N.V.,0.68,current
NL0000379121,"Point72 Europe (London), LLP",2026-05-15,Randstad N.V.,0.51,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-15,The Magnum Ice Cream Company N.V.,0.71,current
NL0012817175,Squarepoint Ops LLC,2026-05-15,Alfen N.V.,0.55,current
BMG3602E1084,Capital Fund Management S.A.,2026-05-14,Flow Traders Ltd.,0.51,current
NL0010801007,Capital Fund Management S.A.,2026-05-14,IMCD N.V.,0.78,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-14,Basic-Fit N.V.,0.89,current
NL0010801007,"PDT Partners, LLC",2026-05-14,IMCD N.V.,0.8,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-14,Basic-Fit N.V.,0.77,current
NL0010801007,Capital Fund Management S.A.,2026-05-13,IMCD N.V.,0.8,current
NL0000379121,Citadel Advisors Europe Limited,2026-05-13,Randstad N.V.,0.6,current
NL0010801007,Citadel Advisors LLC,2026-05-13,IMCD N.V.,0.7,current
NL0011821392,Citadel Advisors LLC,2026-05-13,Signify N.V.,1.61,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-13,Pharming Group N.V.,0.53,current
NL0010391025,"Two Sigma Investments, LP",2026-05-13,Pharming Group N.V.,0.91,current
NL0010391025,Walleye Capital LLC,2026-05-13,Pharming Group N.V.,0.74,current
NL0010801007,"BlackRock Advisors, LLC",2026-05-12,IMCD N.V.,0.59,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-05-12,Signify N.V.,0.71,current
NL0010801007,Capital Fund Management S.A.,2026-05-12,IMCD N.V.,0.79,current
NL0010801007,Citadel Advisors LLC,2026-05-12,IMCD N.V.,0.69,current
NL0010391025,Lazard Asset Management LLC,2026-05-12,Pharming Group N.V.,0.82,current
NL0012365084,Numeric Investors LLC,2026-05-12,NSI N.V.,0.8,current
LU2290522684,"Two Sigma Investments, LP",2026-05-12,InPost S.A.,1.36,current
NL0010801007,Capital Fund Management S.A.,2026-05-11,IMCD N.V.,0.8,current
NL0000852523,Capital Fund Management S.A.,2026-05-11,TKH Group N.V.,0.52,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-11,Signify N.V.,1.02,current
CH1216478797,Citadel Advisors LLC,2026-05-11,DSM-Firmenich AG,0.5,current
NL0010801007,Citadel Advisors LLC,2026-05-11,IMCD N.V.,0.79,current
NL0000289213,Citadel Advisors LLC,2026-05-11,Wereldhave N.V.,0.7,current
NL0010391025,"Two Sigma Investments, LP",2026-05-11,Pharming Group N.V.,0.86,current
CY0200751713,"Two Sigma Investments, LP",2026-05-11,Theon International Plc,0.8,current
NL0010391025,Walleye Capital LLC,2026-05-11,Pharming Group N.V.,0.63,current
NL0011821392,Citadel Advisors LLC,2026-05-08,Signify N.V.,1.5,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-08,Akzo Nobel N.V.,1.72,current
NL0010391025,"Two Sigma Investments, LP",2026-05-08,Pharming Group N.V.,0.75,current
NL0010391025,Walleye Capital LLC,2026-05-08,Pharming Group N.V.,0.53,current
NL0010801007,Acadian Asset Management LLC.,2026-05-07,IMCD N.V.,0.58,current
NL0000379121,Citadel Advisors Europe Limited,2026-05-07,Randstad N.V.,0.5,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-07,Signify N.V.,0.97,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-05-07,PostNL N.V.,0.69,current
NL0010391025,Lazard Asset Management LLC,2026-05-07,Pharming Group N.V.,0.76,current
NL0010801007,Marshall Wace LLP,2026-05-07,IMCD N.V.,0.79,current
NL0011821392,Marshall Wace LLP,2026-05-07,Signify N.V.,1.69,current
NL0010801007,Capital Fund Management S.A.,2026-05-06,IMCD N.V.,0.79,current
NL0010801007,Citadel Advisors LLC,2026-05-06,IMCD N.V.,0.82,current
NL0011821392,Citadel Advisors LLC,2026-05-06,Signify N.V.,1.41,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-06,DSM-Firmenich AG,1.4,current
JE00BRX98089,Marshall Wace LLP,2026-05-06,CVC Capital Partners plc,0.69,current
NL0010801007,Marshall Wace LLP,2026-05-06,IMCD N.V.,0.83,current
NL0010801007,"PDT Partners, LLC",2026-05-06,IMCD N.V.,0.77,current
NL0011821392,"PDT Partners, LLC",2026-05-06,Signify N.V.,0.9,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-05,Signify N.V.,0.8,current
NL0010801007,Citadel Advisors LLC,2026-05-05,IMCD N.V.,0.9,current
NL0011821392,Citadel Advisors LLC,2026-05-05,Signify N.V.,1.36,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-05,Basic-Fit N.V.,0.98,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-05-05,PostNL N.V.,0.7,current
NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-05-05,TomTom N.V.,1.09,current
NL0011821392,Marshall Wace LLP,2026-05-05,Signify N.V.,1.76,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-05,Basic-Fit N.V.,0.65,current
NL0010801007,Capital Fund Management S.A.,2026-05-04,IMCD N.V.,0.81,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-04,Signify N.V.,0.7,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-05-04,PostNL N.V.,0.69,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-04,Akzo Nobel N.V.,1.61,current
