issuer_name,isin,net_short_position,position_holder,position_date,source
Pharming Group N.V.,NL0010391025,0.5,Citadel Advisors LLC,2026-06-01,current
NSI N.V.,NL0012365084,0.81,Numeric Investors LLC,2026-06-01,current
Randstad N.V.,NL0000379121,0.59,"Point72 Europe (London), LLP",2026-06-01,current
Aalberts N.V.,NL0000852564,0.59,"AQR Capital Management, LLC",2026-05-29,current
IMCD N.V.,NL0010801007,0.69,"BlackRock Financial Management, Inc.",2026-05-29,current
Signify N.V.,NL0011821392,0.83,"BlackRock Financial Management, Inc.",2026-05-29,current
Randstad N.V.,NL0000379121,0.57,Citadel Advisors Europe Limited,2026-05-29,current
Signify N.V.,NL0011821392,1.0,Citadel Advisors Europe Limited,2026-05-29,current
Akzo Nobel N.V.,NL0013267909,0.58,Davidson Kempner Capital Management LP,2026-05-29,current
DSM-Firmenich AG,CH1216478797,1.85,Ilex Capital Partners (UK) LLP,2026-05-29,current
DSM-Firmenich AG,CH1216478797,0.85,Marshall Wace LLP,2026-05-29,current
Signify N.V.,NL0011821392,1.11,"PDT Partners, LLC",2026-05-29,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.83,Qube Research & Technologies Ltd.,2026-05-29,current
Signify N.V.,NL0011821392,0.5,Squarepoint Ops LLC,2026-05-29,current
Pharming Group N.V.,NL0010391025,1.09,"Two Sigma Investments, LP",2026-05-29,current
Adyen N.V.,NL0012969182,1.18,"AQR Capital Management, LLC",2026-05-28,current
Akzo Nobel N.V.,NL0013267909,0.66,Davidson Kempner Capital Management LP,2026-05-28,current
ArcelorMittal S.A.,LU1598757687,0.53,Jane Street Group LLC,2026-05-28,current
Basic-Fit N.V.,NL0011872650,0.87,Linden Advisors LP,2026-05-28,current
InPost S.A.,LU2290522684,1.18,"Two Sigma Investments, LP",2026-05-28,current
Pharming Group N.V.,NL0010391025,0.92,Walleye Capital LLC,2026-05-28,current
Akzo Nobel N.V.,NL0013267909,0.6,"AQR Capital Management, LLC",2026-05-27,current
Wereldhave N.V.,NL0000289213,0.91,Citadel Advisors LLC,2026-05-27,current
Pharming Group N.V.,NL0010391025,0.58,"D. E. Shaw & Co., L.P.",2026-05-27,current
Akzo Nobel N.V.,NL0013267909,1.01,Davidson Kempner Capital Management LP,2026-05-27,current
IMCD N.V.,NL0010801007,0.65,Marshall Wace LLP,2026-05-27,current
NSI N.V.,NL0012365084,0.79,Numeric Investors LLC,2026-05-27,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.78,Qube Research & Technologies Ltd.,2026-05-27,current
Signify N.V.,NL0011821392,1.18,"AQR Capital Management, LLC",2026-05-26,current
IMCD N.V.,NL0010801007,1.3,"Arrowstreet Capital, Limited Partnership",2026-05-26,current
IMCD N.V.,NL0010801007,0.8,Capital Fund Management S.A.,2026-05-26,current
DSM-Firmenich AG,CH1216478797,0.91,Citadel Advisors LLC,2026-05-26,current
IMCD N.V.,NL0010801007,0.79,Citadel Advisors LLC,2026-05-26,current
Pharming Group N.V.,NL0010391025,0.61,"D. E. Shaw & Co., L.P.",2026-05-26,current
PostNL N.V.,NL0009739416,0.75,Marshall Wace LLP,2026-05-26,current
Signify N.V.,NL0011821392,1.6,Marshall Wace LLP,2026-05-26,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.8,Qube Research & Technologies Ltd.,2026-05-26,current
Alfen N.V.,NL0012817175,0.71,Squarepoint Ops LLC,2026-05-26,current
Pharming Group N.V.,NL0010391025,0.58,"D. E. Shaw & Co., L.P.",2026-05-25,current
IMCD N.V.,NL0010801007,0.8,"PDT Partners, LLC",2026-05-25,current
Basic-Fit N.V.,NL0011872650,0.8,Sculptor Capital Management Europe Limited,2026-05-25,current
Fugro N.V.,NL00150003E1,0.53,"Algert Global, LLC",2026-05-22,current
Signify N.V.,NL0011821392,0.98,Citadel Advisors Europe Limited,2026-05-22,current
DSM-Firmenich AG,CH1216478797,0.86,Citadel Advisors LLC,2026-05-22,current
IMCD N.V.,NL0010801007,0.81,Citadel Advisors LLC,2026-05-22,current
Signify N.V.,NL0011821392,1.6,Citadel Advisors LLC,2026-05-22,current
Pharming Group N.V.,NL0010391025,0.61,"D. E. Shaw & Co., L.P.",2026-05-22,current
DSM-Firmenich AG,CH1216478797,0.78,Marshall Wace LLP,2026-05-22,current
IMCD N.V.,NL0010801007,0.79,"PDT Partners, LLC",2026-05-22,current
Randstad N.V.,NL0000379121,0.63,"Point72 Europe (London), LLP",2026-05-22,current
Alfen N.V.,NL0012817175,0.62,Squarepoint Ops LLC,2026-05-22,current
Pharming Group N.V.,NL0010391025,0.8,Walleye Capital LLC,2026-05-22,current
TomTom N.V.,NL0013332471,0.59,Winton Capital Management Limited,2026-05-22,current
Signify N.V.,NL0011821392,1.0,Canada Pension Plan Investment Board,2026-05-21,current
DSM-Firmenich AG,CH1216478797,0.74,Citadel Advisors LLC,2026-05-21,current
Pharming Group N.V.,NL0010391025,0.59,"D. E. Shaw & Co., L.P.",2026-05-21,current
PostNL N.V.,NL0009739416,0.59,"D. E. Shaw & Co., L.P.",2026-05-21,current
DSM-Firmenich AG,CH1216478797,1.71,Ilex Capital Partners (UK) LLP,2026-05-21,current
DSM-Firmenich AG,CH1216478797,0.6,Marshall Wace LLP,2026-05-21,current
Signify N.V.,NL0011821392,1.58,Marshall Wace LLP,2026-05-21,current
Fugro N.V.,NL00150003E1,0.51,"Point72 Asset Management, L.P.",2026-05-21,current
Pharming Group N.V.,NL0010391025,0.99,"Two Sigma Investments, LP",2026-05-21,current
InPost S.A.,LU2290522684,1.29,"Two Sigma Investments, LP",2026-05-20,current
Pharming Group N.V.,NL0010391025,1.0,"Two Sigma Investments, LP",2026-05-20,current
Pharming Group N.V.,NL0010391025,0.6,"D. E. Shaw & Co., L.P.",2026-05-19,current
Basic-Fit N.V.,NL0011872650,0.9,Linden Advisors LP,2026-05-19,current
Signify N.V.,NL0011821392,1.0,"PDT Partners, LLC",2026-05-19,current
IMCD N.V.,NL0010801007,0.68,"Two Sigma Investments, LP",2026-05-19,current
ARCADIS N.V.,NL0006237562,0.99,"AQR Capital Management, LLC",2026-05-18,current
DSM-Firmenich AG,CH1216478797,0.62,Citadel Advisors LLC,2026-05-18,current
Signify N.V.,NL0011821392,1.59,Citadel Advisors LLC,2026-05-18,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.73,Marshall Wace LLP,2026-05-18,current
IMCD N.V.,NL0010801007,0.79,"BlackRock Financial Management, Inc.",2026-05-15,current
