position_holder,isin,issuer_name,net_short_position,position_date,source
Actus Ray Partners Limited,NL0015000GX8,Envipco Holding N.V.,0.74,2026-06-02,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.69,2026-06-02,current
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,0.62,2026-06-02,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,Fugro N.V.,2.2,2026-06-02,current
Sculptor Capital Management Europe Limited,NL0011872650,Basic-Fit N.V.,0.79,2026-06-02,current
Squarepoint Ops LLC,NL0012817175,Alfen N.V.,0.61,2026-06-02,current
Walleye Capital LLC,NL0010391025,Pharming Group N.V.,1.02,2026-06-02,current
Citadel Advisors LLC,NL0010391025,Pharming Group N.V.,0.5,2026-06-01,current
Numeric Investors LLC,NL0012365084,NSI N.V.,0.81,2026-06-01,current
"Point72 Europe (London), LLP",NL0000379121,Randstad N.V.,0.59,2026-06-01,current
"AQR Capital Management, LLC",NL0000852564,Aalberts N.V.,0.59,2026-05-29,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,0.69,2026-05-29,current
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,0.83,2026-05-29,current
Citadel Advisors Europe Limited,NL0000379121,Randstad N.V.,0.57,2026-05-29,current
Citadel Advisors Europe Limited,NL0011821392,Signify N.V.,1.0,2026-05-29,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,0.58,2026-05-29,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,1.85,2026-05-29,current
Marshall Wace LLP,CH1216478797,DSM-Firmenich AG,0.85,2026-05-29,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,1.11,2026-05-29,current
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.83,2026-05-29,current
Squarepoint Ops LLC,NL0011821392,Signify N.V.,0.5,2026-05-29,current
"Two Sigma Investments, LP",NL0010391025,Pharming Group N.V.,1.09,2026-05-29,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.18,2026-05-28,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,0.66,2026-05-28,current
Jane Street Group LLC,LU1598757687,ArcelorMittal S.A.,0.53,2026-05-28,current
Linden Advisors LP,NL0011872650,Basic-Fit N.V.,0.87,2026-05-28,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,1.18,2026-05-28,current
Walleye Capital LLC,NL0010391025,Pharming Group N.V.,0.92,2026-05-28,current
"AQR Capital Management, LLC",NL0013267909,Akzo Nobel N.V.,0.6,2026-05-27,current
Citadel Advisors LLC,NL0000289213,Wereldhave N.V.,0.91,2026-05-27,current
"D. E. Shaw & Co., L.P.",NL0010391025,Pharming Group N.V.,0.58,2026-05-27,current
Davidson Kempner Capital Management LP,NL0013267909,Akzo Nobel N.V.,1.01,2026-05-27,current
Marshall Wace LLP,NL0010801007,IMCD N.V.,0.65,2026-05-27,current
Numeric Investors LLC,NL0012365084,NSI N.V.,0.79,2026-05-27,current
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.78,2026-05-27,current
"AQR Capital Management, LLC",NL0011821392,Signify N.V.,1.18,2026-05-26,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,1.3,2026-05-26,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.8,2026-05-26,current
Citadel Advisors LLC,CH1216478797,DSM-Firmenich AG,0.91,2026-05-26,current
Citadel Advisors LLC,NL0010801007,IMCD N.V.,0.79,2026-05-26,current
