position_holder,net_short_position,position_date,isin,issuer_name,source
"AQR Capital Management, LLC",0.69,2026-06-03,JE00BRX98089,CVC Capital Partners plc,current
Capital Fund Management S.A.,0.52,2026-06-03,NL0012969182,Adyen N.V.,current
Davidson Kempner Capital Management LP,1.02,2026-06-03,NL0013267909,Akzo Nobel N.V.,current
LMR Partners LLP,0.83,2026-06-03,NL0013267909,Akzo Nobel N.V.,current
Marshall Wace LLP,0.91,2026-06-03,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.81,2026-06-03,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Whitebox Advisors LLC,0.58,2026-06-03,NL0010391025,Pharming Group N.V.,current
Actus Ray Partners Limited,0.74,2026-06-02,NL0015000GX8,Envipco Holding N.V.,current
Citadel Advisors LLC,0.69,2026-06-02,NL0010801007,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",0.62,2026-06-02,NL0010391025,Pharming Group N.V.,current
JPMorgan Asset Management (UK) Ltd.,2.2,2026-06-02,NL00150003E1,Fugro N.V.,current
Sculptor Capital Management Europe Limited,0.79,2026-06-02,NL0011872650,Basic-Fit N.V.,current
Squarepoint Ops LLC,0.61,2026-06-02,NL0012817175,Alfen N.V.,current
Walleye Capital LLC,1.02,2026-06-02,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,0.5,2026-06-01,NL0010391025,Pharming Group N.V.,current
Numeric Investors LLC,0.81,2026-06-01,NL0012365084,NSI N.V.,current
"Point72 Europe (London), LLP",0.59,2026-06-01,NL0000379121,Randstad N.V.,current
"AQR Capital Management, LLC",0.59,2026-05-29,NL0000852564,Aalberts N.V.,current
"BlackRock Financial Management, Inc.",0.69,2026-05-29,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",0.83,2026-05-29,NL0011821392,Signify N.V.,current
Citadel Advisors Europe Limited,0.57,2026-05-29,NL0000379121,Randstad N.V.,current
Citadel Advisors Europe Limited,1.0,2026-05-29,NL0011821392,Signify N.V.,current
Davidson Kempner Capital Management LP,0.58,2026-05-29,NL0013267909,Akzo Nobel N.V.,current
Ilex Capital Partners (UK) LLP,1.85,2026-05-29,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.85,2026-05-29,CH1216478797,DSM-Firmenich AG,current
"PDT Partners, LLC",1.11,2026-05-29,NL0011821392,Signify N.V.,current
Qube Research & Technologies Ltd.,0.83,2026-05-29,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Squarepoint Ops LLC,0.5,2026-05-29,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",1.09,2026-05-29,NL0010391025,Pharming Group N.V.,current
"AQR Capital Management, LLC",1.18,2026-05-28,NL0012969182,Adyen N.V.,current
Davidson Kempner Capital Management LP,0.66,2026-05-28,NL0013267909,Akzo Nobel N.V.,current
Jane Street Group LLC,0.53,2026-05-28,LU1598757687,ArcelorMittal S.A.,current
Linden Advisors LP,0.87,2026-05-28,NL0011872650,Basic-Fit N.V.,current
"Two Sigma Investments, LP",1.18,2026-05-28,LU2290522684,InPost S.A.,current
Walleye Capital LLC,0.92,2026-05-28,NL0010391025,Pharming Group N.V.,current
"AQR Capital Management, LLC",0.6,2026-05-27,NL0013267909,Akzo Nobel N.V.,current
Citadel Advisors LLC,0.91,2026-05-27,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.58,2026-05-27,NL0010391025,Pharming Group N.V.,current
Davidson Kempner Capital Management LP,1.01,2026-05-27,NL0013267909,Akzo Nobel N.V.,current
Marshall Wace LLP,0.65,2026-05-27,NL0010801007,IMCD N.V.,current
Numeric Investors LLC,0.79,2026-05-27,NL0012365084,NSI N.V.,current
Qube Research & Technologies Ltd.,0.78,2026-05-27,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"AQR Capital Management, LLC",1.18,2026-05-26,NL0011821392,Signify N.V.,current
"Arrowstreet Capital, Limited Partnership",1.3,2026-05-26,NL0010801007,IMCD N.V.,current
Capital Fund Management S.A.,0.8,2026-05-26,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.91,2026-05-26,CH1216478797,DSM-Firmenich AG,current
Citadel Advisors LLC,0.79,2026-05-26,NL0010801007,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",0.61,2026-05-26,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.75,2026-05-26,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.6,2026-05-26,NL0011821392,Signify N.V.,current
Qube Research & Technologies Ltd.,0.8,2026-05-26,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Squarepoint Ops LLC,0.71,2026-05-26,NL0012817175,Alfen N.V.,current
"D. E. Shaw & Co., L.P.",0.58,2026-05-25,NL0010391025,Pharming Group N.V.,current
"PDT Partners, LLC",0.8,2026-05-25,NL0010801007,IMCD N.V.,current
Sculptor Capital Management Europe Limited,0.8,2026-05-25,NL0011872650,Basic-Fit N.V.,current
"Algert Global, LLC",0.53,2026-05-22,NL00150003E1,Fugro N.V.,current
Citadel Advisors Europe Limited,0.98,2026-05-22,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.86,2026-05-22,CH1216478797,DSM-Firmenich AG,current
Citadel Advisors LLC,0.81,2026-05-22,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.6,2026-05-22,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.61,2026-05-22,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.78,2026-05-22,CH1216478797,DSM-Firmenich AG,current
"PDT Partners, LLC",0.79,2026-05-22,NL0010801007,IMCD N.V.,current
"Point72 Europe (London), LLP",0.63,2026-05-22,NL0000379121,Randstad N.V.,current
Squarepoint Ops LLC,0.62,2026-05-22,NL0012817175,Alfen N.V.,current
Walleye Capital LLC,0.8,2026-05-22,NL0010391025,Pharming Group N.V.,current
Winton Capital Management Limited,0.59,2026-05-22,NL0013332471,TomTom N.V.,current
Canada Pension Plan Investment Board,1.0,2026-05-21,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.74,2026-05-21,CH1216478797,DSM-Firmenich AG,current
"D. E. Shaw & Co., L.P.",0.59,2026-05-21,NL0010391025,Pharming Group N.V.,current
"D. E. Shaw & Co., L.P.",0.59,2026-05-21,NL0009739416,PostNL N.V.,current
Ilex Capital Partners (UK) LLP,1.71,2026-05-21,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.6,2026-05-21,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,1.58,2026-05-21,NL0011821392,Signify N.V.,current
"Point72 Asset Management, L.P.",0.51,2026-05-21,NL00150003E1,Fugro N.V.,current
"Two Sigma Investments, LP",0.99,2026-05-21,NL0010391025,Pharming Group N.V.,current
"Two Sigma Investments, LP",1.29,2026-05-20,LU2290522684,InPost S.A.,current
"Two Sigma Investments, LP",1.0,2026-05-20,NL0010391025,Pharming Group N.V.,current
"D. E. Shaw & Co., L.P.",0.6,2026-05-19,NL0010391025,Pharming Group N.V.,current
Linden Advisors LP,0.9,2026-05-19,NL0011872650,Basic-Fit N.V.,current
"PDT Partners, LLC",1.0,2026-05-19,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.68,2026-05-19,NL0010801007,IMCD N.V.,current
"AQR Capital Management, LLC",0.99,2026-05-18,NL0006237562,ARCADIS N.V.,current
Citadel Advisors LLC,0.62,2026-05-18,CH1216478797,DSM-Firmenich AG,current
Citadel Advisors LLC,1.59,2026-05-18,NL0011821392,Signify N.V.,current
Marshall Wace LLP,0.73,2026-05-18,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"BlackRock Financial Management, Inc.",0.79,2026-05-15,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.82,2026-05-15,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.68,2026-05-15,NL0000395903,Wolters Kluwer N.V.,current
Marshall Wace LLP,0.68,2026-05-15,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"Point72 Europe (London), LLP",0.51,2026-05-15,NL0000379121,Randstad N.V.,current
Qube Research & Technologies Ltd.,0.71,2026-05-15,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Squarepoint Ops LLC,0.55,2026-05-15,NL0012817175,Alfen N.V.,current
Capital Fund Management S.A.,0.51,2026-05-14,BMG3602E1084,Flow Traders Ltd.,current
Capital Fund Management S.A.,0.78,2026-05-14,NL0010801007,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",0.89,2026-05-14,NL0011872650,Basic-Fit N.V.,current
"PDT Partners, LLC",0.8,2026-05-14,NL0010801007,IMCD N.V.,current
Sculptor Capital Management Europe Limited,0.77,2026-05-14,NL0011872650,Basic-Fit N.V.,current
Capital Fund Management S.A.,0.8,2026-05-13,NL0010801007,IMCD N.V.,current
Citadel Advisors Europe Limited,0.6,2026-05-13,NL0000379121,Randstad N.V.,current
Citadel Advisors LLC,0.7,2026-05-13,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.61,2026-05-13,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.53,2026-05-13,NL0010391025,Pharming Group N.V.,current
"Two Sigma Investments, LP",0.91,2026-05-13,NL0010391025,Pharming Group N.V.,current
Walleye Capital LLC,0.74,2026-05-13,NL0010391025,Pharming Group N.V.,current
"BlackRock Advisors, LLC",0.59,2026-05-12,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",0.71,2026-05-12,NL0011821392,Signify N.V.,current
Capital Fund Management S.A.,0.79,2026-05-12,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.69,2026-05-12,NL0010801007,IMCD N.V.,current
Lazard Asset Management LLC,0.82,2026-05-12,NL0010391025,Pharming Group N.V.,current
Numeric Investors LLC,0.8,2026-05-12,NL0012365084,NSI N.V.,current
"Two Sigma Investments, LP",1.36,2026-05-12,LU2290522684,InPost S.A.,current
Capital Fund Management S.A.,0.8,2026-05-11,NL0010801007,IMCD N.V.,current
Capital Fund Management S.A.,0.52,2026-05-11,NL0000852523,TKH Group N.V.,current
Citadel Advisors Europe Limited,1.02,2026-05-11,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.5,2026-05-11,CH1216478797,DSM-Firmenich AG,current
Citadel Advisors LLC,0.79,2026-05-11,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.7,2026-05-11,NL0000289213,Wereldhave N.V.,current
"Two Sigma Investments, LP",0.86,2026-05-11,NL0010391025,Pharming Group N.V.,current
"Two Sigma Investments, LP",0.8,2026-05-11,CY0200751713,Theon International Plc,current
Walleye Capital LLC,0.63,2026-05-11,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,1.5,2026-05-08,NL0011821392,Signify N.V.,current
Davidson Kempner Capital Management LP,1.72,2026-05-08,NL0013267909,Akzo Nobel N.V.,current
"Two Sigma Investments, LP",0.75,2026-05-08,NL0010391025,Pharming Group N.V.,current
Walleye Capital LLC,0.53,2026-05-08,NL0010391025,Pharming Group N.V.,current
Citadel Advisors Europe Limited,0.5,2026-05-07,NL0000379121,Randstad N.V.,current
Citadel Advisors Europe Limited,0.97,2026-05-07,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.69,2026-05-07,NL0009739416,PostNL N.V.,current
Lazard Asset Management LLC,0.76,2026-05-07,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.79,2026-05-07,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.69,2026-05-07,NL0011821392,Signify N.V.,current
Capital Fund Management S.A.,0.79,2026-05-06,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.82,2026-05-06,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.41,2026-05-06,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.4,2026-05-06,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.69,2026-05-06,JE00BRX98089,CVC Capital Partners plc,current
Marshall Wace LLP,0.83,2026-05-06,NL0010801007,IMCD N.V.,current
"PDT Partners, LLC",0.77,2026-05-06,NL0010801007,IMCD N.V.,current
"PDT Partners, LLC",0.9,2026-05-06,NL0011821392,Signify N.V.,current
Citadel Advisors Europe Limited,0.8,2026-05-05,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.9,2026-05-05,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.36,2026-05-05,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.98,2026-05-05,NL0011872650,Basic-Fit N.V.,current
"D. E. Shaw & Co., L.P.",0.7,2026-05-05,NL0009739416,PostNL N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.09,2026-05-05,NL0013332471,TomTom N.V.,current
Marshall Wace LLP,1.76,2026-05-05,NL0011821392,Signify N.V.,current
Sculptor Capital Management Europe Limited,0.65,2026-05-05,NL0011872650,Basic-Fit N.V.,current
Capital Fund Management S.A.,0.81,2026-05-04,NL0010801007,IMCD N.V.,current
Citadel Advisors Europe Limited,0.7,2026-05-04,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.69,2026-05-04,NL0009739416,PostNL N.V.,current
Davidson Kempner Capital Management LP,1.61,2026-05-04,NL0013267909,Akzo Nobel N.V.,current
Walleye Capital LLC,0.67,2026-05-04,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Citadel Advisors Europe Limited,0.55,2026-04-30,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.57,2026-04-30,NL0006237562,ARCADIS N.V.,current
"D. E. Shaw & Co., L.P.",0.7,2026-04-30,NL0009739416,PostNL N.V.,current
Jupiter Asset Management Ltd.,0.5,2026-04-30,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.89,2026-04-30,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,0.86,2026-04-30,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.89,2026-04-30,NL0011821392,Signify N.V.,current
Qube Research & Technologies Ltd.,0.6,2026-04-30,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Sculptor Capital Management Europe Limited,0.59,2026-04-30,NL0011872650,Basic-Fit N.V.,current
Squarepoint Ops LLC,0.73,2026-04-30,NL0012817175,Alfen N.V.,current
White Creek Capital LLP,0.56,2026-04-30,NL0006237562,ARCADIS N.V.,current
Citadel Advisors LLC,0.83,2026-04-29,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.29,2026-04-29,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.9,2026-04-29,NL0000817179,Sligro Food Group N.V.,current
"D. E. Shaw & Co., L.P.",0.79,2026-04-29,NL0000395903,Wolters Kluwer N.V.,current
Marshall Wace LLP,0.71,2026-04-29,JE00BRX98089,CVC Capital Partners plc,current
Marshall Wace LLP,0.74,2026-04-29,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,0.9,2026-04-29,NL0009739416,PostNL N.V.,current
"PDT Partners, LLC",0.9,2026-04-29,NL0011821392,Signify N.V.,current
Walleye Capital LLC,0.7,2026-04-29,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Citadel Advisors LLC,0.75,2026-04-28,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.32,2026-04-28,NL0011821392,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.17,2026-04-28,NL0013332471,TomTom N.V.,current
Marshall Wace LLP,1.8,2026-04-28,NL0011821392,Signify N.V.,current
Marshall Wace LLP,0.98,2026-04-28,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Squarepoint Ops LLC,0.62,2026-04-28,NL0012817175,Alfen N.V.,current
"AQR Capital Management, LLC",1.27,2026-04-27,NL0012969182,Adyen N.V.,current
Citadel Advisors LLC,1.43,2026-04-27,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.3,2026-04-27,CH1216478797,DSM-Firmenich AG,current
JPMorgan Asset Management (UK) Ltd.,2.15,2026-04-27,NL00150003E1,Fugro N.V.,current
JPMorgan Asset Management (UK) Ltd.,2.06,2026-04-24,NL00150003E1,Fugro N.V.,current
Linden Advisors LP,0.82,2026-04-24,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,0.61,2026-04-24,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.04,2026-04-24,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Citadel Advisors LLC,1.68,2026-04-23,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.8,2026-04-23,NL0000817179,Sligro Food Group N.V.,current
Eleva Capital SAS,0.84,2026-04-23,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,1.11,2026-04-23,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Squarepoint Ops LLC,0.5,2026-04-23,NL0012817175,Alfen N.V.,current
Capstone Volatility Master (Cayman) Limited,0.77,2026-04-22,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,0.62,2026-04-22,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.71,2026-04-22,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.68,2026-04-22,NL0000289213,Wereldhave N.V.,current
Davidson Kempner Capital Management LP,1.55,2026-04-22,NL0013267909,Akzo Nobel N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.73,2026-04-22,NL00150003E1,Fugro N.V.,current
Marshall Wace LLP,0.56,2026-04-22,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.76,2026-04-22,NL0011821392,Signify N.V.,current
Marshall Wace LLP,1.09,2026-04-22,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"AQR Capital Management, LLC",1.3,2026-04-21,NL0012969182,Adyen N.V.,current
Canada Pension Plan Investment Board,0.91,2026-04-21,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,1.82,2026-04-21,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.7,2026-04-21,NL0000289213,Wereldhave N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.56,2026-04-21,NL00150003E1,Fugro N.V.,current
"PDT Partners, LLC",0.88,2026-04-21,NL0011821392,Signify N.V.,current
White Creek Capital LLP,0.61,2026-04-21,NL0006237562,ARCADIS N.V.,current
"AQR Capital Management, LLC",1.29,2026-04-20,NL0012969182,Adyen N.V.,current
Canada Pension Plan Investment Board,0.87,2026-04-20,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,2.0,2026-04-20,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",1.06,2026-04-20,NL0011872650,Basic-Fit N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.45,2026-04-20,NL00150003E1,Fugro N.V.,current
Linden Advisors LP,0.7,2026-04-20,NL0011872650,Basic-Fit N.V.,current
"O'Connor Alternative Investments, LLC",1.16,2026-04-20,NL0013267909,Akzo Nobel N.V.,current
White Creek Capital LLP,0.57,2026-04-20,NL0006237562,ARCADIS N.V.,current
"BlackRock Financial Management, Inc.",0.89,2026-04-17,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.53,2026-04-17,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,2.22,2026-04-17,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.71,2026-04-17,NL0000817179,Sligro Food Group N.V.,current
"D. E. Shaw & Co., L.P.",1.12,2026-04-17,NL0011872650,Basic-Fit N.V.,current
Davidson Kempner Capital Management LP,1.41,2026-04-17,NL0013267909,Akzo Nobel N.V.,current
Fosse Capital Partners LLP,1.02,2026-04-17,NL0011872650,Basic-Fit N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.06,2026-04-17,NL00150003E1,Fugro N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.91,2026-04-17,NL0010801007,IMCD N.V.,current
JPMorgan Asset Management (UK) Ltd.,1.22,2026-04-17,NL0013332471,TomTom N.V.,current
Linden Advisors LP,0.59,2026-04-17,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,0.65,2026-04-17,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,0.81,2026-04-17,NL0009739416,PostNL N.V.,current
"PDT Partners, LLC",0.9,2026-04-17,NL0011821392,Signify N.V.,current
Sculptor Capital Management Europe Limited,0.6,2026-04-17,NL0011872650,Basic-Fit N.V.,current
"Two Sigma Investments, LP",1.47,2026-04-17,LU2290522684,InPost S.A.,current
Walleye Capital LLC,0.62,2026-04-17,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"AQR Capital Management, LLC",1.3,2026-04-16,NL0012969182,Adyen N.V.,current
Citadel Advisors LLC,2.32,2026-04-16,NL0011821392,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.85,2026-04-16,NL0010801007,IMCD N.V.,current
Lazard Asset Management LLC,1.18,2026-04-16,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.52,2026-04-16,NL0010801007,IMCD N.V.,current
Ilex Capital Partners (UK) LLP,1.23,2026-04-15,CH1216478797,DSM-Firmenich AG,current
JPMorgan Asset Management (UK) Ltd.,0.76,2026-04-15,NL0010801007,IMCD N.V.,current
