position_holder,issuer_name,position_date,isin,net_short_position,source
"AQR Capital Management, LLC",Adyen N.V.,2026-06-04,NL0012969182,1.07,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,2026-06-04,NL0013267909,0.65,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-06-04,NL0010391025,0.7,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-06-04,NL0013267909,1.17,current
Jane Street Group LLC,ArcelorMittal S.A.,2026-06-04,LU1598757687,0.6,current
LMR Partners LLP,Akzo Nobel N.V.,2026-06-04,NL0013267909,0.91,current
Squarepoint Ops LLC,Alfen N.V.,2026-06-04,NL0012817175,0.55,current
Squarepoint Ops LLC,Signify N.V.,2026-06-04,NL0011821392,0.62,current
"AQR Capital Management, LLC",CVC Capital Partners plc,2026-06-03,JE00BRX98089,0.69,current
Capital Fund Management S.A.,Adyen N.V.,2026-06-03,NL0012969182,0.52,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-06-03,NL0013267909,1.02,current
LMR Partners LLP,Akzo Nobel N.V.,2026-06-03,NL0013267909,0.83,current
Marshall Wace LLP,DSM-Firmenich AG,2026-06-03,CH1216478797,0.91,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-06-03,NL0015002MS2,0.81,current
Whitebox Advisors LLC,Pharming Group N.V.,2026-06-03,NL0010391025,0.58,current
Actus Ray Partners Limited,Envipco Holding N.V.,2026-06-02,NL0015000GX8,0.74,current
Citadel Advisors LLC,IMCD N.V.,2026-06-02,NL0010801007,0.69,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-06-02,NL0010391025,0.62,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-06-02,NL00150003E1,2.2,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-06-02,NL0011872650,0.79,current
Squarepoint Ops LLC,Alfen N.V.,2026-06-02,NL0012817175,0.61,current
Walleye Capital LLC,Pharming Group N.V.,2026-06-02,NL0010391025,1.02,current
Citadel Advisors LLC,Pharming Group N.V.,2026-06-01,NL0010391025,0.5,current
Numeric Investors LLC,NSI N.V.,2026-06-01,NL0012365084,0.81,current
"Point72 Europe (London), LLP",Randstad N.V.,2026-06-01,NL0000379121,0.59,current
"AQR Capital Management, LLC",Aalberts N.V.,2026-05-29,NL0000852564,0.59,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-05-29,NL0010801007,0.69,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-05-29,NL0011821392,0.83,current
Citadel Advisors Europe Limited,Randstad N.V.,2026-05-29,NL0000379121,0.57,current
Citadel Advisors Europe Limited,Signify N.V.,2026-05-29,NL0011821392,1.0,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-29,NL0013267909,0.58,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-05-29,CH1216478797,1.85,current
Marshall Wace LLP,DSM-Firmenich AG,2026-05-29,CH1216478797,0.85,current
"PDT Partners, LLC",Signify N.V.,2026-05-29,NL0011821392,1.11,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-29,NL0015002MS2,0.83,current
Squarepoint Ops LLC,Signify N.V.,2026-05-29,NL0011821392,0.5,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-29,NL0010391025,1.09,current
"AQR Capital Management, LLC",Adyen N.V.,2026-05-28,NL0012969182,1.18,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-28,NL0013267909,0.66,current
Jane Street Group LLC,ArcelorMittal S.A.,2026-05-28,LU1598757687,0.53,current
Linden Advisors LP,Basic-Fit N.V.,2026-05-28,NL0011872650,0.87,current
"Two Sigma Investments, LP",InPost S.A.,2026-05-28,LU2290522684,1.18,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-28,NL0010391025,0.92,current
"AQR Capital Management, LLC",Akzo Nobel N.V.,2026-05-27,NL0013267909,0.6,current
Citadel Advisors LLC,Wereldhave N.V.,2026-05-27,NL0000289213,0.91,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-27,NL0010391025,0.58,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-05-27,NL0013267909,1.01,current
Marshall Wace LLP,IMCD N.V.,2026-05-27,NL0010801007,0.65,current
Numeric Investors LLC,NSI N.V.,2026-05-27,NL0012365084,0.79,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-27,NL0015002MS2,0.78,current
"AQR Capital Management, LLC",Signify N.V.,2026-05-26,NL0011821392,1.18,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-05-26,NL0010801007,1.3,current
Capital Fund Management S.A.,IMCD N.V.,2026-05-26,NL0010801007,0.8,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-26,CH1216478797,0.91,current
Citadel Advisors LLC,IMCD N.V.,2026-05-26,NL0010801007,0.79,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-26,NL0010391025,0.61,current
Marshall Wace LLP,PostNL N.V.,2026-05-26,NL0009739416,0.75,current
Marshall Wace LLP,Signify N.V.,2026-05-26,NL0011821392,1.6,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-05-26,NL0015002MS2,0.8,current
Squarepoint Ops LLC,Alfen N.V.,2026-05-26,NL0012817175,0.71,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-25,NL0010391025,0.58,current
"PDT Partners, LLC",IMCD N.V.,2026-05-25,NL0010801007,0.8,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-05-25,NL0011872650,0.8,current
"Algert Global, LLC",Fugro N.V.,2026-05-22,NL00150003E1,0.53,current
Citadel Advisors Europe Limited,Signify N.V.,2026-05-22,NL0011821392,0.98,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-22,CH1216478797,0.86,current
Citadel Advisors LLC,IMCD N.V.,2026-05-22,NL0010801007,0.81,current
Citadel Advisors LLC,Signify N.V.,2026-05-22,NL0011821392,1.6,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-22,NL0010391025,0.61,current
Marshall Wace LLP,DSM-Firmenich AG,2026-05-22,CH1216478797,0.78,current
"PDT Partners, LLC",IMCD N.V.,2026-05-22,NL0010801007,0.79,current
"Point72 Europe (London), LLP",Randstad N.V.,2026-05-22,NL0000379121,0.63,current
Squarepoint Ops LLC,Alfen N.V.,2026-05-22,NL0012817175,0.62,current
Walleye Capital LLC,Pharming Group N.V.,2026-05-22,NL0010391025,0.8,current
Winton Capital Management Limited,TomTom N.V.,2026-05-22,NL0013332471,0.59,current
Canada Pension Plan Investment Board,Signify N.V.,2026-05-21,NL0011821392,1.0,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-05-21,CH1216478797,0.74,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-21,NL0010391025,0.59,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,2026-05-21,NL0009739416,0.59,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-05-21,CH1216478797,1.71,current
Marshall Wace LLP,DSM-Firmenich AG,2026-05-21,CH1216478797,0.6,current
Marshall Wace LLP,Signify N.V.,2026-05-21,NL0011821392,1.58,current
"Point72 Asset Management, L.P.",Fugro N.V.,2026-05-21,NL00150003E1,0.51,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-21,NL0010391025,0.99,current
"Two Sigma Investments, LP",InPost S.A.,2026-05-20,LU2290522684,1.29,current
"Two Sigma Investments, LP",Pharming Group N.V.,2026-05-20,NL0010391025,1.0,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-05-19,NL0010391025,0.6,current
Linden Advisors LP,Basic-Fit N.V.,2026-05-19,NL0011872650,0.9,current
"PDT Partners, LLC",Signify N.V.,2026-05-19,NL0011821392,1.0,current
"Two Sigma Investments, LP",IMCD N.V.,2026-05-19,NL0010801007,0.68,current
"AQR Capital Management, LLC",ARCADIS N.V.,2026-05-18,NL0006237562,0.99,current
