isin,position_date,issuer_name,position_holder,net_short_position,source
NL0013267909,2026-06-05,Akzo Nobel N.V.,AKO Capital LLP,0.51,current
NL0010801007,2026-06-05,IMCD N.V.,"AQR Capital Management, LLC",0.51,current
NL0011821392,2026-06-05,Signify N.V.,"BlackRock Institutional Trust Company, National Association",0.51,current
NL0010391025,2026-06-05,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.63,current
NL0013267909,2026-06-05,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.24,current
LU1598757687,2026-06-05,ArcelorMittal S.A.,Jane Street Group LLC,0.49,current
NL0011821392,2026-06-05,Signify N.V.,Marshall Wace LLP,1.59,current
NL0015002MS2,2026-06-05,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.92,current
NL0013332471,2026-06-05,TomTom N.V.,Winton Capital Management Limited,0.49,current
NL0012969182,2026-06-04,Adyen N.V.,"AQR Capital Management, LLC",1.07,current
NL0013267909,2026-06-04,Akzo Nobel N.V.,"BlackRock Advisors, LLC",0.65,current
NL0010391025,2026-06-04,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.7,current
NL0013267909,2026-06-04,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.17,current
LU1598757687,2026-06-04,ArcelorMittal S.A.,Jane Street Group LLC,0.6,current
NL0013267909,2026-06-04,Akzo Nobel N.V.,LMR Partners LLP,0.91,current
NL0012817175,2026-06-04,Alfen N.V.,Squarepoint Ops LLC,0.55,current
NL0011821392,2026-06-04,Signify N.V.,Squarepoint Ops LLC,0.62,current
JE00BRX98089,2026-06-03,CVC Capital Partners plc,"AQR Capital Management, LLC",0.69,current
NL0012969182,2026-06-03,Adyen N.V.,Capital Fund Management S.A.,0.52,current
NL0013267909,2026-06-03,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.02,current
NL0013267909,2026-06-03,Akzo Nobel N.V.,LMR Partners LLP,0.83,current
CH1216478797,2026-06-03,DSM-Firmenich AG,Marshall Wace LLP,0.91,current
