issuer_name,position_date,net_short_position,isin,position_holder,source
Adyen N.V.,2026-06-18,0.71,NL0012969182,Capital Fund Management S.A.,current
TKH Group N.V.,2026-06-18,0.59,NL0000852523,Capital Fund Management S.A.,current
Randstad N.V.,2026-06-18,0.49,NL0000379121,Citadel Advisors Europe Limited,current
Signify N.V.,2026-06-18,0.88,NL0011821392,Citadel Advisors Europe Limited,current
Signify N.V.,2026-06-18,0.85,NL0011821392,"Farallon Capital Management, L.L.C.",current
PostNL N.V.,2026-06-18,0.8,NL0009739416,Marshall Wace LLP,current
Alfen N.V.,2026-06-18,0.62,NL0012817175,Millennium International Management LP,current
IMCD N.V.,2026-06-18,0.79,NL0010801007,"PDT Partners, LLC",current
Basic-Fit N.V.,2026-06-18,0.54,NL0011872650,SQUARE CIRCLE IA LP,current
The Magnum Ice Cream Company N.V.,2026-06-18,0.48,NL0015002MS2,Walleye Capital LLC,current
Alfen N.V.,2026-06-18,0.71,NL0012817175,"WorldQuant, LLC",current
Adyen N.V.,2026-06-17,0.89,NL0012969182,"AQR Capital Management, LLC",current
IMCD N.V.,2026-06-17,1.29,NL0010801007,"Arrowstreet Capital, Limited Partnership",current
Signify N.V.,2026-06-17,0.79,NL0011821392,"BlackRock Financial Management, Inc.",current
The Magnum Ice Cream Company N.V.,2026-06-17,0.51,NL0015002MS2,Capital Fund Management S.A.,current
Signify N.V.,2026-06-17,1.46,NL0011821392,Citadel Advisors LLC,current
Sligro Food Group N.V.,2026-06-17,0.89,NL0000817179,Citadel Advisors LLC,current
Signify N.V.,2026-06-17,0.75,NL0011821392,"Farallon Capital Management, L.L.C.",current
DSM-Firmenich AG,2026-06-17,1.91,CH1216478797,Ilex Capital Partners (UK) LLP,current
Signify N.V.,2026-06-17,1.51,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-06-17,0.88,NL0015002MS2,Qube Research & Technologies Ltd.,current
Adyen N.V.,2026-06-16,0.62,NL0012969182,Capital Fund Management S.A.,current
Akzo Nobel N.V.,2026-06-16,1.3,NL0013267909,Davidson Kempner Capital Management LP,current
Signify N.V.,2026-06-16,0.61,NL0011821392,"Farallon Capital Management, L.L.C.",current
Sligro Food Group N.V.,2026-06-16,0.5,NL0000817179,Marshall Wace LLP,current
Flow Traders Ltd.,2026-06-16,0.5,BMG3602E1084,Walleye Capital LLC,current
PostNL N.V.,2026-06-16,0.51,NL0009739416,Winton Capital Management Limited,current
Alfen N.V.,2026-06-16,0.63,NL0012817175,"WorldQuant, LLC",current
Sligro Food Group N.V.,2026-06-16,0.51,NL0000817179,"WorldQuant, LLC",current
Signify N.V.,2026-06-15,0.99,NL0011821392,Citadel Advisors Europe Limited,current
Avantium N.V.,2026-06-15,0.52,NL0015002IE0,Citadel Securities (Europe) Limited,current
Pharming Group N.V.,2026-06-15,0.57,NL0010391025,"D. E. Shaw & Co., L.P.",current
Signify N.V.,2026-06-15,0.56,NL0011821392,"Farallon Capital Management, L.L.C.",current
IMCD N.V.,2026-06-15,0.68,NL0010801007,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-06-15,0.9,NL0015002MS2,Marshall Wace LLP,current
Akzo Nobel N.V.,2026-06-15,0.5,NL0013267909,Millennium International Management LP,current
Akzo Nobel N.V.,2026-06-15,1.09,NL0013267909,"O'Connor Alternative Investments, LLC",current
The Magnum Ice Cream Company N.V.,2026-06-15,0.9,NL0015002MS2,Qube Research & Technologies Ltd.,current
Akzo Nobel N.V.,2026-06-12,0.7,NL0013267909,"BlackRock Advisors, LLC",current
Flow Traders Ltd.,2026-06-12,0.59,BMG3602E1084,Capital Fund Management S.A.,current
TKH Group N.V.,2026-06-12,0.61,NL0000852523,Capital Fund Management S.A.,current
Randstad N.V.,2026-06-12,0.5,NL0000379121,Citadel Advisors Europe Limited,current
Signify N.V.,2026-06-12,1.56,NL0011821392,Citadel Advisors LLC,current
CVC Capital Partners plc,2026-06-12,0.59,JE00BRX98089,Marshall Wace LLP,current
DSM-Firmenich AG,2026-06-12,0.88,CH1216478797,Marshall Wace LLP,current
Signify N.V.,2026-06-12,1.48,NL0011821392,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-06-12,0.57,NL0015002MS2,Walleye Capital LLC,current
TKH Group N.V.,2026-06-11,0.59,NL0000852523,Capital Fund Management S.A.,current
Basic-Fit N.V.,2026-06-11,0.75,NL0011872650,Linden Advisors LP,current
IMCD N.V.,2026-06-11,0.71,NL0010801007,Marshall Wace LLP,current
The Magnum Ice Cream Company N.V.,2026-06-11,0.89,NL0015002MS2,Marshall Wace LLP,current
CSG N.V.,2026-06-11,0.5,NL0015073TS8,Qube Research & Technologies Ltd.,current
The Magnum Ice Cream Company N.V.,2026-06-11,0.89,NL0015002MS2,Qube Research & Technologies Ltd.,current
Alfen N.V.,2026-06-11,0.56,NL0012817175,"WorldQuant, LLC",current
Adyen N.V.,2026-06-10,0.99,NL0012969182,"AQR Capital Management, LLC",current
