isin,position_date,position_holder,issuer_name,net_short_position,source
NL0011821392,2026-06-22,Citadel Advisors LLC,Signify N.V.,1.27,current
NL0000289213,2026-06-22,Citadel Advisors LLC,Wereldhave N.V.,1.1,current
NL0000009082,2026-06-22,Marshall Wace LLP,Koninklijke KPN N.V.,0.52,current
NL0000817179,2026-06-22,Marshall Wace LLP,Sligro Food Group N.V.,0.49,current
NL0010801007,2026-06-22,"PDT Partners, LLC",IMCD N.V.,0.8,current
NL0009739416,2026-06-22,"PDT Partners, LLC",PostNL N.V.,0.61,current
NL0011821392,2026-06-22,"PDT Partners, LLC",Signify N.V.,1.3,current
NL0015073TS8,2026-06-22,Qube Research & Technologies Ltd.,CSG N.V.,0.6,current
NL0011872650,2026-06-22,SQUARE CIRCLE IA LP,Basic-Fit N.V.,0.61,current
NL0010801007,2026-06-22,"Two Sigma Investments, LP",IMCD N.V.,0.58,current
NL0010391025,2026-06-22,"Two Sigma Investments, LP",Pharming Group N.V.,1.1,current
NL0012817175,2026-06-22,"WorldQuant, LLC",Alfen N.V.,0.74,current
NL0010801007,2026-06-19,Capital Fund Management S.A.,IMCD N.V.,1.0,current
NL0010391025,2026-06-19,Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.83,current
CH1216478797,2026-06-19,Citadel Advisors LLC,DSM-Firmenich AG,0.96,current
NL0011821392,2026-06-19,Citadel Advisors LLC,Signify N.V.,1.3,current
NL0011872650,2026-06-19,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.79,current
CH1216478797,2026-06-19,Marshall Wace LLP,DSM-Firmenich AG,0.91,current
NL0010801007,2026-06-19,Marshall Wace LLP,IMCD N.V.,0.56,current
NL00150003E1,2026-06-19,"Point72 Asset Management, L.P.",Fugro N.V.,0.56,current
NL0015002MS2,2026-06-19,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.79,current
NL0010391025,2026-06-19,Spark Investment Management LLC,Pharming Group N.V.,0.52,current
NL0012817175,2026-06-19,"WorldQuant, LLC",Alfen N.V.,0.68,current
NL0012969182,2026-06-18,Capital Fund Management S.A.,Adyen N.V.,0.71,current
NL0000852523,2026-06-18,Capital Fund Management S.A.,TKH Group N.V.,0.59,current
NL0011821392,2026-06-18,Citadel Advisors Europe Limited,Signify N.V.,0.88,current
NL0011821392,2026-06-18,"Farallon Capital Management, L.L.C.",Signify N.V.,0.85,current
NL0009739416,2026-06-18,Marshall Wace LLP,PostNL N.V.,0.8,current
NL0012817175,2026-06-18,Millennium International Management LP,Alfen N.V.,0.62,current
NL0010801007,2026-06-18,"PDT Partners, LLC",IMCD N.V.,0.79,current
NL0011872650,2026-06-18,SQUARE CIRCLE IA LP,Basic-Fit N.V.,0.54,current
