isin,issuer_name,position_holder,net_short_position,position_date,source
NL0013267909,Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",0.49,2026-06-26,current
NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.99,2026-06-26,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.56,2026-06-26,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.09,2026-06-26,current
NL0000395903,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.59,2026-06-26,current
NL0012969182,Adyen N.V.,Marshall Wace LLP,0.58,2026-06-26,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.99,2026-06-26,current
JE00BRX98089,CVC Capital Partners plc,"AQR Capital Management, LLC",0.59,2026-06-25,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.33,2026-06-25,current
NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.2,2026-06-25,current
CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,1.0,2026-06-25,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.65,2026-06-25,current
NL0012817175,Alfen N.V.,Millennium International Management LP,0.56,2026-06-25,current
NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.88,2026-06-25,current
NL0013267909,Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",0.5,2026-06-24,current
NL0011821392,Signify N.V.,Citadel Advisors Europe Limited,0.65,2026-06-24,current
NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.79,2026-06-24,current
NL0015002IE0,Avantium N.V.,Citadel Securities (Europe) Limited,0.51,2026-06-24,current
NL0011821392,Signify N.V.,"Farallon Capital Management, L.L.C.",1.17,2026-06-24,current
NL0013267909,Akzo Nobel N.V.,Millennium International Management LP,0.6,2026-06-24,current
NL0011821392,Signify N.V.,Squarepoint Ops LLC,0.81,2026-06-24,current
NL0009739416,PostNL N.V.,Winton Capital Management Limited,0.6,2026-06-24,current
NL0010801007,IMCD N.V.,"AQR Capital Management, LLC",0.5,2026-06-23,current
