isin,position_holder,position_date,net_short_position,issuer_name,source
NL00150003E1,Actus Ray Partners Limited,2026-07-01,0.5,Fugro N.V.,current
NL0013267909,"BlackRock Advisors, LLC",2026-07-01,0.85,Akzo Nobel N.V.,current
NL0012969182,Capital Fund Management S.A.,2026-07-01,0.76,Adyen N.V.,current
CH1216478797,Citadel Advisors LLC,2026-07-01,0.88,DSM-Firmenich AG,current
NL0011821392,Eleva Capital SAS,2026-07-01,1.38,Signify N.V.,current
NL0011872650,Fosse Capital Partners LLP,2026-07-01,0.83,Basic-Fit N.V.,current
NL0012969182,Marshall Wace LLP,2026-07-01,0.48,Adyen N.V.,current
CH1216478797,Marshall Wace LLP,2026-07-01,1.0,DSM-Firmenich AG,current
NL0011821392,Marshall Wace LLP,2026-07-01,1.37,Signify N.V.,current
NL0013267909,Millennium International Management LP,2026-07-01,0.72,Akzo Nobel N.V.,current
NL0013267909,"O'Connor Alternative Investments, LLC",2026-07-01,1.09,Akzo Nobel N.V.,current
NL0011872650,Syquant Capital,2026-07-01,0.51,Basic-Fit N.V.,current
NL0012969182,"AQR Capital Management, LLC",2026-06-30,0.79,Adyen N.V.,current
NL0011821392,"AQR Capital Management, LLC",2026-06-30,1.09,Signify N.V.,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-06-30,0.69,Signify N.V.,current
NL0010801007,Caisse de dépôt et placement du Québec,2026-06-30,0.72,IMCD N.V.,current
NL0011821392,Citadel Advisors LLC,2026-06-30,1.25,Signify N.V.,current
NL0015002IE0,Citadel Securities (Europe) Limited,2026-06-30,0.75,Avantium N.V.,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-06-30,2.16,Fugro N.V.,current
NL0011821392,Marshall Wace LLP,2026-06-30,1.47,Signify N.V.,current
NL0000817179,Marshall Wace LLP,2026-06-30,0.5,Sligro Food Group N.V.,current
NL0012817175,"WorldQuant, LLC",2026-06-30,1.01,Alfen N.V.,current
NL0011821392,"BlackRock Institutional Trust Company, National Association",2026-06-29,0.6,Signify N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-06-29,1.0,IMCD N.V.,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-06-29,2.01,DSM-Firmenich AG,current
NL0011821392,Marshall Wace LLP,2026-06-29,1.58,Signify N.V.,current
NL0015073TS8,Qube Research & Technologies Ltd.,2026-06-29,0.7,CSG N.V.,current
NL0012817175,"WorldQuant, LLC",2026-06-29,0.92,Alfen N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-06-26,0.99,IMCD N.V.,current
