issuer_name,position_date,position_holder,net_short_position,isin,source
The Magnum Ice Cream Company N.V.,2026-07-02,"AQR Capital Management, LLC",0.5,NL0015002MS2,current
Akzo Nobel N.V.,2026-07-02,"BlackRock Advisors, LLC",0.92,NL0013267909,current
Signify N.V.,2026-07-02,"BlackRock Financial Management, Inc.",0.7,NL0011821392,current
Signify N.V.,2026-07-02,Citadel Advisors Europe Limited,0.42,NL0011821392,current
Sif Holding N.V.,2026-07-02,Citadel Securities (Europe) Limited,0.69,NL0011660485,current
Signify N.V.,2026-07-02,Marshall Wace LLP,1.27,NL0011821392,current
Sligro Food Group N.V.,2026-07-02,Marshall Wace LLP,0.49,NL0000817179,current
InPost S.A.,2026-07-02,"Two Sigma Investments, LP",1.1,LU2290522684,current
Fugro N.V.,2026-07-01,Actus Ray Partners Limited,0.5,NL00150003E1,current
Akzo Nobel N.V.,2026-07-01,"BlackRock Advisors, LLC",0.85,NL0013267909,current
Adyen N.V.,2026-07-01,Capital Fund Management S.A.,0.76,NL0012969182,current
DSM-Firmenich AG,2026-07-01,Citadel Advisors LLC,0.88,CH1216478797,current
Signify N.V.,2026-07-01,Eleva Capital SAS,1.38,NL0011821392,current
Basic-Fit N.V.,2026-07-01,Fosse Capital Partners LLP,0.83,NL0011872650,current
DSM-Firmenich AG,2026-07-01,Marshall Wace LLP,1.0,CH1216478797,current
Signify N.V.,2026-07-01,Marshall Wace LLP,1.37,NL0011821392,current
Akzo Nobel N.V.,2026-07-01,Millennium International Management LP,0.72,NL0013267909,current
Akzo Nobel N.V.,2026-07-01,"O'Connor Alternative Investments, LLC",1.09,NL0013267909,current
Basic-Fit N.V.,2026-07-01,Syquant Capital,0.51,NL0011872650,current
Adyen N.V.,2026-06-30,"AQR Capital Management, LLC",0.79,NL0012969182,current
Signify N.V.,2026-06-30,"AQR Capital Management, LLC",1.09,NL0011821392,current
Signify N.V.,2026-06-30,"BlackRock Financial Management, Inc.",0.69,NL0011821392,current
IMCD N.V.,2026-06-30,Caisse de dépôt et placement du Québec,0.72,NL0010801007,current
Signify N.V.,2026-06-30,Citadel Advisors LLC,1.25,NL0011821392,current
Avantium N.V.,2026-06-30,Citadel Securities (Europe) Limited,0.75,NL0015002IE0,current
Fugro N.V.,2026-06-30,JPMorgan Asset Management (UK) Ltd.,2.16,NL00150003E1,current
Signify N.V.,2026-06-30,Marshall Wace LLP,1.47,NL0011821392,current
Sligro Food Group N.V.,2026-06-30,Marshall Wace LLP,0.5,NL0000817179,current
Alfen N.V.,2026-06-30,"WorldQuant, LLC",1.01,NL0012817175,current
Signify N.V.,2026-06-29,"BlackRock Institutional Trust Company, National Association",0.6,NL0011821392,current
IMCD N.V.,2026-06-29,Capital Fund Management S.A.,1.0,NL0010801007,current
DSM-Firmenich AG,2026-06-29,Ilex Capital Partners (UK) LLP,2.01,CH1216478797,current
Signify N.V.,2026-06-29,Marshall Wace LLP,1.58,NL0011821392,current
CSG N.V.,2026-06-29,Qube Research & Technologies Ltd.,0.7,NL0015073TS8,current
Alfen N.V.,2026-06-29,"WorldQuant, LLC",0.92,NL0012817175,current
IMCD N.V.,2026-06-26,Capital Fund Management S.A.,0.99,NL0010801007,current
Signify N.V.,2026-06-26,Citadel Advisors Europe Limited,0.56,NL0011821392,current
Wereldhave N.V.,2026-06-26,Citadel Advisors LLC,1.09,NL0000289213,current
Wolters Kluwer N.V.,2026-06-26,"D. E. Shaw & Co., L.P.",0.59,NL0000395903,current
DSM-Firmenich AG,2026-06-26,Marshall Wace LLP,0.99,CH1216478797,current
Pharming Group N.V.,2026-06-26,Walleye Capital LLC,1.09,NL0010391025,current
CVC Capital Partners plc,2026-06-25,"AQR Capital Management, LLC",0.59,JE00BRX98089,current
Signify N.V.,2026-06-25,Citadel Advisors LLC,1.33,NL0011821392,current
Signify N.V.,2026-06-25,"Farallon Capital Management, L.L.C.",1.2,NL0011821392,current
DSM-Firmenich AG,2026-06-25,Marshall Wace LLP,1.0,CH1216478797,current
