position_holder,issuer_name,position_date,net_short_position,isin,source
AKO Capital LLP,Akzo Nobel N.V.,2026-07-03,0.48,NL0013267909,current
"AQR Capital Management, LLC",The Magnum Ice Cream Company N.V.,2026-07-03,0.49,NL0015002MS2,current
Capital Fund Management S.A.,Adyen N.V.,2026-07-03,0.68,NL0012969182,current
Citadel Securities (Europe) Limited,Sif Holding N.V.,2026-07-03,0.51,NL0011660485,current
"D. E. Shaw & Co. (London), LLP",Pharming Group N.V.,2026-07-03,0.5,NL0010391025,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-07-03,0.69,NL0011872650,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,2026-07-03,0.18,NL0010391025,current
JPMorgan Asset Management (UK) Ltd.,Sligro Food Group N.V.,2026-07-03,0.67,NL0000817179,current
Marshall Wace LLP,DSM-Firmenich AG,2026-07-03,0.99,CH1216478797,current
Marshall Wace LLP,Sligro Food Group N.V.,2026-07-03,0.5,NL0000817179,current
Millennium International Management LP,Alfen N.V.,2026-07-03,0.62,NL0012817175,current
"Two Sigma Investments, LP",InPost S.A.,2026-07-03,1.08,LU2290522684,current
"AQR Capital Management, LLC",The Magnum Ice Cream Company N.V.,2026-07-02,0.5,NL0015002MS2,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,2026-07-02,0.92,NL0013267909,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-07-02,0.7,NL0011821392,current
Citadel Securities (Europe) Limited,Sif Holding N.V.,2026-07-02,0.69,NL0011660485,current
Marshall Wace LLP,Signify N.V.,2026-07-02,1.27,NL0011821392,current
"Two Sigma Investments, LP",InPost S.A.,2026-07-02,1.1,LU2290522684,current
Actus Ray Partners Limited,Fugro N.V.,2026-07-01,0.5,NL00150003E1,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,2026-07-01,0.85,NL0013267909,current
Capital Fund Management S.A.,Adyen N.V.,2026-07-01,0.76,NL0012969182,current
Citadel Advisors LLC,DSM-Firmenich AG,2026-07-01,0.88,CH1216478797,current
Eleva Capital SAS,Signify N.V.,2026-07-01,1.38,NL0011821392,current
Fosse Capital Partners LLP,Basic-Fit N.V.,2026-07-01,0.83,NL0011872650,current
Marshall Wace LLP,DSM-Firmenich AG,2026-07-01,1.0,CH1216478797,current
Marshall Wace LLP,Signify N.V.,2026-07-01,1.37,NL0011821392,current
Millennium International Management LP,Akzo Nobel N.V.,2026-07-01,0.72,NL0013267909,current
"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,2026-07-01,1.09,NL0013267909,current
Syquant Capital,Basic-Fit N.V.,2026-07-01,0.51,NL0011872650,current
"AQR Capital Management, LLC",Adyen N.V.,2026-06-30,0.79,NL0012969182,current
"AQR Capital Management, LLC",Signify N.V.,2026-06-30,1.09,NL0011821392,current
"BlackRock Financial Management, Inc.",Signify N.V.,2026-06-30,0.69,NL0011821392,current
Caisse de dépôt et placement du Québec,IMCD N.V.,2026-06-30,0.72,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,2026-06-30,1.25,NL0011821392,current
Citadel Securities (Europe) Limited,Avantium N.V.,2026-06-30,0.75,NL0015002IE0,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-06-30,2.16,NL00150003E1,current
Marshall Wace LLP,Signify N.V.,2026-06-30,1.47,NL0011821392,current
"WorldQuant, LLC",Alfen N.V.,2026-06-30,1.01,NL0012817175,current
"BlackRock Institutional Trust Company, National Association",Signify N.V.,2026-06-29,0.6,NL0011821392,current
Capital Fund Management S.A.,IMCD N.V.,2026-06-29,1.0,NL0010801007,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-06-29,2.01,CH1216478797,current
Marshall Wace LLP,Signify N.V.,2026-06-29,1.58,NL0011821392,current
Qube Research & Technologies Ltd.,CSG N.V.,2026-06-29,0.7,NL0015073TS8,current
"WorldQuant, LLC",Alfen N.V.,2026-06-29,0.92,NL0012817175,current
Capital Fund Management S.A.,IMCD N.V.,2026-06-26,0.99,NL0010801007,current
Citadel Advisors LLC,Wereldhave N.V.,2026-06-26,1.09,NL0000289213,current
"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-06-26,0.59,NL0000395903,current
Marshall Wace LLP,DSM-Firmenich AG,2026-06-26,0.99,CH1216478797,current
