position_holder,net_short_position,issuer_name,isin,position_date,source
Capital Fund Management S.A.,0.5,TKH Group N.V.,NL0000852523,2026-07-09,current
Citadel Advisors LLC,0.72,DSM-Firmenich AG,CH1216478797,2026-07-09,current
Citadel Advisors LLC,1.1,Wereldhave N.V.,NL0000289213,2026-07-09,current
Citadel Securities (Europe) Limited,0.52,Alfen N.V.,NL0012817175,2026-07-09,current
JPMorgan Asset Management (UK) Ltd.,1.97,Fugro N.V.,NL00150003E1,2026-07-09,current
Marshall Wace LLP,1.06,Signify N.V.,NL0011821392,2026-07-09,current
Marshall Wace LLP,0.49,Sligro Food Group N.V.,NL0000817179,2026-07-09,current
Marshall Wace LLP,0.84,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-07-09,current
Numeric Investors LLC,0.91,NSI N.V.,NL0012365084,2026-07-09,current
Qube Research & Technologies Ltd.,0.8,CSG N.V.,NL0015073TS8,2026-07-09,current
Qube Research & Technologies Ltd.,0.68,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-07-09,current
Voleon Capital Management LP,0.5,Avantium N.V.,NL0015002IE0,2026-07-09,current
"WorldQuant, LLC",1.02,Alfen N.V.,NL0012817175,2026-07-09,current
"WorldQuant, LLC",0.49,Sligro Food Group N.V.,NL0000817179,2026-07-09,current
"AQR Capital Management, LLC",0.67,Adyen N.V.,NL0012969182,2026-07-08,current
"AQR Capital Management, LLC",0.79,ARCADIS N.V.,NL0006237562,2026-07-08,current
Capital Fund Management S.A.,0.6,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-07-08,current
Citadel Advisors LLC,0.69,DSM-Firmenich AG,CH1216478797,2026-07-08,current
Citadel Advisors LLC,1.16,Signify N.V.,NL0011821392,2026-07-08,current
Citadel Securities (Europe) Limited,0.62,Alfen N.V.,NL0012817175,2026-07-08,current
Marshall Wace LLP,0.51,NSI N.V.,NL0012365084,2026-07-08,current
"Two Sigma Investments, LP",0.98,InPost S.A.,LU2290522684,2026-07-08,current
"WorldQuant, LLC",0.99,Alfen N.V.,NL0012817175,2026-07-08,current
Actus Ray Partners Limited,0.61,Fugro N.V.,NL00150003E1,2026-07-07,current
Capital Fund Management S.A.,0.59,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-07-07,current
"BlackRock Financial Management, Inc.",0.69,Signify N.V.,NL0011821392,2026-07-06,current
