net_short_position,isin,position_holder,position_date,issuer_name,source
0.73,NL0010391025,Lazard Asset Management LLC,2026-07-13,Pharming Group N.V.,current
0.59,NL0012817175,Millennium International Management LP,2026-07-13,Alfen N.V.,current
0.49,NL0011872650,Syquant Capital,2026-07-13,Basic-Fit N.V.,current
1.05,NL0011821392,Citadel Advisors LLC,2026-07-10,Signify N.V.,current
1.09,NL0000289213,Citadel Advisors LLC,2026-07-10,Wereldhave N.V.,current
0.98,NL0011821392,Marshall Wace LLP,2026-07-10,Signify N.V.,current
0.91,NL0011821392,Squarepoint Ops LLC,2026-07-10,Signify N.V.,current
0.72,CH1216478797,Citadel Advisors LLC,2026-07-09,DSM-Firmenich AG,current
1.1,NL0000289213,Citadel Advisors LLC,2026-07-09,Wereldhave N.V.,current
0.52,NL0012817175,Citadel Securities (Europe) Limited,2026-07-09,Alfen N.V.,current
1.97,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-07-09,Fugro N.V.,current
1.06,NL0011821392,Marshall Wace LLP,2026-07-09,Signify N.V.,current
0.84,NL0015002MS2,Marshall Wace LLP,2026-07-09,The Magnum Ice Cream Company N.V.,current
0.91,NL0012365084,Numeric Investors LLC,2026-07-09,NSI N.V.,current
0.8,NL0015073TS8,Qube Research & Technologies Ltd.,2026-07-09,CSG N.V.,current
0.68,NL0015002MS2,Qube Research & Technologies Ltd.,2026-07-09,The Magnum Ice Cream Company N.V.,current
0.5,NL0015002IE0,Voleon Capital Management LP,2026-07-09,Avantium N.V.,current
1.02,NL0012817175,"WorldQuant, LLC",2026-07-09,Alfen N.V.,current
0.67,NL0012969182,"AQR Capital Management, LLC",2026-07-08,Adyen N.V.,current
0.79,NL0006237562,"AQR Capital Management, LLC",2026-07-08,ARCADIS N.V.,current
0.6,NL0015002MS2,Capital Fund Management S.A.,2026-07-08,The Magnum Ice Cream Company N.V.,current
0.69,CH1216478797,Citadel Advisors LLC,2026-07-08,DSM-Firmenich AG,current
1.16,NL0011821392,Citadel Advisors LLC,2026-07-08,Signify N.V.,current
0.62,NL0012817175,Citadel Securities (Europe) Limited,2026-07-08,Alfen N.V.,current
0.51,NL0012365084,Marshall Wace LLP,2026-07-08,NSI N.V.,current
0.98,LU2290522684,"Two Sigma Investments, LP",2026-07-08,InPost S.A.,current
0.99,NL0012817175,"WorldQuant, LLC",2026-07-08,Alfen N.V.,current
0.61,NL00150003E1,Actus Ray Partners Limited,2026-07-07,Fugro N.V.,current
0.59,NL0015002MS2,Capital Fund Management S.A.,2026-07-07,The Magnum Ice Cream Company N.V.,current
0.69,NL0011821392,"BlackRock Financial Management, Inc.",2026-07-06,Signify N.V.,current
0.6,NL0015002MS2,Capital Fund Management S.A.,2026-07-06,The Magnum Ice Cream Company N.V.,current
0.77,CH1216478797,Citadel Advisors LLC,2026-07-06,DSM-Firmenich AG,current
0.52,NL0012817175,Citadel Securities (Europe) Limited,2026-07-06,Alfen N.V.,current
2.08,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-07-06,Fugro N.V.,current
1.0,CH1216478797,Marshall Wace LLP,2026-07-06,DSM-Firmenich AG,current
1.17,NL0011821392,Marshall Wace LLP,2026-07-06,Signify N.V.,current
0.96,NL0015002MS2,Marshall Wace LLP,2026-07-06,The Magnum Ice Cream Company N.V.,current
0.59,NL0009739416,Winton Capital Management Limited,2026-07-06,PostNL N.V.,current
0.68,NL0012969182,Capital Fund Management S.A.,2026-07-03,Adyen N.V.,current
0.5,NL0010391025,"D. E. Shaw & Co. (London), LLP",2026-07-03,Pharming Group N.V.,current
0.69,NL0011872650,"D. E. Shaw & Co., L.P.",2026-07-03,Basic-Fit N.V.,current
0.67,NL0000817179,JPMorgan Asset Management (UK) Ltd.,2026-07-03,Sligro Food Group N.V.,current
0.99,CH1216478797,Marshall Wace LLP,2026-07-03,DSM-Firmenich AG,current
0.62,NL0012817175,Millennium International Management LP,2026-07-03,Alfen N.V.,current
1.08,LU2290522684,"Two Sigma Investments, LP",2026-07-03,InPost S.A.,current
0.92,NL0013267909,"BlackRock Advisors, LLC",2026-07-02,Akzo Nobel N.V.,current
0.7,NL0011821392,"BlackRock Financial Management, Inc.",2026-07-02,Signify N.V.,current
1.27,NL0011821392,Marshall Wace LLP,2026-07-02,Signify N.V.,current
1.1,LU2290522684,"Two Sigma Investments, LP",2026-07-02,InPost S.A.,current
0.5,NL00150003E1,Actus Ray Partners Limited,2026-07-01,Fugro N.V.,current
0.85,NL0013267909,"BlackRock Advisors, LLC",2026-07-01,Akzo Nobel N.V.,current
0.76,NL0012969182,Capital Fund Management S.A.,2026-07-01,Adyen N.V.,current
0.88,CH1216478797,Citadel Advisors LLC,2026-07-01,DSM-Firmenich AG,current
1.38,NL0011821392,Eleva Capital SAS,2026-07-01,Signify N.V.,current
0.83,NL0011872650,Fosse Capital Partners LLP,2026-07-01,Basic-Fit N.V.,current
1.0,CH1216478797,Marshall Wace LLP,2026-07-01,DSM-Firmenich AG,current
1.37,NL0011821392,Marshall Wace LLP,2026-07-01,Signify N.V.,current
0.72,NL0013267909,Millennium International Management LP,2026-07-01,Akzo Nobel N.V.,current
1.09,NL0013267909,"O'Connor Alternative Investments, LLC",2026-07-01,Akzo Nobel N.V.,current
0.51,NL0011872650,Syquant Capital,2026-07-01,Basic-Fit N.V.,current
0.79,NL0012969182,"AQR Capital Management, LLC",2026-06-30,Adyen N.V.,current
1.09,NL0011821392,"AQR Capital Management, LLC",2026-06-30,Signify N.V.,current
0.69,NL0011821392,"BlackRock Financial Management, Inc.",2026-06-30,Signify N.V.,current
0.72,NL0010801007,Caisse de dépôt et placement du Québec,2026-06-30,IMCD N.V.,current
1.25,NL0011821392,Citadel Advisors LLC,2026-06-30,Signify N.V.,current
0.75,NL0015002IE0,Citadel Securities (Europe) Limited,2026-06-30,Avantium N.V.,current
2.16,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-06-30,Fugro N.V.,current
1.47,NL0011821392,Marshall Wace LLP,2026-06-30,Signify N.V.,current
1.01,NL0012817175,"WorldQuant, LLC",2026-06-30,Alfen N.V.,current
0.6,NL0011821392,"BlackRock Institutional Trust Company, National Association",2026-06-29,Signify N.V.,current
1.0,NL0010801007,Capital Fund Management S.A.,2026-06-29,IMCD N.V.,current
2.01,CH1216478797,Ilex Capital Partners (UK) LLP,2026-06-29,DSM-Firmenich AG,current
1.58,NL0011821392,Marshall Wace LLP,2026-06-29,Signify N.V.,current
0.7,NL0015073TS8,Qube Research & Technologies Ltd.,2026-06-29,CSG N.V.,current
0.92,NL0012817175,"WorldQuant, LLC",2026-06-29,Alfen N.V.,current
0.99,NL0010801007,Capital Fund Management S.A.,2026-06-26,IMCD N.V.,current
1.09,NL0000289213,Citadel Advisors LLC,2026-06-26,Wereldhave N.V.,current
0.99,CH1216478797,Marshall Wace LLP,2026-06-26,DSM-Firmenich AG,current
1.09,NL0010391025,Walleye Capital LLC,2026-06-26,Pharming Group N.V.,current
0.59,JE00BRX98089,"AQR Capital Management, LLC",2026-06-25,CVC Capital Partners plc,current
1.33,NL0011821392,Citadel Advisors LLC,2026-06-25,Signify N.V.,current
1.2,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-25,Signify N.V.,current
1.0,CH1216478797,Marshall Wace LLP,2026-06-25,DSM-Firmenich AG,current
1.65,NL0011821392,Marshall Wace LLP,2026-06-25,Signify N.V.,current
0.56,NL0012817175,Millennium International Management LP,2026-06-25,Alfen N.V.,current
0.88,NL0012817175,"WorldQuant, LLC",2026-06-25,Alfen N.V.,current
0.79,NL0000817179,Citadel Advisors LLC,2026-06-24,Sligro Food Group N.V.,current
0.51,NL0015002IE0,Citadel Securities (Europe) Limited,2026-06-24,Avantium N.V.,current
1.17,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-24,Signify N.V.,current
0.6,NL0013267909,Millennium International Management LP,2026-06-24,Akzo Nobel N.V.,current
0.81,NL0011821392,Squarepoint Ops LLC,2026-06-24,Signify N.V.,current
0.6,NL0009739416,Winton Capital Management Limited,2026-06-24,PostNL N.V.,current
0.81,NL0012969182,Capital Fund Management S.A.,2026-06-23,Adyen N.V.,current
0.93,NL0011872650,Eleva Capital SAS,2026-06-23,Basic-Fit N.V.,current
1.04,NL0011821392,"Farallon Capital Management, L.L.C.",2026-06-23,Signify N.V.,current
1.01,NL0015002MS2,Marshall Wace LLP,2026-06-23,The Magnum Ice Cream Company N.V.,current
0.77,NL0011872650,Sculptor Capital Management Europe Limited,2026-06-23,Basic-Fit N.V.,current
0.79,NL0011821392,Squarepoint Ops LLC,2026-06-23,Signify N.V.,current
1.27,NL0011821392,Citadel Advisors LLC,2026-06-22,Signify N.V.,current
1.1,NL0000289213,Citadel Advisors LLC,2026-06-22,Wereldhave N.V.,current
0.8,NL0010801007,"PDT Partners, LLC",2026-06-22,IMCD N.V.,current
0.61,NL0009739416,"PDT Partners, LLC",2026-06-22,PostNL N.V.,current
1.3,NL0011821392,"PDT Partners, LLC",2026-06-22,Signify N.V.,current
0.6,NL0015073TS8,Qube Research & Technologies Ltd.,2026-06-22,CSG N.V.,current
0.61,NL0011872650,SQUARE CIRCLE IA LP,2026-06-22,Basic-Fit N.V.,current
1.1,NL0010391025,"Two Sigma Investments, LP",2026-06-22,Pharming Group N.V.,current
0.74,NL0012817175,"WorldQuant, LLC",2026-06-22,Alfen N.V.,current
1.0,NL0010801007,Capital Fund Management S.A.,2026-06-19,IMCD N.V.,current
0.83,NL0010391025,Capstone Volatility Master (Cayman) Limited,2026-06-19,Pharming Group N.V.,current
0.96,CH1216478797,Citadel Advisors LLC,2026-06-19,DSM-Firmenich AG,current
1.3,NL0011821392,Citadel Advisors LLC,2026-06-19,Signify N.V.,current
0.79,NL0011872650,"D. E. Shaw & Co., L.P.",2026-06-19,Basic-Fit N.V.,current
0.91,CH1216478797,Marshall Wace LLP,2026-06-19,DSM-Firmenich AG,current
