net_short_position,position_date,issuer_name,isin,position_holder,source
0.57,2026-07-17,Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",current
0.5,2026-07-17,The Magnum Ice Cream Company N.V.,NL0015002MS2,"AQR Capital Management, LLC",current
0.61,2026-07-17,Signify N.V.,NL0011821392,"BlackRock Institutional Trust Company, National Association",current
0.48,2026-07-17,TKH Group N.V.,NL0000852523,Capital Fund Management S.A.,current
1.01,2026-07-17,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.98,2026-07-17,DSM-Firmenich AG,CH1216478797,Marshall Wace LLP,current
0.71,2026-07-16,IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",current
0.59,2026-07-16,Signify N.V.,NL0011821392,"BlackRock Institutional Trust Company, National Association",current
0.71,2026-07-16,Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,current
1.37,2026-07-16,Signify N.V.,NL0011821392,"Farallon Capital Management, L.L.C.",current
1.1,2026-07-16,Pharming Group N.V.,NL0010391025,Walleye Capital LLC,current
1.0,2026-07-15,Akzo Nobel N.V.,NL0013267909,"BlackRock Advisors, LLC",current
0.55,2026-07-15,Adyen N.V.,NL0012969182,Capital Fund Management S.A.,current
0.5,2026-07-15,TKH Group N.V.,NL0000852523,Capital Fund Management S.A.,current
0.98,2026-07-15,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
0.73,2026-07-15,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.72,2026-07-14,Fugro N.V.,NL00150003E1,Actus Ray Partners Limited,current
0.78,2026-07-14,Akzo Nobel N.V.,NL0013267909,"AQR Capital Management, LLC",current
0.8,2026-07-14,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
0.62,2026-07-14,Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,current
1.4,2026-07-14,Akzo Nobel N.V.,NL0013267909,Davidson Kempner Capital Management LP,current
0.78,2026-07-14,PostNL N.V.,NL0009739416,Marshall Wace LLP,current
0.82,2026-07-14,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.79,2026-07-14,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
0.89,2026-07-14,Signify N.V.,NL0011821392,Squarepoint Ops LLC,current
0.73,2026-07-13,Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,current
0.59,2026-07-13,Alfen N.V.,NL0012817175,Millennium International Management LP,current
1.05,2026-07-10,Signify N.V.,NL0011821392,Citadel Advisors LLC,current
1.09,2026-07-10,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
0.98,2026-07-10,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.91,2026-07-10,Signify N.V.,NL0011821392,Squarepoint Ops LLC,current
0.72,2026-07-09,DSM-Firmenich AG,CH1216478797,Citadel Advisors LLC,current
1.1,2026-07-09,Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,current
0.52,2026-07-09,Alfen N.V.,NL0012817175,Citadel Securities (Europe) Limited,current
1.97,2026-07-09,Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,current
1.06,2026-07-09,Signify N.V.,NL0011821392,Marshall Wace LLP,current
0.84,2026-07-09,The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,current
