position_date,isin,position_holder,issuer_name,net_short_position,source
2026-07-20,NL0013267909,"BlackRock Financial Management, Inc.",Akzo Nobel N.V.,0.51,current
2026-07-20,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.44,current
2026-07-20,NL0011821392,Citadel Advisors LLC,Signify N.V.,0.97,current
2026-07-20,NL0012817175,Citadel Securities (Europe) Limited,Alfen N.V.,0.8,current
2026-07-20,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,1.44,current
2026-07-20,JE00BRX98089,Marshall Wace LLP,CVC Capital Partners plc,0.49,current
2026-07-20,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.67,current
2026-07-20,NL0011821392,Squarepoint Ops LLC,Signify N.V.,0.78,current
2026-07-20,CY0200751713,"Two Sigma Investments, LP",Theon International Plc,0.68,current
2026-07-20,NL0006237562,White Creek Capital LLP,ARCADIS N.V.,0.47,current
2026-07-17,NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,0.57,current
2026-07-17,NL0015002MS2,"AQR Capital Management, LLC",The Magnum Ice Cream Company N.V.,0.5,current
2026-07-17,NL0011821392,"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.61,current
2026-07-17,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.01,current
2026-07-17,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.98,current
2026-07-16,NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,0.71,current
2026-07-16,NL0011821392,"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.59,current
2026-07-16,NL0012817175,Citadel Securities (Europe) Limited,Alfen N.V.,0.71,current
2026-07-16,NL0011821392,"Farallon Capital Management, L.L.C.",Signify N.V.,1.37,current
2026-07-16,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,1.1,current
2026-07-15,NL0013267909,"BlackRock Advisors, LLC",Akzo Nobel N.V.,1.0,current
2026-07-15,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.55,current
2026-07-15,NL0011821392,Citadel Advisors LLC,Signify N.V.,0.98,current
2026-07-15,NL0011821392,Marshall Wace LLP,Signify N.V.,0.73,current
2026-07-14,NL00150003E1,Actus Ray Partners Limited,Fugro N.V.,0.72,current
2026-07-14,NL0013267909,"AQR Capital Management, LLC",Akzo Nobel N.V.,0.78,current
2026-07-14,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.8,current
2026-07-14,NL0012817175,Citadel Securities (Europe) Limited,Alfen N.V.,0.62,current
2026-07-14,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.4,current
2026-07-14,NL0009739416,Marshall Wace LLP,PostNL N.V.,0.78,current
2026-07-14,NL0011821392,Marshall Wace LLP,Signify N.V.,0.82,current
2026-07-14,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.79,current
2026-07-14,NL0011821392,Squarepoint Ops LLC,Signify N.V.,0.89,current
2026-07-13,NL0010391025,Lazard Asset Management LLC,Pharming Group N.V.,0.73,current
