position_holder,issuer_name,net_short_position,position_date,isin,source
"AQR Capital Management, LLC",CVC Capital Partners plc,0.49,2026-07-22,JE00BRX98089,current
Citadel Advisors LLC,Signify N.V.,0.97,2026-07-22,NL0011821392,current
Citadel Securities (Europe) Limited,Signify N.V.,0.51,2026-07-22,NL0011821392,current
"Farallon Capital Management, L.L.C.",Signify N.V.,1.51,2026-07-22,NL0011821392,current
Marble Bar Asset Management LLP,AMG Critical Materials N.V.,0.68,2026-07-22,NL0000888691,current
Millennium Capital Partners LLP,Alfen N.V.,0.51,2026-07-22,NL0012817175,current
"Two Sigma Investments, LP",InPost S.A.,0.45,2026-07-22,LU2290522684,current
Capital Fund Management S.A.,IMCD N.V.,0.96,2026-07-21,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,1.01,2026-07-21,NL0011821392,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.7,2026-07-21,NL0011872650,current
Marshall Wace LLP,PostNL N.V.,0.67,2026-07-21,NL0009739416,current
"Two Sigma Investments, LP",InPost S.A.,0.56,2026-07-21,LU2290522684,current
"WorldQuant, LLC",Alfen N.V.,1.11,2026-07-21,NL0012817175,current
"BlackRock Financial Management, Inc.",Akzo Nobel N.V.,0.51,2026-07-20,NL0013267909,current
Citadel Advisors LLC,Signify N.V.,0.97,2026-07-20,NL0011821392,current
Citadel Securities (Europe) Limited,Alfen N.V.,0.8,2026-07-20,NL0012817175,current
"Farallon Capital Management, L.L.C.",Signify N.V.,1.44,2026-07-20,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.67,2026-07-20,NL0015002MS2,current
Squarepoint Ops LLC,Signify N.V.,0.78,2026-07-20,NL0011821392,current
"Two Sigma Investments, LP",Theon International Plc,0.68,2026-07-20,CY0200751713,current
"AQR Capital Management, LLC",Adyen N.V.,0.57,2026-07-17,NL0012969182,current
"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.61,2026-07-17,NL0011821392,current
Citadel Advisors LLC,Signify N.V.,1.01,2026-07-17,NL0011821392,current
Marshall Wace LLP,DSM-Firmenich AG,0.98,2026-07-17,CH1216478797,current
"BlackRock Financial Management, Inc.",IMCD N.V.,0.71,2026-07-16,NL0010801007,current
"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.59,2026-07-16,NL0011821392,current
Citadel Securities (Europe) Limited,Alfen N.V.,0.71,2026-07-16,NL0012817175,current
"Farallon Capital Management, L.L.C.",Signify N.V.,1.37,2026-07-16,NL0011821392,current
Walleye Capital LLC,Pharming Group N.V.,1.1,2026-07-16,NL0010391025,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,1.0,2026-07-15,NL0013267909,current
Citadel Advisors LLC,Signify N.V.,0.98,2026-07-15,NL0011821392,current
Marshall Wace LLP,Signify N.V.,0.73,2026-07-15,NL0011821392,current
Actus Ray Partners Limited,Fugro N.V.,0.72,2026-07-14,NL00150003E1,current
"AQR Capital Management, LLC",Akzo Nobel N.V.,0.78,2026-07-14,NL0013267909,current
Citadel Advisors LLC,DSM-Firmenich AG,0.8,2026-07-14,CH1216478797,current
Citadel Securities (Europe) Limited,Alfen N.V.,0.62,2026-07-14,NL0012817175,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.4,2026-07-14,NL0013267909,current
Marshall Wace LLP,PostNL N.V.,0.78,2026-07-14,NL0009739416,current
