position_holder,position_date,issuer_name,net_short_position,isin,source
"AQR Capital Management, LLC",2026-07-29,Adyen N.V.,0.48,NL0012969182,current
"AQR Capital Management, LLC",2026-07-29,Signify N.V.,0.97,NL0011821392,current
Capital Fund Management S.A.,2026-07-29,TKH Group N.V.,0.49,NL0000852523,current
Citadel Securities (Europe) Limited,2026-07-29,Alfen N.V.,0.79,NL0012817175,current
Citadel Securities (Europe) Limited,2026-07-29,Avantium N.V.,0.79,NL0015002IE0,current
"D. E. Shaw & Co., L.P.",2026-07-29,Basic-Fit N.V.,0.52,NL0011872650,current
Lazard Asset Management LLC,2026-07-29,Pharming Group N.V.,0.67,NL0010391025,current
Millennium International Management LP,2026-07-29,Akzo Nobel N.V.,0.8,NL0013267909,current
Syquant Capital,2026-07-29,Basic-Fit N.V.,0.86,NL0011872650,current
"AQR Capital Management, LLC",2026-07-28,Akzo Nobel N.V.,0.69,NL0013267909,current
Citadel Advisors LLC,2026-07-28,DSM-Firmenich AG,0.89,CH1216478797,current
Citadel Advisors LLC,2026-07-28,Wereldhave N.V.,1.11,NL0000289213,current
"D. E. Shaw & Co., L.P.",2026-07-28,Basic-Fit N.V.,0.67,NL0011872650,current
Davidson Kempner Capital Management LP,2026-07-28,Akzo Nobel N.V.,1.6,NL0013267909,current
Eleva Capital SAS,2026-07-28,Basic-Fit N.V.,0.74,NL0011872650,current
"Farallon Capital Management, L.L.C.",2026-07-28,Signify N.V.,1.63,NL0011821392,current
JPMorgan Asset Management (UK) Ltd.,2026-07-28,TomTom N.V.,0.99,NL0013332471,current
Marshall Wace LLP,2026-07-28,NSI N.V.,0.6,NL0012365084,current
Marshall Wace LLP,2026-07-28,Signify N.V.,1.02,NL0011821392,current
Qube Research & Technologies Ltd.,2026-07-28,The Magnum Ice Cream Company N.V.,0.59,NL0015002MS2,current
Sculptor Capital Management Europe Limited,2026-07-28,Basic-Fit N.V.,0.8,NL0011872650,current
SIH Partners LLLP,2026-07-28,Signify N.V.,0.5,NL0011821392,current
Syquant Capital,2026-07-28,Basic-Fit N.V.,0.6,NL0011872650,current
Capital Fund Management S.A.,2026-07-27,IMCD N.V.,0.89,NL0010801007,current
Citadel Advisors LLC,2026-07-27,DSM-Firmenich AG,0.9,CH1216478797,current
"Two Sigma Investments, LP",2026-07-27,Pharming Group N.V.,1.21,NL0010391025,current
"WorldQuant, LLC",2026-07-27,TomTom N.V.,0.62,NL0013332471,current
Capital Fund Management S.A.,2026-07-24,TKH Group N.V.,0.5,NL0000852523,current
Citadel Advisors LLC,2026-07-24,Signify N.V.,0.91,NL0011821392,current
Citadel Advisors LLC,2026-07-24,Sligro Food Group N.V.,0.81,NL0000817179,current
Citadel Securities (Europe) Limited,2026-07-24,Signify N.V.,0.63,NL0011821392,current
Davidson Kempner Capital Management LP,2026-07-24,Akzo Nobel N.V.,1.5,NL0013267909,current
Marshall Wace LLP,2026-07-24,Signify N.V.,0.95,NL0011821392,current
"PDT Partners, LLC",2026-07-24,IMCD N.V.,0.79,NL0010801007,current
Walleye Capital LLC,2026-07-24,Pharming Group N.V.,1.21,NL0010391025,current
Capital Fund Management S.A.,2026-07-23,ARCADIS N.V.,0.5,NL0006237562,current
Citadel Advisors LLC,2026-07-23,Signify N.V.,0.79,NL0011821392,current
Citadel Securities (Europe) Limited,2026-07-23,Avantium N.V.,0.8,NL0015002IE0,current
"D. E. Shaw & Co., L.P.",2026-07-23,IMCD N.V.,0.5,NL0010801007,current
JPMorgan Asset Management (UK) Ltd.,2026-07-23,Sligro Food Group N.V.,0.71,NL0000817179,current
Marshall Wace LLP,2026-07-23,DSM-Firmenich AG,1.03,CH1216478797,current
Marshall Wace LLP,2026-07-23,Signify N.V.,0.8,NL0011821392,current
"WorldQuant, LLC",2026-07-23,TomTom N.V.,0.53,NL0013332471,current
Citadel Advisors LLC,2026-07-22,Signify N.V.,0.97,NL0011821392,current
Citadel Securities (Europe) Limited,2026-07-22,Signify N.V.,0.51,NL0011821392,current
"Farallon Capital Management, L.L.C.",2026-07-22,Signify N.V.,1.51,NL0011821392,current
Millennium Capital Partners LLP,2026-07-22,Alfen N.V.,0.51,NL0012817175,current
Capital Fund Management S.A.,2026-07-21,IMCD N.V.,0.96,NL0010801007,current
Citadel Advisors LLC,2026-07-21,Signify N.V.,1.01,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-07-21,Basic-Fit N.V.,0.7,NL0011872650,current
Marshall Wace LLP,2026-07-21,PostNL N.V.,0.67,NL0009739416,current
"WorldQuant, LLC",2026-07-21,Alfen N.V.,1.11,NL0012817175,current
"BlackRock Financial Management, Inc.",2026-07-20,Akzo Nobel N.V.,0.51,NL0013267909,current
Citadel Advisors LLC,2026-07-20,Signify N.V.,0.97,NL0011821392,current
Citadel Securities (Europe) Limited,2026-07-20,Alfen N.V.,0.8,NL0012817175,current
"Farallon Capital Management, L.L.C.",2026-07-20,Signify N.V.,1.44,NL0011821392,current
Marshall Wace LLP,2026-07-20,The Magnum Ice Cream Company N.V.,0.67,NL0015002MS2,current
Squarepoint Ops LLC,2026-07-20,Signify N.V.,0.78,NL0011821392,current
"Two Sigma Investments, LP",2026-07-20,Theon International Plc,0.68,CY0200751713,current
"AQR Capital Management, LLC",2026-07-17,Adyen N.V.,0.57,NL0012969182,current
"BlackRock Institutional Trust Company, National Association",2026-07-17,Signify N.V.,0.61,NL0011821392,current
Citadel Advisors LLC,2026-07-17,Signify N.V.,1.01,NL0011821392,current
Marshall Wace LLP,2026-07-17,DSM-Firmenich AG,0.98,CH1216478797,current
"BlackRock Financial Management, Inc.",2026-07-16,IMCD N.V.,0.71,NL0010801007,current
"BlackRock Institutional Trust Company, National Association",2026-07-16,Signify N.V.,0.59,NL0011821392,current
Citadel Securities (Europe) Limited,2026-07-16,Alfen N.V.,0.71,NL0012817175,current
"Farallon Capital Management, L.L.C.",2026-07-16,Signify N.V.,1.37,NL0011821392,current
Walleye Capital LLC,2026-07-16,Pharming Group N.V.,1.1,NL0010391025,current
"BlackRock Advisors, LLC",2026-07-15,Akzo Nobel N.V.,1.0,NL0013267909,current
Citadel Advisors LLC,2026-07-15,Signify N.V.,0.98,NL0011821392,current
Marshall Wace LLP,2026-07-15,Signify N.V.,0.73,NL0011821392,current
Actus Ray Partners Limited,2026-07-14,Fugro N.V.,0.72,NL00150003E1,current
"AQR Capital Management, LLC",2026-07-14,Akzo Nobel N.V.,0.78,NL0013267909,current
Citadel Advisors LLC,2026-07-14,DSM-Firmenich AG,0.8,CH1216478797,current
Citadel Securities (Europe) Limited,2026-07-14,Alfen N.V.,0.62,NL0012817175,current
Davidson Kempner Capital Management LP,2026-07-14,Akzo Nobel N.V.,1.4,NL0013267909,current
Marshall Wace LLP,2026-07-14,PostNL N.V.,0.78,NL0009739416,current
Marshall Wace LLP,2026-07-14,Signify N.V.,0.82,NL0011821392,current
Marshall Wace LLP,2026-07-14,The Magnum Ice Cream Company N.V.,0.79,NL0015002MS2,current
Squarepoint Ops LLC,2026-07-14,Signify N.V.,0.89,NL0011821392,current
Lazard Asset Management LLC,2026-07-13,Pharming Group N.V.,0.73,NL0010391025,current
Citadel Advisors LLC,2026-07-10,Signify N.V.,1.05,NL0011821392,current
Citadel Advisors LLC,2026-07-10,Wereldhave N.V.,1.09,NL0000289213,current
Marshall Wace LLP,2026-07-10,Signify N.V.,0.98,NL0011821392,current
Squarepoint Ops LLC,2026-07-10,Signify N.V.,0.91,NL0011821392,current
Citadel Advisors LLC,2026-07-09,DSM-Firmenich AG,0.72,CH1216478797,current
Citadel Advisors LLC,2026-07-09,Wereldhave N.V.,1.1,NL0000289213,current
Citadel Securities (Europe) Limited,2026-07-09,Alfen N.V.,0.52,NL0012817175,current
JPMorgan Asset Management (UK) Ltd.,2026-07-09,Fugro N.V.,1.97,NL00150003E1,current
Marshall Wace LLP,2026-07-09,Signify N.V.,1.06,NL0011821392,current
Marshall Wace LLP,2026-07-09,The Magnum Ice Cream Company N.V.,0.84,NL0015002MS2,current
Numeric Investors LLC,2026-07-09,NSI N.V.,0.91,NL0012365084,current
Qube Research & Technologies Ltd.,2026-07-09,CSG N.V.,0.8,NL0015073TS8,current
Qube Research & Technologies Ltd.,2026-07-09,The Magnum Ice Cream Company N.V.,0.68,NL0015002MS2,current
"WorldQuant, LLC",2026-07-09,Alfen N.V.,1.02,NL0012817175,current
"AQR Capital Management, LLC",2026-07-08,Adyen N.V.,0.67,NL0012969182,current
"AQR Capital Management, LLC",2026-07-08,ARCADIS N.V.,0.79,NL0006237562,current
Capital Fund Management S.A.,2026-07-08,The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,current
Citadel Advisors LLC,2026-07-08,DSM-Firmenich AG,0.69,CH1216478797,current
Citadel Advisors LLC,2026-07-08,Signify N.V.,1.16,NL0011821392,current
Citadel Securities (Europe) Limited,2026-07-08,Alfen N.V.,0.62,NL0012817175,current
Marshall Wace LLP,2026-07-08,NSI N.V.,0.51,NL0012365084,current
"WorldQuant, LLC",2026-07-08,Alfen N.V.,0.99,NL0012817175,current
Actus Ray Partners Limited,2026-07-07,Fugro N.V.,0.61,NL00150003E1,current
Capital Fund Management S.A.,2026-07-07,The Magnum Ice Cream Company N.V.,0.59,NL0015002MS2,current
"BlackRock Financial Management, Inc.",2026-07-06,Signify N.V.,0.69,NL0011821392,current
Capital Fund Management S.A.,2026-07-06,The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,current
Citadel Advisors LLC,2026-07-06,DSM-Firmenich AG,0.77,CH1216478797,current
Citadel Securities (Europe) Limited,2026-07-06,Alfen N.V.,0.52,NL0012817175,current
JPMorgan Asset Management (UK) Ltd.,2026-07-06,Fugro N.V.,2.08,NL00150003E1,current
Marshall Wace LLP,2026-07-06,DSM-Firmenich AG,1.0,CH1216478797,current
Marshall Wace LLP,2026-07-06,Signify N.V.,1.17,NL0011821392,current
Marshall Wace LLP,2026-07-06,The Magnum Ice Cream Company N.V.,0.96,NL0015002MS2,current
Winton Capital Management Limited,2026-07-06,PostNL N.V.,0.59,NL0009739416,current
"D. E. Shaw & Co. (London), LLP",2026-07-03,Pharming Group N.V.,0.5,NL0010391025,current
"D. E. Shaw & Co., L.P.",2026-07-03,Basic-Fit N.V.,0.69,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,2026-07-03,Sligro Food Group N.V.,0.67,NL0000817179,current
Marshall Wace LLP,2026-07-03,DSM-Firmenich AG,0.99,CH1216478797,current
"BlackRock Advisors, LLC",2026-07-02,Akzo Nobel N.V.,0.92,NL0013267909,current
"BlackRock Financial Management, Inc.",2026-07-02,Signify N.V.,0.7,NL0011821392,current
Marshall Wace LLP,2026-07-02,Signify N.V.,1.27,NL0011821392,current
Actus Ray Partners Limited,2026-07-01,Fugro N.V.,0.5,NL00150003E1,current
"BlackRock Advisors, LLC",2026-07-01,Akzo Nobel N.V.,0.85,NL0013267909,current
Citadel Advisors LLC,2026-07-01,DSM-Firmenich AG,0.88,CH1216478797,current
