position_holder,net_short_position,position_date,issuer_name,isin,source
"D. E. Shaw & Co., L.P.",0.52,2026-08-18,Wolters Kluwer N.V.,NL0000395903,current
Citadel Advisors LLC,1.0,2026-08-17,Signify N.V.,NL0011821392,current
Marshall Wace LLP,0.91,2026-08-17,Pharming Group N.V.,NL0010391025,current
Millennium Capital Partners LLP,0.63,2026-08-17,Akzo Nobel N.V.,NL0013267909,current
SIH Partners LLLP,0.51,2026-08-17,Signify N.V.,NL0011821392,current
"Two Sigma Investments, LP",1.48,2026-08-17,Pharming Group N.V.,NL0010391025,current
"BlackRock Advisors, LLC",1.33,2026-08-14,Akzo Nobel N.V.,NL0013267909,current
"BlackRock Institutional Trust Company, National Association",0.7,2026-08-14,Signify N.V.,NL0011821392,current
Citadel Advisors LLC,1.04,2026-08-14,Pharming Group N.V.,NL0010391025,current
Citadel Securities (Europe) Limited,0.8,2026-08-14,Alfen N.V.,NL0012817175,current
Citadel Securities (Europe) Limited,0.79,2026-08-14,Avantium N.V.,NL0015002IE0,current
Goldman Sachs Asset Management International,0.51,2026-08-14,PostNL N.V.,NL0009739416,current
Marshall Wace LLP,0.7,2026-08-14,NSI N.V.,NL0012365084,current
Millennium International Management LP,1.4,2026-08-14,Akzo Nobel N.V.,NL0013267909,current
"PDT Partners, LLC",1.29,2026-08-14,Signify N.V.,NL0011821392,current
Walleye Capital LLC,1.0,2026-08-14,Pharming Group N.V.,NL0010391025,current
"BlackRock Advisors, LLC",1.27,2026-08-13,Akzo Nobel N.V.,NL0013267909,current
"BlackRock Financial Management, Inc.",0.52,2026-08-13,PostNL N.V.,NL0009739416,current
Citadel Advisors LLC,0.93,2026-08-13,Signify N.V.,NL0011821392,current
Citadel Securities (Europe) Limited,0.69,2026-08-13,Avantium N.V.,NL0015002IE0,current
"D. E. Shaw & Co., L.P.",0.69,2026-08-13,Pharming Group N.V.,NL0010391025,current
"WorldQuant, LLC",1.06,2026-08-13,Alfen N.V.,NL0012817175,current
Capstone Volatility Master (Cayman) Limited,0.8,2026-08-12,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.91,2026-08-12,Fugro N.V.,NL00150003E1,current
Citadel Advisors LLC,0.9,2026-08-12,Pharming Group N.V.,NL0010391025,current
Citadel Securities (Europe) Limited,0.7,2026-08-12,Alfen N.V.,NL0012817175,current
Davidson Kempner Capital Management LP,1.7,2026-08-12,Akzo Nobel N.V.,NL0013267909,current
Marshall Wace LLP,0.58,2026-08-12,The Magnum Ice Cream Company N.V.,NL0015002MS2,current
Millennium Capital Partners LLP,0.56,2026-08-12,Akzo Nobel N.V.,NL0013267909,current
"AQR Capital Management, LLC",0.59,2026-08-11,Akzo Nobel N.V.,NL0013267909,current
Capital Fund Management S.A.,0.63,2026-08-11,TKH Group N.V.,NL0000852523,current
Capstone Volatility Master (Cayman) Limited,0.77,2026-08-11,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.88,2026-08-11,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.69,2026-08-11,Sligro Food Group N.V.,NL0000817179,current
"D. E. Shaw & Co., L.P.",0.76,2026-08-11,Pharming Group N.V.,NL0010391025,current
JPMorgan Asset Management (UK) Ltd.,0.89,2026-08-11,IMCD N.V.,NL0010801007,current
Lazard Asset Management LLC,0.6,2026-08-11,Pharming Group N.V.,NL0010391025,current
Marshall Wace LLP,0.88,2026-08-11,Pharming Group N.V.,NL0010391025,current
Marshall Wace LLP,0.89,2026-08-11,Signify N.V.,NL0011821392,current
Millennium International Management LP,1.35,2026-08-11,Akzo Nobel N.V.,NL0013267909,current
"AQR Capital Management, LLC",0.69,2026-08-10,ARCADIS N.V.,NL0006237562,current
"AQR Capital Management, LLC",0.5,2026-08-10,BE Semiconductor Industries N.V.,NL0012866412,current
Citadel Advisors LLC,0.84,2026-08-10,Signify N.V.,NL0011821392,current
Marshall Wace LLP,0.91,2026-08-10,Signify N.V.,NL0011821392,current
Syquant Capital,0.69,2026-08-10,Basic-Fit N.V.,NL0011872650,current
"Two Sigma Investments, LP",1.59,2026-08-10,Pharming Group N.V.,NL0010391025,current
"WorldQuant, LLC",0.69,2026-08-10,TomTom N.V.,NL0013332471,current
"BlackRock Advisors, LLC",1.1,2026-08-07,Akzo Nobel N.V.,NL0013267909,current
"BlackRock Financial Management, Inc.",0.69,2026-08-07,IMCD N.V.,NL0010801007,current
Citadel Advisors LLC,0.92,2026-08-07,Pharming Group N.V.,NL0010391025,current
"D. E. Shaw & Co., L.P.",0.5,2026-08-07,Basic-Fit N.V.,NL0011872650,current
Linden Advisors LP,0.67,2026-08-07,Basic-Fit N.V.,NL0011872650,current
Millennium International Management LP,1.2,2026-08-07,Akzo Nobel N.V.,NL0013267909,current
"Two Sigma Investments, LP",0.59,2026-08-07,Theon International Plc,CY0200751713,current
"Arrowstreet Capital, Limited Partnership",1.19,2026-08-06,IMCD N.V.,NL0010801007,current
Citadel Advisors LLC,0.85,2026-08-06,Fugro N.V.,NL00150003E1,current
Citadel Advisors LLC,0.85,2026-08-06,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.79,2026-08-06,Signify N.V.,NL0011821392,current
"D. E. Shaw & Co., L.P.",0.87,2026-08-06,Pharming Group N.V.,NL0010391025,current
Squarepoint Ops LLC,0.68,2026-08-06,Signify N.V.,NL0011821392,current
Walleye Capital LLC,0.99,2026-08-06,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.78,2026-08-05,Pharming Group N.V.,NL0010391025,current
"Elliott Investment Management, L.P",0.68,2026-08-05,Shell plc,GB00BP6MXD84,current
LMR Partners LLP,1.08,2026-08-05,Akzo Nobel N.V.,NL0013267909,current
Marshall Wace LLP,0.87,2026-08-05,Signify N.V.,NL0011821392,current
Millennium International Management LP,1.11,2026-08-05,Akzo Nobel N.V.,NL0013267909,current
Numeric Investors LLC,1.01,2026-08-05,NSI N.V.,NL0012365084,current
"O'Connor Alternative Investments, LLC",1.29,2026-08-05,Akzo Nobel N.V.,NL0013267909,current
Walleye Capital LLC,1.05,2026-08-05,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.73,2026-08-04,Fugro N.V.,NL00150003E1,current
Citadel Advisors LLC,0.67,2026-08-04,Pharming Group N.V.,NL0010391025,current
Citadel Securities (Europe) Limited,0.67,2026-08-04,Alfen N.V.,NL0012817175,current
Marshall Wace LLP,0.94,2026-08-04,Pharming Group N.V.,NL0010391025,current
Millennium International Management LP,1.03,2026-08-04,Akzo Nobel N.V.,NL0013267909,current
"WorldQuant, LLC",1.1,2026-08-04,Alfen N.V.,NL0012817175,current
"BlackRock Financial Management, Inc.",0.6,2026-08-03,Akzo Nobel N.V.,NL0013267909,current
Citadel Advisors LLC,0.57,2026-08-03,Pharming Group N.V.,NL0010391025,current
Citadel Securities (Europe) Limited,0.79,2026-08-03,Avantium N.V.,NL0015002IE0,current
"D. E. Shaw & Co., L.P.",0.97,2026-08-03,Pharming Group N.V.,NL0010391025,current
Marshall Wace LLP,0.99,2026-08-03,DSM-Firmenich AG,CH1216478797,current
Marshall Wace LLP,0.82,2026-08-03,Pharming Group N.V.,NL0010391025,current
Millennium Capital (DIFC) Limited,0.66,2026-08-03,PostNL N.V.,NL0009739416,current
"Two Sigma Investments, LP",1.63,2026-08-03,Pharming Group N.V.,NL0010391025,current
"WorldQuant, LLC",1.09,2026-08-03,Alfen N.V.,NL0012817175,current
Citadel Advisors LLC,0.61,2026-07-31,Fugro N.V.,NL00150003E1,current
Citadel Advisors LLC,0.77,2026-07-31,Sligro Food Group N.V.,NL0000817179,current
Citadel Securities (Europe) Limited,0.8,2026-07-31,Avantium N.V.,NL0015002IE0,current
"D. E. Shaw & Co., L.P.",0.82,2026-07-31,Pharming Group N.V.,NL0010391025,current
Ilex Capital Partners (UK) LLP,2.1,2026-07-31,DSM-Firmenich AG,CH1216478797,current
Marshall Wace LLP,0.79,2026-07-31,Pharming Group N.V.,NL0010391025,current
Millennium Capital (DIFC) Limited,0.73,2026-07-31,PostNL N.V.,NL0009739416,current
Millennium International Management LP,0.93,2026-07-31,Akzo Nobel N.V.,NL0013267909,current
Syquant Capital,0.71,2026-07-31,Basic-Fit N.V.,NL0011872650,current
"Two Sigma Investments, LP",1.56,2026-07-31,Pharming Group N.V.,NL0010391025,current
Capital Fund Management S.A.,0.74,2026-07-30,IMCD N.V.,NL0010801007,current
Capital Fund Management S.A.,0.51,2026-07-30,TKH Group N.V.,NL0000852523,current
Capstone Volatility Master (Cayman) Limited,0.69,2026-07-30,Pharming Group N.V.,NL0010391025,current
Citadel Advisors LLC,0.85,2026-07-30,Signify N.V.,NL0011821392,current
"D. E. Shaw & Co., L.P.",0.62,2026-07-30,Pharming Group N.V.,NL0010391025,current
Lazard Asset Management LLC,0.56,2026-07-30,Pharming Group N.V.,NL0010391025,current
Marshall Wace LLP,0.8,2026-07-30,Pharming Group N.V.,NL0010391025,current
Marshall Wace LLP,0.98,2026-07-30,Signify N.V.,NL0011821392,current
"O'Connor Alternative Investments, LLC",1.19,2026-07-30,Akzo Nobel N.V.,NL0013267909,current
"Two Sigma Investments, LP",1.46,2026-07-30,Pharming Group N.V.,NL0010391025,current
"WorldQuant, LLC",0.73,2026-07-30,TomTom N.V.,NL0013332471,current
"AQR Capital Management, LLC",0.97,2026-07-29,Signify N.V.,NL0011821392,current
Citadel Securities (Europe) Limited,0.79,2026-07-29,Alfen N.V.,NL0012817175,current
Citadel Securities (Europe) Limited,0.79,2026-07-29,Avantium N.V.,NL0015002IE0,current
Lazard Asset Management LLC,0.67,2026-07-29,Pharming Group N.V.,NL0010391025,current
Millennium International Management LP,0.8,2026-07-29,Akzo Nobel N.V.,NL0013267909,current
Syquant Capital,0.86,2026-07-29,Basic-Fit N.V.,NL0011872650,current
"AQR Capital Management, LLC",0.69,2026-07-28,Akzo Nobel N.V.,NL0013267909,current
Citadel Advisors LLC,1.11,2026-07-28,Wereldhave N.V.,NL0000289213,current
Davidson Kempner Capital Management LP,1.6,2026-07-28,Akzo Nobel N.V.,NL0013267909,current
Eleva Capital SAS,0.74,2026-07-28,Basic-Fit N.V.,NL0011872650,current
"Farallon Capital Management, L.L.C.",1.63,2026-07-28,Signify N.V.,NL0011821392,current
Marshall Wace LLP,0.6,2026-07-28,NSI N.V.,NL0012365084,current
