issuer_name,position_holder,position_date,isin,net_short_position,source
Fugro N.V.,Actus Ray Partners Limited,2026-09-01,NL00150003E1,0.8,current
Fugro N.V.,"Algert Global, LLC",2026-09-01,NL00150003E1,0.48,current
Aalberts N.V.,"AQR Capital Management, LLC",2026-09-01,NL0000852564,0.5,current
Adyen N.V.,"AQR Capital Management, LLC",2026-09-01,NL0012969182,0.51,current
Akzo Nobel N.V.,"AQR Capital Management, LLC",2026-09-01,NL0013267909,0.49,current
IMCD N.V.,"BlackRock Advisors, LLC",2026-09-01,NL0010801007,0.49,current
NSI N.V.,Numeric Investors LLC,2026-09-01,NL0012365084,1.01,current
PostNL N.V.,"PDT Partners, LLC",2026-09-01,NL0009739416,0.71,current
Pharming Group N.V.,"Two Sigma Investments, LP",2026-09-01,NL0010391025,1.28,current
Alfen N.V.,"WorldQuant, LLC",2026-09-01,NL0012817175,2.2,current
Akzo Nobel N.V.,"AQR Capital Management, LLC",2026-08-31,NL0013267909,0.5,current
IMCD N.V.,"AQR Capital Management, LLC",2026-08-31,NL0010801007,0.5,current
IMCD N.V.,"BlackRock Advisors, LLC",2026-08-31,NL0010801007,0.5,current
NSI N.V.,Citadel Securities (Europe) Limited,2026-08-31,NL0012365084,0.5,current
Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-08-31,NL0013267909,1.81,current
Signify N.V.,Marshall Wace LLP,2026-08-31,NL0011821392,0.78,current
PostNL N.V.,Millennium International Management LP,2026-08-31,NL0009739416,0.0,current
Alfen N.V.,"WorldQuant, LLC",2026-08-31,NL0012817175,2.18,current
Signify N.V.,Canada Pension Plan Investment Board,2026-08-28,NL0011821392,0.68,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-28,NL0010391025,1.0,current
Wereldhave N.V.,Citadel Advisors LLC,2026-08-28,NL0000289213,0.99,current
PostNL N.V.,Goldman Sachs Asset Management International,2026-08-28,NL0009739416,0.71,current
Akzo Nobel N.V.,Pentwater Capital Management LP,2026-08-28,NL0013267909,0.51,current
Pharming Group N.V.,Walleye Capital LLC,2026-08-28,NL0010391025,0.95,current
Alfen N.V.,"WorldQuant, LLC",2026-08-28,NL0012817175,2.08,current
Signify N.V.,Canada Pension Plan Investment Board,2026-08-27,NL0011821392,0.75,current
IMCD N.V.,Capital Fund Management S.A.,2026-08-27,NL0010801007,0.8,current
The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,2026-08-27,NL0015002MS2,0.58,current
TKH Group N.V.,Capital Fund Management S.A.,2026-08-27,NL0000852523,0.7,current
Sligro Food Group N.V.,Citadel Advisors LLC,2026-08-27,NL0000817179,0.72,current
PostNL N.V.,Millennium International Management LP,2026-08-27,NL0009739416,0.61,current
Alfen N.V.,"WorldQuant, LLC",2026-08-27,NL0012817175,1.98,current
BE Semiconductor Industries N.V.,"AQR Capital Management, LLC",2026-08-26,NL0012866412,0.52,current
Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",2026-08-26,NL0013267909,0.59,current
DSM-Firmenich AG,Capital Fund Management S.A.,2026-08-26,CH1216478797,0.5,current
Fugro N.V.,Citadel Advisors LLC,2026-08-26,NL00150003E1,1.1,current
Pharming Group N.V.,Citadel Advisors LLC,2026-08-26,NL0010391025,0.97,current
