position_date,isin,issuer_name,position_holder,net_short_position,source
2026-09-02,NL0013332471,TomTom N.V.,Citadel Advisors LLC,0.6,current
2026-09-02,NL0009739416,PostNL N.V.,Goldman Sachs Asset Management International,0.81,current
2026-09-02,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.78,current
2026-09-02,NL0011821392,Signify N.V.,SIH Partners LLLP,0.7,current
2026-09-02,NL0000888691,AMG Critical Materials N.V.,"Two Sigma Investments, LP",0.5,current
2026-09-02,NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.17,current
2026-09-01,NL00150003E1,Fugro N.V.,Actus Ray Partners Limited,0.8,current
2026-09-01,NL0000852564,Aalberts N.V.,"AQR Capital Management, LLC",0.5,current
2026-09-01,NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",0.51,current
2026-09-01,NL0012365084,NSI N.V.,Numeric Investors LLC,1.01,current
2026-09-01,NL0009739416,PostNL N.V.,"PDT Partners, LLC",0.71,current
2026-09-01,NL0010391025,Pharming Group N.V.,"Two Sigma Investments, LP",1.28,current
2026-09-01,NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.2,current
2026-08-31,NL0010801007,IMCD N.V.,"AQR Capital Management, LLC",0.5,current
2026-08-31,NL0012365084,NSI N.V.,Citadel Securities (Europe) Limited,0.5,current
2026-08-31,NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.81,current
2026-08-31,NL0011821392,Signify N.V.,Marshall Wace LLP,0.78,current
2026-08-31,NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.18,current
2026-08-28,NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,0.68,current
2026-08-28,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,1.0,current
2026-08-28,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,0.99,current
2026-08-28,NL0009739416,PostNL N.V.,Goldman Sachs Asset Management International,0.71,current
2026-08-28,NL0013267909,Akzo Nobel N.V.,Pentwater Capital Management LP,0.51,current
2026-08-28,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,0.95,current
2026-08-28,NL0012817175,Alfen N.V.,"WorldQuant, LLC",2.08,current
2026-08-27,NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,0.75,current
2026-08-27,NL0010801007,IMCD N.V.,Capital Fund Management S.A.,0.8,current
2026-08-27,NL0015002MS2,The Magnum Ice Cream Company N.V.,Capital Fund Management S.A.,0.58,current
2026-08-27,NL0000852523,TKH Group N.V.,Capital Fund Management S.A.,0.7,current
2026-08-27,NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.72,current
2026-08-27,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.98,current
2026-08-26,NL0012866412,BE Semiconductor Industries N.V.,"AQR Capital Management, LLC",0.52,current
2026-08-26,NL0013267909,Akzo Nobel N.V.,"BlackRock Financial Management, Inc.",0.59,current
2026-08-26,CH1216478797,DSM-Firmenich AG,Capital Fund Management S.A.,0.5,current
2026-08-26,NL00150003E1,Fugro N.V.,Citadel Advisors LLC,1.1,current
2026-08-26,NL0010391025,Pharming Group N.V.,Citadel Advisors LLC,0.97,current
2026-08-26,NL0000817179,Sligro Food Group N.V.,JPMorgan Asset Management (UK) Ltd.,0.83,current
2026-08-26,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.88,current
2026-08-25,NL0010801007,IMCD N.V.,Caisse de dépôt et placement du Québec,0.69,current
2026-08-25,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.11,current
2026-08-25,NL0013267909,Akzo Nobel N.V.,Millennium Capital Partners LLP,0.71,current
2026-08-25,NL0012866412,BE Semiconductor Industries N.V.,"Point72 Asset Management, L.P.",0.54,current
2026-08-25,NL0011821392,Signify N.V.,SIH Partners LLLP,0.63,current
2026-08-25,NL0011872650,Basic-Fit N.V.,Syquant Capital,0.57,current
2026-08-25,NL0015002IE0,Avantium N.V.,"Two Sigma Investments, LP",0.8,current
2026-08-25,NL0012817175,Alfen N.V.,"WorldQuant, LLC",1.72,current
2026-08-24,NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",0.59,current
2026-08-24,NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,1.08,current
